STATIONS UP TRAINS,Borivali 90248 12 CAR,GMN 90250 12 CAR,VR 92044 15 CAR,VR 90252 12 CAR,Borivali 90254 12 CAR,Borivali 90256 12 CAR,VR 92046 15 CAR,VR 92048 15 CAR,Borivali 90258 12 CAR,VR 90260 12 CAR,BYR 92050 15 CAR,Borivali 90262 12 CAR,GMN 90264 12 CAR,DRD 93006 12 CAR,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
M'BAI CENTRAL(L,09:48,09:29,,09:32,09:52,09:56,,,09:59,09:38,,10:02,10:05,08:30 08:40 08:48 09:05 09:18 09:28 09:34 09:41 09:43 09:45 09:48 09:52,,,,,,,,,,,,,,,,,,,,,,,,,,
Grant Road,09:50,09:31,,09:34,09:54,09:58,,,10:01,09:40,,10:04,10:07,08:30 08:40 08:48 09:05 09:18 09:28 09:34 09:41 09:43 09:45 09:48 09:52,,,,,,,,,,,,,,,,,,,,,,,,,,
Charni Road,09:52,09:33,,09:36,09:56,10:00,,,10:03,09:42,,10:06,10:09,08:30 08:40 08:48 09:05 09:18 09:28 09:34 09:41 09:43 09:45 09:48 09:52,,,,,,,,,,,,,,,,,,,,,,,,,,
Marine Lines,09:55,09:36,,09:39,09:59,10:03,,,10:06,09:45,,10:09,10:12,08:30 08:40 08:48 09:05 09:18 09:28 09:34 09:41 09:43 09:45 09:48 09:52,,,,,,,,,,,,,,,,,,,,,,,,,,
CHURCHGATE,09:59,09:40,,09:44,10:02,10:06,,,10:09,09:49,,10:13,10:16,08:30 08:40 08:48 09:05 09:18 09:28 09:34 09:41 09:43 09:45 09:48 09:52,,,,,,,,,,,,,,,,,,,,,,,,,,
STATIONS UP TRAINS,VR# 94018 12 CAR,BSR 90266 12 CAR,BVI 90268 12 CAR,VR 90270 12 CAR,ADH 90272 12 CAR,BYR* 90274 12 CAR,GMN 90276 12 CAR,VR 92052 15 CAR,BVI 90278 12 CAR,VR* 90280 12 CAR,GMN 90282 12 CAR,ADH 90284 12 CAR,GMN 90284A 12 CAR,BVI 90286 12 CAR,VR 90288 12 CAR,,,,,,,,,,,,,,,,,,,,,,,,,
VIRAR,08:33,,,08:40,,Ladies,,08:44,,08:50,,,,,08:56,,,,,,,,,,,,,,,,,,,,,,,,,
Nalla Sopara,08:39,,,08:47,,Special,,08:51,,08:56,,,,,09:02,,,,,,,,,,,,,,,,,,,,,,,,,
VASAI ROAD,08:44,08:47,,08:52,,OnSun.,,08:56,,09:03,,,,,09:09,,,,,,,,,,,,,,,,,,,,,,,,,
Naigaon,08:48,08:54,,08:57,,General,,09:02,,09:09,,,,,09:13,,,,,,,,,,,,,,,,,,,,,,,,,
BHAYANDAR,08:54,09:00,,09:03,,09:06,,09:09,,09:15,,,,,09:19,,,,,,,,,,,,,,,,,,,,,,,,,
Mira Road,08:59,09:05,,09:08,,09:11,,09:14,,09:20,,,,,09:24,,,,,,,,,,,,,,,,,,,,,,,,,
Dahisar,09:03,09:09,,09:12,,09:15,,09:18,,09:24,,,,,09:28,,,,,,,,,,,,,,,,,,,,,,,,,
BORIVALI,09:09,09:14,09:15,09:17,,09:21,,09:24,09:22,09:28,,,,09:28,09:34,,,,,,,,,,,,,,,,,,,,,,,,,
Kandivali,09:15,,09:21,,,09:25,,,09:29,09:32,,,,09:35,,,,,,,,,,,,,,,,,,,,,,,,,,
Malad,09:18,,09:24,,,09:28,,,09:32,09:35,,,,09:38,,,,,,,,,,,,,,,,,,,,,,,,,,
Goregaon,09:21,,09:27,,,09:31,09:34,,09:36,09:38,09:33,,09:40,09:42,,,,,,,,,,,,,,,,,,,,,,,,,,
Ram Mandir,09:23,,09:29,,,09:33,09:37,,--,09:40,,,09:44,09:44,,,,,,,,,,,,,,,,,,,,,,,,,,
Jogeshwari,09:26,,09:32,,,09:36,09:40,,09:40,09:43,09:38,,09:47,09:47,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDHERI,09:31,09:29,09:36,09:32,09:38,09:41,09:45,,09:45,09:47,,09:50,09:52,09:53,09:48,,,,,,,,,,,,,,,,,,,,,,,,,
Vile Parle,09:35,,09:40,,09:43,09:46,09:49,,,09:51,,09:55,09:57,09:58,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Cruz,09:38,,09:43,,09:46,09:49,09:52,,,09:54,,09:58,10:00,10:01,,,,,,,,,,,,,,,,,,,,,,,,,,
Khar Road,09:41,,09:46,,09:49,09:52,09:55,,,09:57,,10:01,10:03,10:05,,,,,,,,,,,,,,,,,,,,,,,,,,
BANDRA,09:47,09:40,09:50,09:43,09:53,09:56,09:59,,09:55,10:02,09:50,10:06,10:09,10:12,09:58,,,,,,,,,,,,,,,,,,,,,,,,,
Mahim Jn.,09:50,,09:53,,09:56,09:59,10:02,,,10:05,,10:09,10:12,10:15,,,,,,,,,,,,,,,,,,,,,,,,,,
Matunga Road,09:53,,09:56,,09:59,10:02,10:05,,,10:08,,10:12,10:15,10:18,,,,,,,,,,,,,,,,,,,,,,,,,,
DADAR,09:57,09:45,10:00,09:48,10:03,10:06,10:09,,10:01,10:12,09:56,10:16,10:19,10:22,10:04,,,,,,,,,,,,,,,,,,,,,,,,,
Prabhadevi,09:59,,10:02,,10:05,10:08,10:11,,,10:14,,10:18,10:21,10:24,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Parel,10:02,,10:05,,10:08,10:11,10:14,,,10:17,,10:21,10:24,10:27,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahalakshmi,10:05,,10:08,,10:11,10:14,10:17,,,10:20,,10:24,10:27,10:30,,,,,,,,,,,,,,,,,,,,,,,,,,
M'BAI CENTRAL(L,10:08,09:52,10:11,09:55,10:14,10:17,10:20,,10:08,10:23,10:03,10:27,10:30,10:33,10:11,,,,,,,,,,,,,,,,,,,,,,,,,
Grant Road,10:10,09:54,10:13,09:57,10:16,10:19,10:22,,10:10,10:25,10:05,10:29,10:32,10:35,10:13,,,,,,,,,,,,,,,,,,,,,,,,,
Charni Road,10:12,09:56,10:15,09:59,10:18,10:21,10:24,,10:12,10:27,10:07,10:31,10:34,10:37,10:15,,,,,,,,,,,,,,,,,,,,,,,,,
Marine Lines,10:15,09:59,10:18,10:02,10:21,10:24,10:27,,10:15,10:30,10:10,10:34,10:37,10:40,10:18,,,,,,,,,,,,,,,,,,,,,,,,,
CHURCHGATE,10:20,10:03,10:23,10:08,10:27,10:30,10:33,,10:19,10:36,10:14,10:39,10:42,10:45,10:23,,,,,,,,,,,,,,,,,,,,,,,,,
# Non AC on SATURDAY & SUNDAY *Ladies Special On Sun.General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATIONS UP TRAINS,BSR 92054 15 CAR,BVI 94084 12 CAR,VR 92056 15 CAR,BVI 94086 12 CAR,VR 90294 12 CAR,BVI 90296 12 CAR,VR 92058 15 CAR,VR 94020 12 CAR,GMN 90300 12 CAR,GMN 90302 12 CAR,BVI 90304 12 CAR,BYR 92060 15 CAR,BVI 90306 12 CAR,ADH 90308 12 CAR,VR 90310 12 CAR,,,,,,,,,,,,,,,,,,,,,,,,,
VIRAR,,Air,09:00,,09:05,NOT ON,09:05,09:09,NOT ON,,,NOT ON,,,09:15,,,,,,,,,,,,,,,,,,,,,,,,,
Nalla Sopara,,Condition,09:06,,09:11,SUN,09:12,09:15,SUN,,,SUN,,,09:22,,,,,,,,,,,,,,,,,,,,,,,,,
VASAI ROAD,09:08,,09:12,,09:16,ONLY,09:17,09:20,ONLY,,,ONLY,,,09:27,,,,,,,,,,,,,,,,,,,,,,,,,
Naigaon,09:14,ON SAT,09:18,,09:21,,09:21,09:25,,,,,,,09:33,,,,,,,,,,,,,,,,,,,,,,,,,
BHAYANDAR,09:20,& SUN,09:24,,09:27,,09:27,09:31,,,,09:35,,,09:39,,,,,,,,,,,,,,,,,,,,,,,,,
Mira Road,09:25,NON AC,09:29,,09:32,,09:32,09:36,,,,09:41,,,09:45,,,,,,,,,,,,,,,,,,,,,,,,,
