STATIONS UP TRAINS,Borivali 90248 12 CAR,GMN 90250 12 CAR,VR 92044 15 CAR,VR 90252 12 CAR,Borivali 90254 12 CAR,Borivali 90256 12 CAR,VR 92046 15 CAR,VR 92048 15 CAR,Borivali 90258 12 CAR,VR 90260 12 CAR,BYR 92050 15 CAR,Borivali 90262 12 CAR,GMN 90264 12 CAR,DRD 93006 12 CAR,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
Lower Parel,,10:46,,10:50,10:50,10:53,10:53,,,10:56,10:56,,,,,10:59,10:59,,,,,,,11:02,11:02,,,,,,,,,,,,,,,
Mahalakshmi,,10:49,,10:53,10:53,10:56,10:56,,,10:59,10:59,,,,,11:02,11:02,,,,,,,11:05,11:05,,,,,,,,,,,,,,,
M'BAI CENTRAL(L,,10:52,10:38,10:56,10:56,10:59,10:59,,,11:02,11:02,10:41,10:41,10:47,10:47,11:05,11:05,10:51,10:51,,,,,11:08,11:08,,,,,,,,,,,,,,,
Grant Road,,10:54,10:40,10:58,10:58,11:01,11:01,,,11:04,11:04,10:43,10:43,10:49,10:49,11:07,11:07,10:53,10:53,,,,,11:10,11:10,,,,,,,,,,,,,,,
Charni Road,,10:56,10:42,11:00,11:00,11:03,11:03,,,11:06,11:06,10:45,10:45,10:51,10:51,11:09,11:09,10:55,10:55,,,,,11:12,11:12,,,,,,,,,,,,,,,
Marine Lines,,10:59,10:45,11:03,11:03,11:06,11:06,,,11:09,11:09,10:48,10:48,10:54,10:54,11:12,11:12,10:58,10:58,,,,,11:15,11:15,,,,,,,,,,,,,,,
CHURCHGATE,,11:03,10:50,11:06,11:06,11:09,11:09,,,11:12,11:12,10:53,10:53,10:57,10:57,11:15,11:15,11:03,11:03,,,,,11:18,11:18,,,,,,,,,,,,,,,
STATIONS UP TRAINS,BVI 90332 12 CAR,VR 90334 12 CAR,BVI 94024 12 CAR,BVI 94024 12 CAR,GMN 90338 12 CAR,GMN 90338 12 CAR,BVI 90340 12 CAR,BVI 90340 12 CAR,VR* 90342 12 CAR,VR* 90342 12 CAR,DRD 93008 12 CAR,DRD 93008 12 CAR,BVI 90344 12 CAR,BVI 90344 12 CAR,BYR 90346 12 CAR,BYR 90346 12 CAR,VR 92070 15 CAR,VR 92070 15 CAR,ADH 90348 12 CAR,ADH 90348 12 CAR,BSR* 90350 12 CAR,BSR* 90350 12 CAR,BVI 90352 12 CAR,BVI 90352 12 CAR,ADH 90354 12 CAR,ADH 90354 12 CAR,,,,,,,,,,,,,,
VIRAR,,09:43,,,,,NOT ON,NOT ON,09:47,09:47,09:49,09:49,,,,,09:52,09:52,,,,,,,NOT ON,NOT ON,,,,,,,,,,,,,,
Nalla Sopara,,09:49,,,,,SUN,SUN,09:53,09:53,,,,,,,09:58,09:58,,,,,,,SUN,SUN,,,,,,,,,,,,,,
VASAI ROAD,,09:54,,,,,ONLY,ONLY,09:58,09:58,09:59,09:59,,,,,10:03,10:03,,,10:02,10:02,,,ONLY,ONLY,,,,,,,,,,,,,,
Naigaon,,09:59,,,,,,,10:03,10:03,,,,,,,10:09,10:09,,,10:08,10:08,,,,,,,,,,,,,,,,,,
BHAYANDAR,,10:05,,,,,,,10:08,10:08,10:08,10:08,,,10:11,10:11,10:15,10:15,,,10:14,10:14,,,,,,,,,,,,,,,,,,
Mira Road,,10:10,,,,,,,10:13,10:13,,,,,10:17,10:17,10:20,10:20,,,10:20,10:20,,,,,,,,,,,,,,,,,,
Dahisar,,10:14,,,,,,,10:17,10:17,,,,,10:21,10:21,10:24,10:24,,,10:24,10:24,,,,,,,,,,,,,,,,,,
BORIVALI,10:12,10:18,10:16,10:16,,,10:19,10:19,10:22,10:22,,,10:22,10:22,10:26,10:26,10:29,10:29,,,10:28,10:28,10:31,10:31,,,,,,,,,,,,,,,,
Kandivali,10:18,,10:21,10:21,,,10:25,10:25,,,,,10:28,10:28,,,,,,,10:32,10:32,10:36,10:36,,,,,,,,,,,,,,,,
Malad,10:21,,10:24,10:24,,,10:28,10:28,,,,,10:31,10:31,,,,,,,10:35,10:35,10:39,10:39,,,,,,,,,,,,,,,,
Goregaon,10:24,,10:27,10:27,10:29,10:29,10:31,10:31,,,,,10:34,10:34,,,,,,,10:38,10:38,10:42,10:42,,,,,,,,,,,,,,,,
Ram Mandir,10:26,,--,--,10:32,10:32,10:33,10:33,,,,,--,--,,,,,,,10:40,10:40,10:44,10:44,,,,,,,,,,,,,,,,
Jogeshwari,10:29,,10:32,10:32,10:35,10:35,10:36,10:36,,,,,10:39,10:39,,,,,,,10:43,10:43,10:47,10:47,,,,,,,,,,,,,,,,
ANDHERI,10:34,10:31,10:37,10:37,10:39,10:39,10:40,10:40,10:35,10:35,,,10:43,10:43,10:40,10:40,10:44,10:44,10:45,10:45,10:47,10:47,10:51,10:51,10:53,10:53,,,,,,,,,,,,,,
Vile Parle,10:38,,Air,Air,10:42,10:42,10:44,10:44,,,,,,,,,,,10:49,10:49,10:52,10:52,10:55,10:55,10:58,10:58,,,,,,,,,,,,,,
Santa Cruz,10:41,,Condition,Condition,10:45,10:45,10:47,10:47,,,,,,,,,,,10:52,10:52,10:55,10:55,10:58,10:58,11:01,11:01,,,,,,,,,,,,,,
Khar Road,10:44,,,,10:48,10:48,10:50,10:50,,,,,,,,,,,10:55,10:55,10:58,10:58,11:01,11:01,11:04,11:04,,,,,,,,,,,,,,
BANDRA,10:49,10:41,10:47,10:47,10:52,10:52,10:55,10:55,10:44,10:44,,,10:53,10:53,10:50,10:50,,,10:59,10:59,11:02,11:02,11:05,11:05,11:08,11:08,,,,,,,,,,,,,,
Mahim Jn.,10:52,,,,10:55,10:55,10:58,10:58,,,,,,,,,,,11:03,11:03,11:05,11:05,11:08,11:08,11:11,11:11,,,,,,,,,,,,,,
Matunga Road,10:55,,,,10:58,10:58,11:01,11:01,,,,,,,,,,,11:06,11:06,11:08,11:08,11:11,11:11,11:14,11:14,,,,,,,,,,,,,,
DADAR,10:59,10:47,10:53,10:53,11:02,11:02,11:05,11:05,10:50,10:50,,,10:58,10:58,10:55,10:55,,,11:09,11:09,11:12,11:12,11:15,11:15,11:18,11:18,,,,,,,,,,,,,,
Prabhadevi,11:01,,,,11:04,11:04,11:07,11:07,,,,,,,,,,,11:11,11:11,11:14,11:14,11:17,11:17,11:20,11:20,,,,,,,,,,,,,,
Lower Parel,11:04,,,,11:07,11:07,11:10,11:10,,,,,,,,,,,11:14,11:14,11:17,11:17,11:20,11:20,11:23,11:23,,,,,,,,,,,,,,
Mahalakshmi,11:07,,,,11:10,11:10,11:13,11:13,,,,,,,,,,,11:17,11:17,11:20,11:20,11:23,11:23,11:26,11:26,,,,,,,,,,,,,,
M'BAI CENTRAL(L,11:10,10:54,11:00,11:00,11:13,11:13,11:16,11:16,10:57,10:57,,,11:05,11:05,11:02,11:02,,,11:20,11:20,11:23,11:23,11:26,11:26,11:29,11:29,,,,,,,,,,,,,,
Grant Road,11:12,10:56,11:02,11:02,11:15,11:15,11:18,11:18,10:59,10:59,,,11:07,11:07,11:04,11:04,,,11:22,11:22,11:25,11:25,11:28,11:28,11:31,11:31,,,,,,,,,,,,,,
Charni Road,11:14,10:58,11:04,11:04,11:17,11:17,11:20,11:20,11:01,11:01,,,11:09,11:09,11:06,11:06,,,11:24,11:24,11:27,11:27,11:30,11:30,11:33,11:33,,,,,,,,,,,,,,
Marine Lines,11:17,11:01,11:07,11:07,11:20,11:20,11:23,11:23,11:04,11:04,,,11:12,11:12,11:09,11:09,,,11:27,11:27,11:30,11:30,11:33,11:33,11:36,11:36,,,,,,,,,,,,,,
CHURCHGATE,11:21,11:06,11:12,11:12,11:24,11:24,11:27,11:27,11:09,11:09,,,11:18,11:18,11:15,11:15,,,11:30,11:30,11:33,11:33,11:38,11:38,11:41,11:41,,,,,,,,,,,,,,
*Ladies Special On Sun.General *Ladies Special On Sun.General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATIONS UP TRAINS,VR 90356 12 CAR,BVI 90358 12 CAR,BVI 92072 15 CAR,VR 90360 12 CAR,VR 92074 15 CAR,BVI 90362 12 CAR,VR 90364 12 CAR,GMN 90366 12 CAR,BVI 90370 12 CAR,BVI 90372 12 CAR,VR 92076 15 CAR,BVI 90374 12 CAR,VR 94026 12 CAR,BVI 90376 12 CAR,ADH 90378 12 CAR,,,,,,,,,,,,,,,,,,,,,,,,,
VIRAR,09:56,,,10:00,10:04,,10:08,,,,10:16,NOT ON,10:20,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nalla Sopara,10:02,,,10:07,10:10,,10:14,,,,10:22,SUN,10:26,,,,,,,,,,,,,,,,,,,,,,,,,,,
VASAI ROAD,10:07,,,10:12,10:15,,10:19,,,,10:27,ONLY,10:31,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naigaon,10:12,,,10:17,10:19,,10:23,,,,10:32,,10:36,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHAYANDAR,10:18,,,10:23,10:25,,10:29,,,,10:38,,10:42,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mira Road,10:23,,,10:28,10:30,,10:34,,,,10:43,,10:47,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dahisar,10:27,,,10:32,10:34,,10:38,,,,10:47,,10:51,,,,,,,,,,,,,,,,,,,,,,,,,,,
BORIVALI,10:33,10:35,10:36,10:40,10:38,10:40,10:43,,10:47,10:50,10:54,10:53,10:55,10:57,,,,,,,,,,,,,,,,,,,,,,,,,,
Kandivali,,10:39,,,10:42,10:45,,,10:51,10:55,,10:58,,11:02,,,,,,,,,,,,,,,,,,,,,,,,,,
Malad,,10:42,,,10:45,10:48,,,10:54,10:58,,11:01,,11:05,,,,,,,,,,,,,,,,,,,,,,,,,,
Goregaon,,10:46,,,10:49,10:52,,10:55,10:58,11:02,,11:05,,11:09,,,,,,,,,,,,,,,,,,,,,,,,,,
Ram Mandir,,--,,,10:51,10:54,,10:57,11:00,--,,11:07,,11:11,,,,,,,,,,,,,,,,,,,,,,,,,,
Jogeshwari,,10:51,,,10:54,10:57,,11:00,11:03,11:07,,11:10,,11:14,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDHERI,10:47,10:56,10:50,10:53,11:00,11:02,10:59,11:05,11:08,11:12,,11:15,11:09,11:18,11:21,,,,,,,,,,,,,,,,,,,,,,,,,
Vile Parle,,,,,,11:05,,11:08,11:11,,,11:18,Air,11:21,11:25,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Cruz,,,,,,11:08,,11:11,11:14,,,11:21,Condition,11:24,11:28,,,,,,,,,,,,,,,,,,,,,,,,,
Khar Road,,,,,,11:11,,11:14,11:17,,,11:24,,11:27,11:31,,,,,,,,,,,,,,,,,,,,,,,,,
BANDRA,10:57,11:06,11:00,11:03,,11:15,11:09,11:18,11:21,11:22,,11:28,11:18,11:31,11:34,,,,,,,,,,,,,,,,,,,,,,,,,
Mahim Jn.,,,,,,11:18,,11:21,11:24,,,11:31,,11:34,11:37,,,,,,,,,,,,,,,,,,,,,,,,,
Matunga Road,,,,,,11:21,,11:24,11:27,,,11:34,,11:37,11:40,,,,,,,,,,,,,,,,,,,,,,,,,
DADAR,11:02,11:12,11:06,11:09,,11:25,11:15,11:28,11:31,11:28,,11:38,11:24,11:41,11:44,,,,,,,,,,,,,,,,,,,,,,,,,
Prabhadevi,,,,,,11:27,,11:30,11:33,,,11:40,,11:43,11:46,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Parel,,,,,,11:30,,11:33,11:36,,,11:43,,11:46,11:49,,,,,,,,,,,,,,,,,,,,,,,,,
Mahalakshmi,,,,,,11:33,,11:36,11:39,,,11:46,,11:49,11:52,,,,,,,,,,,,,,,,,,,,,,,,,
M'BAI CENTRAL(L,11:09,11:19,11:13,11:16,,11:36,11:22,11:39,11:42,11:37,,11:49,11:33,11:52,11:55,,,,,,,,,,,,,,,,,,,,,,,,,
Grant Road,11:11,11:21,,11:18,,11:38,11:24,11:41,11:44,11:39,,11:51,11:35,11:54,11:57,,,,,,,,,,,,,,,,,,,,,,,,,
Charni Road,11:13,11:23,,11:20,,11:40,11:26,11:43,11:46,11:41,,11:53,11:37,11:56,11:59,,,,,,,,,,,,,,,,,,,,,,,,,
Marine Lines,11:16,11:26,,11:23,,11:43,11:29,11:46,11:49,11:44,,11:56,11:40,11:59,12:02,,,,,,,,,,,,,,,,,,,,,,,,,
CHURCHGATE,11:21,11:30,11:24,11:27,,11:46,11:34,11:49,11:52,11:47,,11:59,11:44,12:02,12:05,,,,,,,,,,,,,,,,,,,,,,,,,
STATIONS UP TRAINS,BVI 90380 12 CAR,VR 90382 12 CAR,VR 90382 12 CAR,GMN 90384 12 CAR,GMN 90384 12 CAR,BVI 90386 12 CAR,BVI 90386 12 CAR,VR 90388 12 CAR,VR 90388 12 CAR,BVI 90390 12 CAR,BVI 90390 12 CAR,BVI 90390 12 CAR,VR 90392 12 CAR,VR 90392 12 CAR,VR 90392 12 CAR,VR 90392A 12 CAR,VR 90392A 12 CAR,VR 90392A 12 CAR,BYR 90394 12 CAR,BYR 90394 12 CAR,BYR 90394 12 CAR,ADH 90396 12 CAR,ADH 90396 12 CAR,ADH 90396 12 CAR,DRD 93010 12 CAR,DRD 93010 12 CAR,DRD 93010 12 CAR,DRD 93010 12 CAR,BVI 90398 12 CAR,BVI 90398 12 CAR,BVI 90398 12 CAR,BVI 94086 12 CAR,BVI 94086 12 CAR,BVI 94086 12 CAR,BVI 94086 12 CAR,BVI 94086 12 CAR,BVI 94088 12 CAR,BVI 94088 12 CAR,BVI 94088 12 CAR,BVI 94088 12 CAR
VIRAR,,10:25,10:25,,,,,10:30,10:30,,,,10:39,10:39,10:39,10:42,10:42,10:42,,,,,,,10:47,10:47,10:47,10:47,,,,Air,Air,Air,Air,Air,,,,
Nalla Sopara,,10:31,10:31,,,,,10:37,10:37,,,,10:45,10:45,10:45,,,,,,,,,,,,,,,,,Condition,Condition,Condition,Condition,Condition,,,,
VASAI ROAD,,10:36,10:36,,,,,10:42,10:42,,,,10:50,10:50,10:50,10:51,10:51,10:51,,,,,,,,,,,,,,,,,,,,,,
Naigaon,,10:40,10:40,,,,,10:46,10:46,,,,10:54,10:54,10:54,,,,,,,,,,,,,,,,,ON SAT,ON SAT,ON SAT,ON SAT,ON SAT,,,,
BHAYANDAR,,10:46,10:46,,,,,10:52,10:52,,,,11:00,11:00,11:00,10:59,10:59,10:59,11:04,11:04,11:04,,,,,,,,,,,& SUN,& SUN,& SUN,& SUN,& SUN,,,,
Mira Road,,10:51,10:51,,,,,10:57,10:57,,,,11:05,11:05,11:05,,,,11:10,11:10,11:10,,,,,,,,,,,NON AC,NON AC,NON AC,NON AC,NON AC,,,,
Dahisar,,10:55,10:55,,,,,11:01,11:01,,,,11:09,11:09,11:09,11:06,11:06,11:06,11:14,11:14,11:14,,,,,,,,,,,,,,,,,,,
BORIVALI,11:02,11:01,11:01,,,11:04,11:04,11:07,11:07,11:13,11:13,11:13,11:14,11:14,11:14,P,P,P,11:19,11:19,11:19,,,,,,,,11:20,11:20,11:20,11:23,11:23,11:23,11:23,11:23,11:23,11:23,11:23,11:23
Kandivali,11:08,,,,,11:10,11:10,11:12,11:12,11:18,11:18,11:18,,,,,,,,,,,,,,,,,11:25,11:25,11:25,Air,Air,Air,Air,Air,11:29,11:29,11:29,11:29
Malad,11:11,,,,,11:13,11:13,11:15,11:15,11:21,11:21,11:21,,,,,,,,,,,,,,,,,11:28,11:28,11:28,Condition,Condition,Condition,Condition,Condition,11:32,11:32,11:32,11:32
Goregaon,11:14,,,11:16,11:16,11:18,11:18,11:18,11:18,11:24,11:24,11:24,,,,,,,,,,,,,,,,,11:31,11:31,11:31,,,,,,11:35,11:35,11:35,11:35
Ram Mandir,11:16,,,11:19,11:19,--,--,11:20,11:20,11:26,11:26,11:26,,,,,,,,,,,,,,,,,11:33,11:33,11:33,,,,,,11:37,11:37,11:37,11:37
Jogeshwari,11:19,,,11:21,11:21,11:23,11:23,11:23,11:23,11:29,11:29,11:29,,,,,,,,,,,,,,,,,11:36,11:36,11:36,,,,,,11:40,11:40,11:40,11:40
ANDHERI,11:25,11:18,11:18,11:26,11:26,11:27,11:27,11:28,11:28,11:34,11:34,11:34,11:31,11:31,11:31,11:22,11:22,11:22,11:35,11:35,11:35,11:37,11:37,11:37,,,,,11:41,11:41,11:41,11:38,11:38,11:38,11:38,11:38,11:46,11:46,11:46,11:46
Vile Parle,11:29,,,11:30,11:30,,,11:31,11:31,11:37,11:37,11:37,,,,,,,,,,11:42,11:42,11:42,,,,,11:45,11:45,11:45,ON SAT,ON SAT,ON SAT,ON SAT,ON SAT,11:50,11:50,11:50,11:50
Santa Cruz,11:32,,,11:33,11:33,,,11:34,11:34,11:40,11:40,11:40,,,,,,,,,,11:45,11:45,11:45,,,,,11:48,11:48,11:48,& SUN,& SUN,& SUN,& SUN,& SUN,11:53,11:53,11:53,11:53
Khar Road,11:35,,,11:36,11:36,,,11:37,11:37,11:43,11:43,11:43,,,,,,,,,,11:48,11:48,11:48,,,,,11:51,11:51,11:51,NON AC,NON AC,NON AC,NON AC,NON AC,11:56,11:56,11:56,11:56
BANDRA,11:38,11:28,11:28,11:41,11:41,11:37,11:37,11:43,11:43,11:48,11:48,11:48,11:41,11:41,11:41,P,P,P,11:44,11:44,11:44,11:52,11:52,11:52,,,,,11:55,11:55,11:55,11:47,11:47,11:47,11:47,11:47,12:01,12:01,12:01,12:01
Mahim Jn.,11:41,,,11:44,11:44,,,,,11:51,11:51,11:51,,,,,,,,,,11:55,11:55,11:55,,,,,11:58,11:58,11:58,,,,,,12:04,12:04,12:04,12:04
Matunga Road,11:44,,,11:47,11:47,,,,,11:54,11:54,11:54,,,,,,,,,,11:58,11:58,11:58,,,,,12:01,12:01,12:01,,,,,,12:07,12:07,12:07,12:07
DADAR,11:48,11:34,11:34,11:51,11:51,11:43,11:43,,,11:58,11:58,11:58,11:47,11:47,11:47,11:40,11:40,11:40,11:50,11:50,11:50,12:02,12:02,12:02,,,,,12:05,12:05,12:05,11:53,11:53,11:53,11:53,11:53,12:11,12:11,12:11,12:11
Prabhadevi,11:50,,,11:53,11:53,,,,,12:00,12:00,12:00,,,,,,,,,,12:04,12:04,12:04,,,,,12:07,12:07,12:07,,,,,,12:13,12:13,12:13,12:13
Lower Parel,11:53,,,11:56,11:56,,,,,12:03,12:03,12:03,,,,,,,,,,12:07,12:07,12:07,,,,,12:10,12:10,12:10,,,,,,12:16,12:16,12:16,12:16
Mahalakshmi,11:56,,,11:59,11:59,,,,,12:06,12:06,12:06,,,,,,,,,,12:10,12:10,12:10,,,,,12:13,12:13,12:13,,,,,,12:19,12:19,12:19,12:19
M'BAI CENTRAL(L,11:59,11:43,11:43,12:02,12:02,11:50,11:50,,,12:09,12:09,12:09,11:54,11:54,11:54,,,,11:57,11:57,11:57,12:13,12:13,12:13,,,,,12:16,12:16,12:16,12:00,12:00,12:00,12:00,12:00,12:22,12:22,12:22,12:22
Grant Road,12:01,11:45,11:45,12:04,12:04,11:52,11:52,,,12:11,12:11,12:11,11:56,11:56,11:56,,,,11:59,11:59,11:59,12:15,12:15,12:15,,,,,12:18,12:18,12:18,12:02,12:02,12:02,12:02,12:02,12:24,12:24,12:24,12:24
Charni Road,12:03,11:47,11:47,12:06,12:06,11:54,11:54,,,12:13,12:13,12:13,11:58,11:58,11:58,,,,12:01,12:01,12:01,12:17,12:17,12:17,,,,,12:20,12:20,12:20,12:04,12:04,12:04,12:04,12:04,12:26,12:26,12:26,12:26
Marine Lines,12:06,11:50,11:50,12:09,12:09,11:57,11:57,,,12:16,12:16,12:16,12:01,12:01,12:01,,,,12:04,12:04,12:04,12:20,12:20,12:20,,,,,12:23,12:23,12:23,12:07,12:07,12:07,12:07,12:07,12:29,12:29,12:29,12:29
CHURCHGATE,12:09,11:55,11:55,12:12,12:12,12:01,12:01,,,12:19,12:19,12:19,12:06,12:06,12:06,,,,12:09,12:09,12:09,12:23,12:23,12:23,,,,,12:26,12:26,12:26,12:12,12:12,12:12,12:12,12:12,12:33,12:33,12:33,12:33
STATIONS UP TRAINS,BSR 92078 15 CAR,VR 94028 12 CAR,VR 94028 12 CAR,BVI 94092 12 CAR,BVI 94092 12 CAR,VR 92080 15 CAR,VR 92080 15 CAR,BVI 94030 12 CAR,BVI 94030 12 CAR,VR 90408 12 CAR,VR 90408 12 CAR,VR 90408 12 CAR,BVI 90410 12 CAR,BVI 90410 12 CAR,BVI 90410 12 CAR,GMN 90410A 12 CAR,GMN 90410A 12 CAR,GMN 90410A 12 CAR,VR 90412 12 CAR,VR 90412 12 CAR,VR 90412 12 CAR,BVI 90414 12 CAR,BVI 90414 12 CAR,BVI 90414 12 CAR,VR 92082 15 CAR,VR 92082 15 CAR,VR 92082 15 CAR,BVI 90416 12 CAR,BVI 90416 12 CAR,BVI 90416 12 CAR,VR 92084 15 CAR,VR 92084 15 CAR,VR 92084 15 CAR,VR 92084 15 CAR,DRD 93012 12 CAR,DRD 93012 12 CAR,DRD 93012 12 CAR,,,
VIRAR,,10:52,10:52,,,10:56,10:56,ON SAT,ON SAT,10:58,10:58,10:58,,,,,,,11:06,11:06,11:06,,,,11:10,11:10,11:10,,,,11:15,11:15,11:15,11:15,11:20,11:20,11:20,,,
Nalla Sopara,,10:58,10:58,,,11:02,11:02,& SUN,& SUN,11:04,11:04,11:04,,,,,,,11:12,11:12,11:12,,,,11:17,11:17,11:17,,,,11:21,11:21,11:21,11:21,,,,,,
VASAI ROAD,10:58,11:04,11:04,,,11:07,11:07,NON AC,NON AC,11:09,11:09,11:09,,,,,,,11:17,11:17,11:17,,,,11:22,11:22,11:22,,,,11:26,11:26,11:26,11:26,,,,,,
Naigaon,11:04,11:08,11:08,,,11:11,11:11,Air,Air,11:15,11:15,11:15,,,,,,,11:22,11:22,11:22,,,,11:26,11:26,11:26,,,,11:30,11:30,11:30,11:30,,,,,,
BHAYANDAR,11:10,11:14,11:14,,,11:17,11:17,Condition,Condition,11:21,11:21,11:21,,,,,,,11:28,11:28,11:28,,,,11:32,11:32,11:32,,,,11:36,11:36,11:36,11:36,,,,,,
Mira Road,11:15,11:20,11:20,,,11:23,11:23,,,11:26,11:26,11:26,,,,,,,11:33,11:33,11:33,,,,11:37,11:37,11:37,,,,11:41,11:41,11:41,11:41,,,,,,
Dahisar,11:20,11:24,11:24,,,11:27,11:27,,,11:31,11:31,11:31,,,,,,,11:37,11:37,11:37,,,,11:41,11:41,11:41,,,,11:45,11:45,11:45,11:45,,,,,,
BORIVALI,11:26,11:30,11:30,11:29,11:29,,,11:35,11:35,11:36,11:36,11:36,11:40,11:40,11:40,,,,11:42,11:42,11:42,11:44,11:44,11:44,11:47,11:47,11:47,11:47,11:47,11:47,11:50,11:50,11:50,11:50,,,,,,
Kandivali,11:32,Air,Air,11:35,11:35,,,11:40,11:40,,,,11:45,11:45,11:45,,,,,,,,,,,,,11:52,11:52,11:52,11:55,11:55,11:55,11:55,,,,,,
Malad,11:35,Condition,Condition,11:38,11:38,,,11:43,11:43,,,,11:48,11:48,11:48,,,,,,,,,,,,,11:55,11:55,11:55,11:58,11:58,11:58,11:58,,,,,,
Goregaon,11:38,,,11:41,11:41,,,11:46,11:46,,,,11:51,11:51,11:51,11:50,11:50,11:50,,,,,,,,,,11:58,11:58,11:58,12:01,12:01,12:01,12:01,,,,,,
Ram Mandir,11:40,,,11:43,11:43,,,11:48,11:48,,,,11:53,11:53,11:53,11:54,11:54,11:54,,,,,,,,,,12:00,12:00,12:00,12:03,12:03,12:03,12:03,,,,,,
Jogeshwari,11:43,,,11:46,11:46,,,11:51,11:51,,,,11:56,11:56,11:56,11:57,11:57,11:57,,,,,,,,,,12:03,12:03,12:03,12:06,12:06,12:06,12:06,,,,,,
ANDHERI,11:49,11:45,11:45,11:51,11:51,,,11:56,11:56,11:51,11:51,11:51,12:01,12:01,12:01,12:02,12:02,12:02,11:55,11:55,11:55,11:59,11:59,11:59,12:03,12:03,12:03,12:08,12:08,12:08,12:12,12:12,12:12,12:12,,,,,,
Vile Parle,,,,11:54,11:54,,,11:59,11:59,,,,12:04,12:04,12:04,12:06,12:06,12:06,,,,,,,,,,12:12,12:12,12:12,,,,,,,,,,
Santa Cruz,,,,11:57,11:57,,,12:02,12:02,,,,12:07,12:07,12:07,12:09,12:09,12:09,,,,,,,,,,12:15,12:15,12:15,,,,,,,,,,
Khar Road,,,,12:00,12:00,,,12:05,12:05,,,,12:10,12:10,12:10,12:12,12:12,12:12,,,,,,,,,,12:18,12:18,12:18,,,,,,,,,,
BANDRA,,11:54,11:54,12:04,12:04,,,12:09,12:09,12:00,12:00,12:00,12:14,12:14,12:14,12:17,12:17,12:17,12:04,12:04,12:04,12:08,12:08,12:08,12:12,12:12,12:12,12:22,12:22,12:22,,,,,,,,,,
Mahim Jn.,,,,12:07,12:07,,,12:12,12:12,,,,12:17,12:17,12:17,12:20,12:20,12:20,,,,,,,,,,12:25,12:25,12:25,,,,,,,,,,
Matunga Road,,,,12:10,12:10,,,12:15,12:15,,,,12:20,12:20,12:20,12:23,12:23,12:23,,,,,,,,,,12:28,12:28,12:28,,,,,,,,,,
DADAR,,12:00,12:00,12:14,12:14,,,12:19,12:19,12:06,12:06,12:06,12:24,12:24,12:24,12:27,12:27,12:27,12:10,12:10,12:10,12:14,12:14,12:14,12:19,12:19,12:19,12:32,12:32,12:32,,,,,,,,,,
Prabhadevi,,,,12:16,12:16,,,12:21,12:21,,,,12:26,12:26,12:26,12:29,12:29,12:29,,,,,,,,,,12:34,12:34,12:34,,,,,,,,,,
Lower Parel,,,,12:19,12:19,,,12:24,12:24,,,,12:29,12:29,12:29,12:32,12:32,12:32,,,,,,,,,,12:37,12:37,12:37,,,,,,,,,,
Mahalakshmi,,,,12:22,12:22,,,12:27,12:27,,,,12:32,12:32,12:32,12:35,12:35,12:35,,,,,,,,,,12:40,12:40,12:40,,,,,,,,,,
M'BAI CENTRAL(L,,12:07,12:07,12:25,12:25,,,12:30,12:30,12:13,12:13,12:13,12:35,12:35,12:35,12:38,12:38,12:38,12:17,12:17,12:17,12:21,12:21,12:21,12:27,12:27,12:27,12:43,12:43,12:43,,,,,,,,,,
Grant Road,,12:09,12:09,12:27,12:27,,,12:32,12:32,12:15,12:15,12:15,12:37,12:37,12:37,12:40,12:40,12:40,12:19,12:19,12:19,12:23,12:23,12:23,,,,12:45,12:45,12:45,,,,,,,,,,
Charni Road,,12:11,12:11,12:29,12:29,,,12:34,12:34,12:17,12:17,12:17,12:39,12:39,12:39,12:42,12:42,12:42,12:21,12:21,12:21,12:25,12:25,12:25,,,,12:47,12:47,12:47,,,,,,,,,,
Marine Lines,,12:14,12:14,12:32,12:32,,,12:37,12:37,12:20,12:20,12:20,12:42,12:42,12:42,12:45,12:45,12:45,12:24,12:24,12:24,12:28,12:28,12:28,,,,12:50,12:50,12:50,,,,,,,,,,
CHURCHGATE,,12:19,12:19,12:36,12:36,,,12:40,12:40,12:23,12:23,12:23,12:45,12:45,12:45,12:51,12:51,12:51,12:28,12:28,12:28,12:31,12:31,12:31,12:37,12:37,12:37,12:54,12:54,12:54,,,,,,,,,,
