STATIONS DN TRAINS,VR 92121 15 CAR,BVI 90577 12 CAR,BVI 90579 12 CAR,BVI 90579 12 CAR.1,GMN 90581 12 CAR,GMN 90581 12 CAR.1,GMN 90581 12 CAR.2,BVI 90583 12 CAR,BVI 90583 12 CAR.1,BVI 90583 12 CAR.2,VR 90585 12 CAR,VR 90585 12 CAR.1,VR 90585 12 CAR.2,BVI 90587 12 CAR,BVI 90587 12 CAR.1,BVI 90587 12 CAR.2,DRD 93027 12 CAR,DRD 93027 12 CAR.1,DRD 93027 12 CAR.2,BVI 90589 12 CAR,BVI 90589 12 CAR.1,BVI 90589 12 CAR.2,VR 94049 12 CAR,VR 94049 12 CAR.1,VR 94049 12 CAR.2,VR 94049 12 CAR.3,GMN 90593 12 CAR,GMN 90593 12 CAR.1,GMN 90593 12 CAR.2,GMN 90593 12 CAR.3,VR 92123 15 CAR,VR 92123 15 CAR.1,VR 92123 15 CAR.2,VR 92123 15 CAR.3,VR 92123 15 CAR.4,BVI 90595 12 CAR,BVI 90595 12 CAR.1,BVI 90595 12 CAR.2,BYR 90597 12 CAR,BYR 90597 12 CAR.1,BYR 90597 12 CAR.2,Unnamed: 42,Unnamed: 43,Unnamed: 44
Vile Parle,16:43,,,,,16:46,16:46,16:46,16:50,16:50,16:50,,,,,,,,,,16:56,16:56,16:56,17:00,17:00,17:00,17:00,,,,,,,,,,,,17:06,17:06,17:06,,,
ANDHERI,16:48,16:34,16:34,16:37,16:37,16:53,16:53,16:53,16:55,16:55,16:55,16:58,16:58,16:58,16:43,16:43,16:43,16:47,16:47,16:47,17:01,17:01,17:01,17:05,17:05,17:05,17:05,16:52,16:52,16:52,16:52,16:56,16:56,16:56,16:56,17:05,17:05,17:05,17:11,17:11,17:11,,,
Jogeshwari,16:51,,,,,16:57,16:57,16:57,16:58,16:58,16:58,17:02,17:02,17:02,,,,,,,17:04,17:04,17:04,17:08,17:08,17:08,17:08,,,,,,,,,,,,17:14,17:14,17:14,,,
Ram Mandir,16:54,,,,,17:00,17:00,17:00,17:01,17:01,17:01,17:05,17:05,17:05,,,,,,,17:07,17:07,17:07,17:11,17:11,17:11,17:11,,,,,,,,,,,,17:17,17:17,17:17,,,
Goregaon,16:56,,,,,17:04,17:04,17:04,17:03,17:03,17:03,17:07,17:07,17:07,,,,,,,17:09,17:09,17:09,17:13,17:13,17:13,17:13,,,,,,,,,,,,17:19,17:19,17:19,,,
Malad,17:00,,,,,,,,17:07,17:07,17:07,17:11,17:11,17:11,,,,,,,17:13,17:13,17:13,17:17,17:17,17:17,17:17,,,,,,,,,,,,17:23,17:23,17:23,,,
Kandivli,17:03,,,,,,,,17:10,17:10,17:10,17:14,17:14,17:14,,,,,,,17:16,17:16,17:16,17:20,17:20,17:20,17:20,,,,,,,,,,,,17:26,17:26,17:26,,,
BORIVALI,17:09,16:48,16:48,16:52,16:52,,,,17:16,17:16,17:16,17:18,17:18,17:18,16:57,16:57,16:57,17:01,17:01,17:01,17:23,17:23,17:23,17:27,17:27,17:27,17:27,17:05,17:05,17:05,17:05,17:13,17:13,17:13,17:13,17:17,17:17,17:17,17:32,17:32,17:32,,,
Dahisar,NOT ON,16:51,16:51,16:56,16:56,NOT ON,NOT ON,NOT ON,,,,17:22,17:22,17:22,17:01,17:01,17:01,17:05,17:05,17:05,,,,,,,,17:10,17:10,17:10,17:10,17:18,17:18,17:18,17:18,,,,,,,,,
Mira Road,SUN,16:56,16:56,17:01,17:01,SUN &,SUN &,SUN &,,,,17:27,17:27,17:27,17:06,17:06,17:06,17:10,17:10,17:10,,,,,,,,17:15,17:15,17:15,17:15,17:23,17:23,17:23,17:23,,,,,,,,,
Bhayandar,ONLY,17:01,17:01,17:06,17:06,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,17:32,17:32,17:32,17:11,17:11,17:11,17:15,17:15,17:15,,,,,,,,17:22,17:22,17:22,17:22,17:28,17:28,17:28,17:28,17:26,17:26,17:26,,,,,,
Naigaon,,17:07,17:07,17:12,17:12,,,,,,,17:38,17:38,17:38,17:16,17:16,17:16,17:20,17:20,17:20,,,,,,,,,,,,17:34,17:34,17:34,17:34,,,,,,,,,
Vasai Road,,17:12,17:12,17:17,17:17,,,,,,,17:43,17:43,17:43,17:21,17:21,17:21,17:25,17:25,17:25,,,,,,,,,,,,17:39,17:39,17:39,17:39,17:34,17:34,17:34,,,,,,
Nalla Sopara,,17:17,17:17,17:22,17:22,,,,,,,17:48,17:48,17:48,17:26,17:26,17:26,17:30,17:30,17:30,,,,,,,,,,,,17:44,17:44,17:44,17:44,,,,,,,,,
VIRAR,,17:25,17:25,17:30,17:30,,,,,,,17:57,17:57,17:57,17:33,17:33,17:33,17:37,17:37,17:37,,,,,,,,,,,,17:53,17:53,17:53,17:53,17:45,17:45,17:45,,,,,,
STATIONS DN TRAINS,VR 92139 15 CAR,VR 90645 12 CAR,VR 90645 12 CAR,BVI 90647 12 CAR,BVI 90647 12 CAR,BVI 90649 12 CAR,BVI 90649 12 CAR,BVI 90649 12 CAR,GMN 90651 12 CAR,GMN 90651 12 CAR,GMN 90651 12 CAR,ADH 90653 12 CAR,ADH 90653 12 CAR,ADH 90653 12 CAR,VR 94051 12 CAR,VR 94051 12 CAR,VR 94051 12 CAR,VR 90655 12 CAR,VR 90655 12 CAR,VR 90655 12 CAR,VR 90655 12 CAR,BVI 90657 12 CAR,BVI 90657 12 CAR,BVI 90657 12 CAR,BVI 90657 12 CAR,BSR 92141 12 CAR,BSR 92141 12 CAR,BSR 92141 12 CAR,BSR 92141 12 CAR,VR 90659 12 CAR,VR 90659 12 CAR,VR 90659 12 CAR,VR 90659 12 CAR,VR 90659 12 CAR,BVI 90661 12 CAR,BVI 90661 12 CAR,BVI 90661 12 CAR,GMN 90663 12 CAR,GMN 90663 12 CAR,GMN 90663 12 CAR,VR 90665 12 CAR,VR 90665 12 CAR,VR 90665 12 CAR,
CHURCHGATE,,,,16:33,16:33,16:36,16:36,16:36,16:40,16:40,16:40,16:43,16:43,16:43,16:39,16:39,16:39,16:43,16:43,16:43,16:43,16:46,16:46,16:46,16:46,,,,,,,,,,16:51,16:51,16:51,16:55,16:55,16:55,,,,
Marine Lines,,,,16:36,16:36,16:39,16:39,16:39,16:43,16:43,16:43,16:46,16:46,16:46,16:42,16:42,16:42,16:46,16:46,16:46,16:46,16:49,16:49,16:49,16:49,,,,,,,,,,16:54,16:54,16:54,16:58,16:58,16:58,,,,
Charni Road,,,,16:38,16:38,16:41,16:41,16:41,16:45,16:45,16:45,16:48,16:48,16:48,16:44,16:44,16:44,16:48,16:48,16:48,16:48,16:51,16:51,16:51,16:51,,,,,,,,,,16:56,16:56,16:56,17:00,17:00,17:00,,,,
Grant Road,,,,16:41,16:41,16:44,16:44,16:44,16:48,16:48,16:48,16:51,16:51,16:51,16:47,16:47,16:47,16:51,16:51,16:51,16:51,16:54,16:54,16:54,16:54,,,,,,,,,,16:59,16:59,16:59,17:03,17:03,17:03,,,,
M'BAI CENTRAL (L),,,,16:43,16:43,16:46,16:46,16:46,16:50,16:50,16:50,16:53,16:53,16:53,16:49,16:49,16:49,16:53,16:53,16:53,16:53,16:56,16:56,16:56,16:56,,,,,,,,,,17:01,17:01,17:01,17:05,17:05,17:05,,,,
Mahalakshmi,,,,16:46,16:46,16:49,16:49,16:49,16:53,16:53,16:53,16:56,16:56,16:56,Air,Air,Air,,,,,16:59,16:59,16:59,16:59,,,,,,,,,,17:04,17:04,17:04,17:08,17:08,17:08,,,,
Lower Parel,NOT ON,,,16:49,16:49,16:52,16:52,16:52,16:56,16:56,16:56,16:59,16:59,16:59,Condition,Condition,Condition,,,,,17:02,17:02,17:02,17:02,,,,,,,,,,17:07,17:07,17:07,17:11,17:11,17:11,,,,
Prabhadevi,SUN,,,16:52,16:52,16:55,16:55,16:55,16:59,16:59,16:59,17:02,17:02,17:02,,,,,,,,17:05,17:05,17:05,17:05,,,,,,,,,,17:10,17:10,17:10,17:14,17:14,17:14,,,,
DADAR,ONLY,,,16:54,16:54,16:57,16:57,16:57,17:01,17:01,17:01,17:04,17:04,17:04,16:56,16:56,16:56,17:00,17:00,17:00,17:00,17:07,17:07,17:07,17:07,,,,,,,,,,17:12,17:12,17:12,17:16,17:16,17:16,,,,
Matunga Road,,,,16:56,16:56,16:59,16:59,16:59,17:03,17:03,17:03,17:06,17:06,17:06,,,,,,,,17:09,17:09,17:09,17:09,,,,,,,,,,17:14,17:14,17:14,17:18,17:18,17:18,,,,
Mahim Jn.,,,,16:59,16:59,17:02,17:02,17:02,17:06,17:06,17:06,17:09,17:09,17:09,,,,,,,,17:12,17:12,17:12,17:12,,,,,,,,,,17:17,17:17,17:17,17:21,17:21,17:21,,,,
BANDRA,,,,17:03,17:03,17:06,17:06,17:06,17:10,17:10,17:10,17:13,17:13,17:13,17:01,17:01,17:01,17:05,17:05,17:05,17:05,17:16,17:16,17:16,17:16,,,,,17:18,17:18,17:18,17:18,17:18,17:21,17:21,17:21,17:25,17:25,17:25,,,,
Khar Road,,,,17:06,17:06,17:09,17:09,17:09,17:13,17:13,17:13,17:16,17:16,17:16,,,,,,,,17:19,17:19,17:19,17:19,,,,,17:22,17:22,17:22,17:22,17:22,17:25,17:25,17:25,17:28,17:28,17:28,,,,
Santa Cruz,,,,17:09,17:09,17:11,17:11,17:11,17:16,17:16,17:16,17:18,17:18,17:18,,,,,,,,17:21,17:21,17:21,17:21,,,,,17:24,17:24,17:24,17:24,17:24,17:27,17:27,17:27,17:31,17:31,17:31,,,,
Vile Parle,,,,17:12,17:12,17:14,17:14,17:14,17:19,17:19,17:19,17:21,17:21,17:21,,,,,,,,17:24,17:24,17:24,17:24,,,,,17:27,17:27,17:27,17:27,17:27,17:30,17:30,17:30,17:34,17:34,17:34,,,,
ANDHERI,,17:13,17:13,17:17,17:17,17:20,17:20,17:20,17:23,17:23,17:23,17:27,17:27,17:27,17:10,17:10,17:10,17:13,17:13,17:13,17:13,17:29,17:29,17:29,17:29,,,,,17:31,17:31,17:31,17:31,17:31,17:34,17:34,17:34,17:39,17:39,17:39,17:25,17:25,17:25,
Jogeshwari,,17:17,17:17,17:20,17:20,17:23,17:23,17:23,17:27,17:27,17:27,,,,,,,,,,,17:32,17:32,17:32,17:32,,,,,17:34,17:34,17:34,17:34,17:34,17:37,17:37,17:37,17:43,17:43,17:43,,,,
Ram Mandir,,17:20,17:20,17:23,17:23,17:26,17:26,17:26,17:30,17:30,17:30,,,,,,,,,,,17:35,17:35,17:35,17:35,,,,,17:37,17:37,17:37,17:37,17:37,17:40,17:40,17:40,17:46,17:46,17:46,,,,
Goregaon,,17:22,17:22,17:25,17:25,17:28,17:28,17:28,17:33,17:33,17:33,,,,,,,,,,,17:37,17:37,17:37,17:37,,,,,17:39,17:39,17:39,17:39,17:39,17:42,17:42,17:42,17:50,17:50,17:50,,,,
Malad,,17:26,17:26,17:29,17:29,17:32,17:32,17:32,,,,,,,,,,,,,,17:41,17:41,17:41,17:41,,,,,17:43,17:43,17:43,17:43,17:43,17:46,17:46,17:46,,,,,,,
Kandivli,,17:29,17:29,17:32,17:32,17:35,17:35,17:35,,,,,,,,,,,,,,17:44,17:44,17:44,17:44,,,,,17:46,17:46,17:46,17:46,17:46,17:49,17:49,17:49,,,,,,,
BORIVALI,17:21,17:34,17:34,17:38,17:38,17:41,17:41,17:41,,,,,,,17:24,17:24,17:24,17:28,17:28,17:28,17:28,17:50,17:50,17:50,17:50,17:43,17:43,17:43,17:43,17:51,17:51,17:51,17:51,17:51,17:55,17:55,17:55,,,,17:39,17:39,17:39,
Dahisar,17:26,17:39,17:39,,,,,,,,,,,,17:30,17:30,17:30,17:34,17:34,17:34,17:34,,,,,17:47,17:47,17:47,17:47,17:56,17:56,17:56,17:56,17:56,,,,,,,17:44,17:44,17:44,
Mira Road,17:31,17:44,17:44,,,,,,,,,,,,17:35,17:35,17:35,17:39,17:39,17:39,17:39,,,,,17:52,17:52,17:52,17:52,18:01,18:01,18:01,18:01,18:01,,,,,,,17:49,17:49,17:49,
Bhayandar,17:36,17:49,17:49,,,,,,,,,,,,17:40,17:40,17:40,17:44,17:44,17:44,17:44,,,,,17:57,17:57,17:57,17:57,18:06,18:06,18:06,18:06,18:06,,,,,,,17:54,17:54,17:54,
Naigaon,17:42,17:55,17:55,,,,,,,,,,,,17:46,17:46,17:46,17:50,17:50,17:50,17:50,,,,,18:03,18:03,18:03,18:03,18:12,18:12,18:12,18:12,18:12,,,,,,,18:00,18:00,18:00,
Vasai Road,17:47,18:00,18:00,,,,,,,,,,,,17:51,17:51,17:51,17:55,17:55,17:55,17:55,,,,,18:10,18:10,18:10,18:10,18:17,18:17,18:17,18:17,18:17,,,,,,,18:05,18:05,18:05,
Nalla Sopara,17:53,18:05,18:05,,,,,,,,,,,,17:56,17:56,17:56,18:00,18:00,18:00,18:00,,,,,,,,,18:22,18:22,18:22,18:22,18:22,,,,,,,18:11,18:11,18:11,
VIRAR,18:01,18:15,18:15,,,,,,,,,,,,18:04,18:04,18:04,18:08,18:08,18:08,18:08,,,,,,,,,18:29,18:29,18:29,18:29,18:29,,,,,,,18:20,18:20,18:20,
STATIONS DN TRAINS,DRD 93029 12 CAR,BVI 90667 12 CAR,BVI 90667 12 CAR,VR 94053 12 CAR,VR 94053 12 CAR,GMN 90671 12 CAR,GMN 90671 12 CAR,GMN 90671 12 CAR,BVI 90673 12 CAR,BVI 90673 12 CAR,BVI 90673 12 CAR,VR 92143 15 CAR,VR 92143 15 CAR,VR 92143 15 CAR,VR 92145 15 CAR,VR 92145 15 CAR,VR 92145 15 CAR,ADH 90675 12 CAR,ADH 90675 12 CAR,ADH 90675 12 CAR,BVI 90677 12 CAR,BVI 90677 12 CAR,BVI 90677 12 CAR,VR 90679 12 CAR,VR 90679 12 CAR,VR 90679 12 CAR,VR 90679 12 CAR,BVI 90681 12 CAR,BVI 90681 12 CAR,BVI 90681 12 CAR,BVI 90681 12 CAR,BVI 90681 12 CAR,BVI 94055 12 CAR,BVI 94055 12 CAR,BVI 94055 12 CAR,BVI 94055 12 CAR,VR 92147 15 CAR,VR 92147 15 CAR,VR 92147 15 CAR,VR 90685 12 CAR,VR 90685 12 CAR,VR 90685 12 CAR,,
CHURCHGATE,,17:00,17:00,17:03,17:03,17:04,17:04,17:04,17:07,17:07,17:07,,,,,,,17:07,17:07,17:07,17:10,17:10,17:10,17:12,17:12,17:12,17:12,17:16,17:16,17:16,17:16,17:16,17:15,17:15,17:15,17:15,,,,17:19,17:19,17:19,,
Marine Lines,,17:03,17:03,17:06,17:06,17:07,17:07,17:07,17:10,17:10,17:10,,,,,,,17:10,17:10,17:10,17:13,17:13,17:13,17:15,17:15,17:15,17:15,17:19,17:19,17:19,17:19,17:19,17:18,17:18,17:18,17:18,,,,17:22,17:22,17:22,,
Charni Road,,17:05,17:05,17:08,17:08,17:09,17:09,17:09,17:12,17:12,17:12,,,,,,,17:12,17:12,17:12,17:15,17:15,17:15,17:17,17:17,17:17,17:17,17:21,17:21,17:21,17:21,17:21,17:20,17:20,17:20,17:20,,,,17:24,17:24,17:24,,
Grant Road,,17:08,17:08,17:11,17:11,17:12,17:12,17:12,17:15,17:15,17:15,,,,,,,17:15,17:15,17:15,17:18,17:18,17:18,17:20,17:20,17:20,17:20,17:24,17:24,17:24,17:24,17:24,17:23,17:23,17:23,17:23,,,,17:27,17:27,17:27,,
M'BAI CENTRAL (L),,17:10,17:10,17:15,17:15,17:14,17:14,17:14,17:18,17:18,17:18,,,,,,,17:17,17:17,17:17,17:20,17:20,17:20,17:22,17:22,17:22,17:22,17:26,17:26,17:26,17:26,17:26,17:25,17:25,17:25,17:25,,,,17:29,17:29,17:29,,
Mahalakshmi,,17:13,17:13,Air,Air,17:17,17:17,17:17,,,,,,,,,,17:20,17:20,17:20,17:23,17:23,17:23,,,,,17:29,17:29,17:29,17:29,17:29,Air,Air,Air,Air,NOT ON,NOT ON,NOT ON,17:32,17:32,17:32,,
Lower Parel,,17:16,17:16,Condition,Condition,17:20,17:20,17:20,,,,,,,,,,17:23,17:23,17:23,17:26,17:26,17:26,,,,,17:32,17:32,17:32,17:32,17:32,Condition,Condition,Condition,Condition,SUN,SUN,SUN,17:36,17:36,17:36,,
Prabhadevi,,17:19,17:19,,,17:23,17:23,17:23,,,,,,,,,,17:26,17:26,17:26,17:29,17:29,17:29,,,,,17:35,17:35,17:35,17:35,17:35,,,,,ONLY,ONLY,ONLY,17:39,17:39,17:39,,
DADAR,,17:21,17:21,17:23,17:23,17:25,17:25,17:25,17:26,17:26,17:26,17:27,17:27,17:27,,,,17:28,17:28,17:28,17:31,17:31,17:31,17:30,17:30,17:30,17:30,17:37,17:37,17:37,17:37,17:37,17:33,17:33,17:33,17:33,,,,17:41,17:41,17:41,,
Matunga Road,,17:23,17:23,,,17:27,17:27,17:27,,,,,,,,,,17:30,17:30,17:30,17:33,17:33,17:33,,,,,17:39,17:39,17:39,17:39,17:39,,,,,,,,17:43,17:43,17:43,,
Mahim Jn.,,17:26,17:26,,,17:30,17:30,17:30,,,,,,,,,,17:33,17:33,17:33,17:36,17:36,17:36,,,,,17:42,17:42,17:42,17:42,17:42,,,,,,,,17:46,17:46,17:46,,
BANDRA,,17:30,17:30,17:28,17:28,17:34,17:34,17:34,17:31,17:31,17:31,17:34,17:34,17:34,,,,17:37,17:37,17:37,17:40,17:40,17:40,17:37,17:37,17:37,17:37,17:46,17:46,17:46,17:46,17:46,17:40,17:40,17:40,17:40,,,,17:50,17:50,17:50,,
Khar Road,,17:33,17:33,,,17:37,17:37,17:37,,,,,,,,,,17:40,17:40,17:40,17:43,17:43,17:43,,,,,17:50,17:50,17:50,17:50,17:50,,,,,,,,17:53,17:53,17:53,,
Santa Cruz,,17:35,17:35,,,17:40,17:40,17:40,,,,,,,,,,17:42,17:42,17:42,17:45,17:45,17:45,,,,,17:53,17:53,17:53,17:53,17:53,,,,,,,,17:56,17:56,17:56,,
Vile Parle,,17:38,17:38,,,17:43,17:43,17:43,,,,,,,,,,17:45,17:45,17:45,17:48,17:48,17:48,,,,,17:56,17:56,17:56,17:56,17:56,,,,,,,,17:59,17:59,17:59,,
ANDHERI,,17:43,17:43,17:35,17:35,17:48,17:48,17:48,17:39,17:39,17:39,17:42,17:42,17:42,17:47,17:47,17:47,17:52,17:52,17:52,17:53,17:53,17:53,17:45,17:45,17:45,17:45,18:01,18:01,18:01,18:01,18:01,17:48,17:48,17:48,17:48,,,,18:04,18:04,18:04,,
Jogeshwari,,17:47,17:47,,,17:52,17:52,17:52,17:43,17:43,17:43,,,,17:52,17:52,17:52,,,,17:56,17:56,17:56,,,,,18:04,18:04,18:04,18:04,18:04,,,,,,,,18:07,18:07,18:07,,
Ram Mandir,,17:50,17:50,ON SAT,ON SAT,17:55,17:55,17:55,--,--,--,,,,17:55,17:55,17:55,,,,17:59,17:59,17:59,,,,,18:07,18:07,18:07,18:07,18:07,ON SAT,ON SAT,ON SAT,ON SAT,,,,18:10,18:10,18:10,,
Goregaon,,17:52,17:52,& SUN,& SUN,18:00,18:00,18:00,17:47,17:47,17:47,,,,17:57,17:57,17:57,,,,18:01,18:01,18:01,,,,,18:09,18:09,18:09,18:09,18:09,& SUN,& SUN,& SUN,& SUN,,,,18:12,18:12,18:12,,
Malad,,17:57,17:57,NON AC,NON AC,,,,17:50,17:50,17:50,,,,18:02,18:02,18:02,,,,18:05,18:05,18:05,,,,,18:13,18:13,18:13,18:13,18:13,NON AC,NON AC,NON AC,NON AC,,,,18:16,18:16,18:16,,
Kandivli,,18:00,18:00,,,,,,17:53,17:53,17:53,,,,18:05,18:05,18:05,,,,18:08,18:08,18:08,,,,,18:16,18:16,18:16,18:16,18:16,,,,,,,,18:19,18:19,18:19,,
BORIVALI,,18:06,18:06,17:49,17:49,,,,18:00,18:00,18:00,17:54,17:54,17:54,18:10,18:10,18:10,,,,18:16,18:16,18:16,17:58,17:58,17:58,17:58,18:23,18:23,18:23,18:23,18:23,18:03,18:03,18:03,18:03,18:15,18:15,18:15,18:25,18:25,18:25,,
Dahisar,,,,17:54,17:54,,,,,,,17:59,17:59,17:59,18:15,18:15,18:15,NOT ON,NOT ON,NOT ON,,,,18:02,18:02,18:02,18:02,,,,,,,,,,18:20,18:20,18:20,18:30,18:30,18:30,,
Mira Road,,,,17:58,17:58,,,,,,,18:04,18:04,18:04,18:20,18:20,18:20,SUN,SUN,SUN,,,,18:07,18:07,18:07,18:07,,,,,,,,,,18:25,18:25,18:25,18:35,18:35,18:35,,
Bhayandar,,,,18:03,18:03,,,,,,,18:09,18:09,18:09,18:25,18:25,18:25,ONLY,ONLY,ONLY,,,,18:12,18:12,18:12,18:12,,,,,,,,,,18:30,18:30,18:30,18:40,18:40,18:40,,
Naigaon,,,,18:08,18:08,,,,,,,18:15,18:15,18:15,18:31,18:31,18:31,,,,,,,18:18,18:18,18:18,18:18,,,,,,,,,,18:36,18:36,18:36,18:46,18:46,18:46,,
Vasai Road,,,,18:13,18:13,,,,,,,18:20,18:20,18:20,18:36,18:36,18:36,,,,,,,18:22,18:22,18:22,18:22,,,,,,,,,,18:41,18:41,18:41,18:51,18:51,18:51,,
Nalla Sopara,,,,18:18,18:18,,,,,,,18:25,18:25,18:25,18:41,18:41,18:41,,,,,,,18:27,18:27,18:27,18:27,,,,,,,,,,18:46,18:46,18:46,18:57,18:57,18:57,,
VIRAR,18:05,,,18:25,18:25,,,,,,,18:34,18:34,18:34,18:48,18:48,18:48,,,,,,,18:37,18:37,18:37,18:37,,,,,,,,,,18:53,18:53,18:53,19:06,19:06,19:06,,
STATIONS DN TRAINS,BVI 90687 12 CAR,BVI 90689 12 CAR,BVI 90689 12 CAR,BA 90691 12 CAR,BA 90691 12 CAR,BVI 90693 12 CAR,BVI 90693 12 CAR,BVI 90693 12 CAR,GMN 90695 12 CAR,GMN 90695 12 CAR,GMN 90695 12 CAR,BVI 90697 12 CAR,BVI 90697 12 CAR,BVI 90697 12 CAR,BVI 90699 12 CAR,BVI 90699 12 CAR,BVI 90699 12 CAR,VR 90701 12 CAR,VR 90701 12 CAR,VR 90701 12 CAR,VR 90703 12 CAR,VR 90703 12 CAR,VR 90703 12 CAR,VR 92149 15 CAR,VR 92149 15 CAR,VR 92149 15 CAR,VR 92149 15 CAR,BVI* 90705 12 CAR,BVI* 90705 12 CAR,BVI* 90705 12 CAR,BVI* 90705 12 CAR,BVI* 90705 12 CAR,BVI* 90705 12 CAR,BVI 90707 12 CAR,BVI 90707 12 CAR,BVI 90707 12 CAR,VR 92151 12 CAR,VR 92151 12 CAR,VR 92151 12 CAR,DRD 93031 12 CAR,DRD 93031 12 CAR,DRD 93031 12 CAR,,
CHURCHGATE,17:24,,,17:27,17:27,17:28,17:28,17:28,17:30,17:30,17:30,17:33,17:33,17:33,,,,,,,17:36,17:36,17:36,,,,,17:39,17:39,17:39,17:39,17:39,17:39,17:39,17:39,17:39,,,,,,,,
Marine Lines,17:27,,,17:30,17:30,17:31,17:31,17:31,17:33,17:33,17:33,17:36,17:36,17:36,,,,,,,17:39,17:39,17:39,,,,,17:42,17:42,17:42,17:42,17:42,17:42,17:42,17:42,17:42,,,,,,,,
Charni Road,17:29,,,17:32,17:32,17:33,17:33,17:33,17:35,17:35,17:35,17:38,17:38,17:38,,,,,,,17:41,17:41,17:41,,,,,17:44,17:44,17:44,17:44,17:44,17:44,17:44,17:44,17:44,,,,,,,,
Grant Road,17:32,,,17:35,17:35,17:36,17:36,17:36,17:38,17:38,17:38,17:41,17:41,17:41,,,,,,,17:44,17:44,17:44,,,,,17:47,17:47,17:47,17:47,17:47,17:47,17:47,17:47,17:47,,,,,,,,
M'BAI CENTRAL (L),17:34,,,17:37,17:37,17:38,17:38,17:38,17:40,17:40,17:40,17:43,17:43,17:43,,,,,,,17:46,17:46,17:46,,,,,17:49,17:49,17:49,17:49,17:49,17:49,17:49,17:49,17:49,,,,,,,,
Mahalakshmi,,17:36,17:36,17:40,17:40,,,,17:43,17:43,17:43,17:46,17:46,17:46,,,,,,,,,,,,,,17:52,17:52,17:52,17:52,17:52,17:52,,,,,,,,,,,
Lower Parel,,17:40,17:40,17:43,17:43,,,,17:46,17:46,17:46,17:49,17:49,17:49,,,,,,,,,,,,,,17:55,17:55,17:55,17:55,17:55,17:55,,,,,,,,,,,
Prabhadevi,,17:43,17:43,17:46,17:46,,,,17:49,17:49,17:49,17:52,17:52,17:52,,,,,,,,,,,,,,17:58,17:58,17:58,17:58,17:58,17:58,,,,,,,,,,,
DADAR,17:41,17:45,17:45,17:48,17:48,17:45,17:45,17:45,17:51,17:51,17:51,17:54,17:54,17:54,,,,,,,17:54,17:54,17:54,,,,,18:00,18:00,18:00,18:00,18:00,18:00,17:57,17:57,17:57,,,,18:00,18:00,18:00,,
Matunga Road,,17:47,17:47,17:50,17:50,,,,17:53,17:53,17:53,17:56,17:56,17:56,,,,,,,,,,,,,,18:02,18:02,18:02,18:02,18:02,18:02,,,,,,,,,,,
Mahim Jn.,,17:50,17:50,17:53,17:53,,,,17:56,17:56,17:56,17:59,17:59,17:59,,,,,,,,,,,,,,18:05,18:05,18:05,18:05,18:05,18:05,,,,,,,,,,,
BANDRA,17:46,17:54,17:54,17:57,17:57,17:50,17:50,17:50,18:00,18:00,18:00,18:03,18:03,18:03,18:06,18:06,18:06,,,,18:00,18:00,18:00,,,,,18:09,18:09,18:09,18:09,18:09,18:09,18:03,18:03,18:03,,,,18:06,18:06,18:06,,
Khar Road,,17:57,17:57,,,,,,18:03,18:03,18:03,18:06,18:06,18:06,18:10,18:10,18:10,,,,,,,,,,,18:13,18:13,18:13,18:13,18:13,18:13,,,,,,,,,,,
Santa Cruz,,18:00,18:00,,,,,,18:05,18:05,18:05,18:08,18:08,18:08,18:12,18:12,18:12,,,,,,,,,,,18:15,18:15,18:15,18:15,18:15,18:15,,,,,,,,,,,
Vile Parle,,18:03,18:03,,,,,,18:08,18:08,18:08,18:11,18:11,18:11,18:15,18:15,18:15,,,,,,,,,,,18:18,18:18,18:18,18:18,18:18,18:18,,,,,,,,,,,
ANDHERI,17:54,18:08,18:08,,,17:58,17:58,17:58,18:14,18:14,18:14,18:15,18:15,18:15,18:18,18:18,18:18,,,,18:08,18:08,18:08,18:20,18:20,18:20,18:20,18:24,18:24,18:24,18:24,18:24,18:24,18:11,18:11,18:11,18:10,18:10,18:10,18:14,18:14,18:14,,
Jogeshwari,17:57,18:11,18:11,,,18:01,18:01,18:01,18:18,18:18,18:18,18:19,18:19,18:19,18:22,18:22,18:22,,,,,,,18:25,18:25,18:25,18:25,18:28,18:28,18:28,18:28,18:28,18:28,18:15,18:15,18:15,,,,,,,,
Ram Mandir,--,18:14,18:14,,,--,--,--,18:21,18:21,18:21,18:22,18:22,18:22,18:25,18:25,18:25,,,,,,,18:28,18:28,18:28,18:28,18:31,18:31,18:31,18:31,18:31,18:31,--,--,--,,,,,,,,
Goregaon,18:01,18:16,18:16,,,18:05,18:05,18:05,18:25,18:25,18:25,18:24,18:24,18:24,18:27,18:27,18:27,,,,,,,18:30,18:30,18:30,18:30,18:33,18:33,18:33,18:33,18:33,18:33,18:20,18:20,18:20,,,,,,,,
Malad,18:05,18:20,18:20,,,18:09,18:09,18:09,,,,18:28,18:28,18:28,18:31,18:31,18:31,,,,,,,18:34,18:34,18:34,18:34,18:37,18:37,18:37,18:37,18:37,18:37,18:24,18:24,18:24,,,,,,,,
Kandivli,18:08,18:23,18:23,,,18:12,18:12,18:12,,,,18:31,18:31,18:31,18:34,18:34,18:34,,,,,,,18:37,18:37,18:37,18:37,18:40,18:40,18:40,18:40,18:40,18:40,18:27,18:27,18:27,,,,,,,,
