STATIONS DN TRAINS,BVI 90841 12 CAR,BVI 90843 12 CAR,GMN 90845 12 CAR,DRD 93035 12 CAR,VR 94069 12 CAR,BVI 90849 12 CAR,VR 90851 12 CAR,BVI 90853 12 CAR,BA 90855 12 CAR,GMN 90857 12 CAR,BVI 90859 12 CAR,GMN 90861 12 CAR,BVI 90863 12 CAR,VR 92183 15 CAR
Charni Road,20:35,20:38,20:42,20:43,,20:46,20:49,20:52,20:57,20:57,,21:00,,21:03
Grant Road,20:38,20:41,20:45,20:46,,20:49,20:52,20:55,21:00,21:00,,21:03,,21:06
M'BAI CENTRAL (L),20:41,20:43,20:47,20:48,,20:51,20:54,20:57,21:02,21:02,,21:05,,21:08
Mahalakshmi,,20:46,20:50,,,,20:57,21:00,21:05,,,21:08,NOT ON,21:11
Lower Parel,,20:49,20:53,,,,21:00,21:03,21:08,,,21:11,SUN,21:14
Prabhadevi,,20:52,20:56,,,,21:03,21:06,21:11,,,21:14,ONLY,21:17
DADAR,20:50,20:54,20:58,20:55,,20:58,21:05,21:08,21:13,21:09,21:08,21:16,,21:20
Matunga Road,,20:56,21:00,,,,21:07,21:10,21:15,,,21:18,,21:22
Mahim Jn.,,20:59,21:03,,,,21:10,21:13,21:18,,,21:21,,21:25
BANDRA,20:57,21:03,21:07,21:00,,21:03,21:14,21:17,21:22,21:14,21:17,21:25,,21:29
Khar Road,,21:07,21:11,,,,21:17,,21:26,,,21:29,,21:33
Santa Cruz,,21:09,21:13,,,,21:19,,21:28,,,21:31,,21:36
Vile Parle,,21:12,21:16,,,,21:22,,21:31,,,21:34,,21:39
ANDHERI,21:05,21:18,21:22,21:09,21:25,21:12,21:28,,21:36,21:22,21:25,21:40,,21:45
Jogeshwari,,21:21,21:25,,21:29,,21:32,,21:40,,21:28,21:45,,21:49
Ram Mandir,,21:24,21:28,,21:32,,21:35,,21:43,,--,21:48,,21:52
Goregaon,,21:26,21:30,,21:34,,21:37,,21:45,,21:33,21:50,,21:56
Malad,,21:30,21:34,,21:38,,21:41,,21:50,,21:38,21:54,,
Kandivli,,21:33,21:37,,21:41,,21:44,,21:53,,21:42,21:57,,
BORIVALI,21:21,21:39,21:43,21:24,21:46,21:28,21:50,,21:59,21:37,21:49,22:04,22:00,
Dahisar,NOT ON,,,21:29,21:50,,21:54,,,21:41,,,22:06,
Mira Road,SUN,,,21:34,21:55,,21:59,,,21:46,,,22:11,
Bhayandar,ONLY,,,21:39,22:00,,22:04,,,21:51,,,22:16,
Naigaon,,,,21:45,22:06,,22:10,,,21:57,,,22:22,
Vasai Road,,,,21:50,22:11,,22:15,,,22:02,,,22:27,
Nalla Sopara,,,,21:55,22:16,,22:20,,,22:07,,,22:32,
VIRAR,,,,22:03,22:23,,22:29,,,22:13,,,22:39,
STATIONS DN TRAINS,VR 94073 12 CAR,VR 90913 12 CAR,MDD 90915 12 CAR,BVI 90917 12 CAR,BVI 90919 12 CAR,BVI 90921 12 CAR,BSR 92191 15 CAR,BCL 90923 12 CAR,BVI 90925 12 CAR,VR 90927 12 CAR,BYR 90929 12 CAR,BVI 90931 12 CAR,VR 90933 12 CAR,VR 92193 15 CAR
CHURCHGATE,,21:05,21:05,21:08,21:12,21:14,,21:17,21:20,21:22,21:23,21:26,21:33,
Marine Lines,,21:08,21:08,21:11,21:15,21:17,,21:20,21:23,21:25,21:26,21:29,21:36,
Charni Road,,21:10,21:10,21:13,21:17,21:19,,21:22,21:25,21:27,21:28,21:31,21:38,
Grant Road,,21:13,21:13,21:16,21:20,21:22,,21:25,21:28,21:30,21:31,21:34,21:41,
M'BAI CENTRAL (L),,21:15,21:15,21:18,21:22,21:24,,21:27,21:30,21:32,21:33,21:36,21:43,
Mahalakshmi,Air,21:18,,21:21,,21:27,,,21:33,,21:36,21:39,,
Lower Parel,Condition,21:21,,21:24,,21:30,,,21:36,,21:39,21:42,,
Prabhadevi,,21:24,,21:27,,21:33,,,21:39,,21:42,21:45,,
DADAR,21:19,21:26,21:22,21:30,21:29,21:35,,,21:41,21:39,21:44,21:47,21:50,
Matunga Road,,21:28,,21:32,,21:37,,,21:43,,21:46,21:49,,
Mahim Jn.,,21:31,,21:35,,21:40,,,21:46,,21:49,21:52,,
BANDRA,21:26,21:35,21:28,21:39,21:36,21:44,,,21:50,21:44,21:53,21:56,21:55,
Khar Road,,21:39,,21:43,,21:47,,,21:53,,21:56,21:59,,
Santa Cruz,,21:42,,21:46,,21:49,,,21:55,,21:58,22:01,,
Vile Parle,,21:45,,21:49,,21:52,,,21:58,,22:01,22:04,,
ANDHERI,21:35,21:49,21:38,21:53,21:45,21:58,22:01,,22:04,21:52,22:07,22:10,22:03,22:11
Jogeshwari,,21:53,21:41,21:57,21:49,22:01,22:06,,22:08,,22:10,22:13,,
Ram Mandir,,21:56,--,22:00,--,22:04,22:09,,22:11,,22:13,22:16,,
Goregaon,,21:58,21:45,22:02,21:54,22:06,22:11,,22:13,,22:15,22:18,,
Malad,,22:02,21:49,22:06,21:58,22:10,22:15,,22:17,,22:19,22:22,,
Kandivli,,22:05,,22:09,22:01,22:13,22:18,,22:20,,22:22,22:25,,
BORIVALI,21:52,22:11,,22:14,22:07,22:20,22:23,,22:26,22:07,22:28,22:34,22:17,22:29
Dahisar,21:58,22:15,,,,NOT ON,22:29,,,22:12,22:32,,22:23,22:32
Mira Road,22:03,22:20,,,,SUN,22:34,,,22:17,22:37,,22:28,22:37
Bhayandar,22:08,22:25,,,,ONLY,22:39,,,22:22,22:43,,22:33,22:42
Naigaon,22:14,22:31,,,,,22:45,,,22:28,,,22:39,22:47
Vasai Road,22:20,22:36,,,,,22:50,,,22:33,,,22:44,22:52
Nalla Sopara,22:25,22:41,,,,,,,,22:38,,,22:50,22:57
VIRAR,22:32,22:49,,,,,,,,22:46,,,22:59,23:05
