UP TRAINS STATIONS,NSP 94002 12 CAR,BVI 94004 12 CAR,NSP # 94080 12 CAR,VR 94006 12 CAR,BVI 94008 12 CAR,BVI 94010 12 CAR,BVI 94082 12 CAR,VR 94012 12 CAR,BVI 94014 12 CAR,VR 94016 12 CAR,VR # 94018 12 CAR
Kandivali,,Air,14:00,Air,,,,16:25,Air,Air,Air
Malad,,Condition,14:03,Condition,Air,Air,Air,16:28,Condition,Condition,Condition
Goregaon,,,14:06,,Condition,Condition,Condition,16:31,,,
Ram Mandir,,,14:08,,,,,--,,,
Jogeshwari,,,14:11,,,,,16:36,,,
ANDHERI,14:10,14:18,14:15,14:51,,16:01,16:13,16:40,17:08,17:25,
Vile Parle,Air,ON SAT,14:18,,,,ON SAT,,,,ON SAT
Santa Cruz,Condition,& SUN,14:21,,,,& SUN,,,,& SUN
Khar Road,,NON AC,14:24,,,,NON AC,,,,NON AC
BANDRA,14:19,14:28,14:28,15:00,,16:11,16:23,16:51,17:17,17:35,
Mahim Jn.,,,14:31,,,,,,,,
Matunga Road,,,14:34,,,,,,,,
DADAR,14:25,14:34,14:38,15:06,,16:17,16:29,16:57,17:23,17:41,
Prabhadevi,,,14:40,,,,,,,,
Lower Parel,,,14:43,,,,,,,,
Mahalakshmi,,,14:46,,,,,,,,
M'BAI CENTRAL(L),14:32,14:41,14:49,15:13,,16:24,16:36,17:04,17:30,17:50,
Grant Road,14:34,14:43,14:51,15:15,,16:26,16:38,,,,
Charni Road,14:36,14:45,14:53,15:17,,16:28,16:40,,,,
Marine Lines,14:39,14:48,14:56,15:20,,16:31,16:43,,,,
CHURCHGATE,14:44,14:52,15:00,15:23,,16:35,16:47,17:12,17:39,17:58,
UP TRAINS STATIONS,BVI 94092 12 CAR,VR 94056 12 CAR,BVI 94058 12 CAR,BVI 94060 12 CAR,VR 94062 12 CAR,VR 94064 12 CAR,BYR 94066 12 CAR,VR 94094 12 CAR,VR 94068 12 CAR,BYR 94070 12 CAR,BSR 94072 12 CAR
VIRAR,,17:02,ON SAT,,18:20,18:30,,19:51,20:07,,
Nalla Sopara,,17:08,& SUN,,18:26,18:37,,19:57,20:14,,
VASAI ROAD,,17:13,NON AC,,18:31,18:42,,20:02,20:19,,20:41
Naigaon,,17:18,,,18:36,18:47,,20:06,20:23,,20:46
BHAYANDAR,,17:24,,,18:42,18:53,19:24,20:12,20:29,20:36,20:52
Mira Road,,17:29,,,18:47,18:58,19:30,20:17,20:34,20:42,20:57
Dahisar,,17:33,,,18:52,19:02,19:35,20:21,20:39,20:46,21:01
BORIVALI,17:28,17:38,18:08,18:52,18:58,19:07,19:40,20:26,20:45,20:50,21:06
Kandivali,Air,Air,Air,Air,Air,Air,Air,Air,Air,Air,Air
Malad,Condition,Condition,Condition,Condition,Condition,Condition,Condition,Condition,Condition,Condition,Condition
Goregaon,,,,,,,,,,,
Ram Mandir,,,,,,,,,,,
Jogeshwari,,,,,,,,,,,
ANDHERI,17:44,17:53,18:23,19:06,19:14,19:21,19:53,20:41,20:58,21:03,21:21
Vile Parle,ON SAT,,,,,ON SAT,,ON SAT,,,ON SAT
Santa Cruz,& SUN,,,,,& SUN,,& SUN,,,& SUN
Khar Road,NON AC,,,,,NON AC,,NON AC,,,NON AC
BANDRA,17:54,18:02,18:32,19:15,19:24,19:31,20:01,20:51,21:06,21:12,21:31
Mahim Jn.,,,,,,,,,,,
Matunga Road,,,,,,,,,,,
DADAR,18:00,18:08,18:37,19:21,19:31,19:37,20:06,20:57,21:14,21:18,21:37
Prabhadevi,,,,,,,,,,,
Lower Parel,,,,,,,,,,,
Mahalakshmi,,,,,,,,,,,
M'BAI CENTRAL(L),18:07,18:15,18:44,19:28,,19:44,20:13,21:04,,21:25,21:44
Grant Road,,,,,,,,21:06,,21:27,21:46
Charni Road,,,,,,,,21:08,,21:29,21:48
Marine Lines,,,,,,,,21:11,,21:32,21:51
CHURCHGATE,18:17,18:25,18:52,19:36,,19:52,20:21,21:15,,21:36,21:54
AIR CONDITIONED SERVICES,AIR CONDITIONED SERVICES,AIR CONDITIONED SERVICES,AIR CONDITIONED SERVICES,AIR CONDITIONED SERVICES,,,,,,,
UP TRAINS STATIONS,VR 94074 12 CAR,VR 94076 12 CAR,BYR 94096 12 CAR,VR 94078 12 CAR,,,,,,,
VIRAR,21:16,21:28,,22:44,,,,,,,
Nalla Sopara,21:22,21:34,,22:51,,,,,,,
VASAI ROAD,21:27,21:39,,22:56,,,,,,,
Naigaon,21:31,21:44,,23:00,,,,,,,
BHAYANDAR,21:37,21:50,22:56,23:06,,,,,,,
Mira Road,21:43,21:55,23:02,23:11,,,,,,,
Dahisar,21:48,21:59,23:06,23:15,,,,,,,
BORIVALI,21:53,22:04,23:11,23:21,,,,,,,
Kandivali,Air,Air,Air,Air,,,,,,,
Malad,Condition,Condition,Condition,Condition,,,,,,,
Goregaon,,,,,,,,,,,
Ram Mandir,,,,,,,,,,,
Jogeshwari,,,,,,,,,,,
ANDHERI,22:06,22:20,,23:37,,,,,,,
Vile Parle,,ON SAT,ON SAT,,,,,,,,
Santa Cruz,,& SUN,& SUN,,,,,,,,
Khar Road,,NON AC,NON AC,,,,,,,,
BANDRA,22:14,22:29,,,,,,,,,
Mahim Jn.,,,,,,,,,,,
Matunga Road,,,,,,,,,,,
DADAR,22:19,22:35,,,,,,,,,
Prabhadevi,,,,,,,,,,,
Lower Parel,,,,,,,,,,,
Mahalakshmi,,,,,,,,,,,
M'BAI CENTRAL(L),22:26,22:42,,,,,,,,,
Grant Road,22:28,22:44,,,,,,,,,
Charni Road,22:30,22:46,,,,,,,,,
Marine Lines,22:33,22:49,,,,,,,,,
CHURCHGATE,22:38,22:52,,,,,,,,,
