,STATIONS UP TRAINS,BVI 90958 12 CAR,VR 92190 15 CAR,VR 90960 12 CAR,VR 90962 12 CAR,BVI 90964 12 CAR,VR 90966 12 CAR,DRD 93036 12 CAR,VR 90968 12 CAR,VR 90968 12 CAR.1,VR 90970 12 CAR,VR 90970 12 CAR.1,BVI 90972 12 CAR,BVI 90972 12 CAR.1,BVI 90974 12 CAR,VR 90976 12 CAR,BVI 90978 12 CAR,VR 92192 15 CAR,BVI 90980 12 CAR
17,BANDRA,22:56,,,22:52,23:04,,,23:01,23:01,23:05,23:05,23:12,23:12,23:20,23:15,23:25,,23:36
18,Mahim Jn.,22:59,,,,23:07,,,,,,,23:15,23:15,23:23,,23:28,,23:39
19,Matunga Road,23:02,,,,23:10,,,,,,,23:18,23:18,23:26,,23:31,,23:42
20,DADAR,23:06,,,22:58,23:14,,,23:07,23:07,23:11,23:11,23:22,23:22,23:30,23:21,23:34,,23:46
21,Prabhadevi,23:08,,,,23:16,,,,,,,23:24,23:24,23:32,,23:36,,23:48
22,Lower Parel,23:11,,,,23:19,,,,,,,23:27,23:27,23:35,,23:39,,23:51
23,Mahalakshmi,23:14,,,,23:22,,,,,,,23:30,23:30,23:38,,23:42,,23:54
24,M'BAI CENTRAL(L,23:17,,,23:05,23:25,,,23:14,23:14,23:18,23:18,23:33,23:33,23:41,23:28,23:45,,23:57
25,Grant Road,23:19,,,23:07,23:27,,,23:16,23:16,23:20,23:20,23:35,23:35,23:43,23:30,23:47,,23:59
26,Charni Road,23:21,,,23:09,23:29,,,23:18,23:18,23:22,23:22,23:37,23:37,23:45,23:32,23:49,,00:01
27,Marine Lines,23:24,,,23:12,23:32,,,23:21,23:21,23:25,23:25,23:40,23:40,23:48,23:35,23:52,,00:04
28,CHURCHGATE,23:28,,,23:16,23:36,,,23:27,23:27,23:30,23:30,23:43,23:43,23:51,23:41,23:56,,00:08
29,STATIONS UP TRAINS,BVI 90982 12 CAR,VR 90984 12 CAR,VR 92194 15 CAR,BYR 94096 12 CAR,BVI 94098 12 CAR,VR 94100 12 CAR,VR 94078 12 CAR,BVI 90996 12 CAR,VR 92196 15 CAR,VR 92196 15 CAR,BVI 90998 12 CAR,BVI 90998 12 CAR,VR 91000 12 CAR,VR 91000 12 CAR,VR 91002 12 CAR,BVI 91004 12 CAR,BSR 92198 15 CAR,VR 91006 12 CAR
30,VIRAR,NOT ON,22:24,22:33,,,22:40,22:44,NOT ON,22:50,22:50,,,22:55,22:55,23:00,,,23:15
31,Nalla Sopara,SUN,22:30,22:39,,,22:47,22:51,SUN,22:56,22:56,,,23:01,23:01,23:06,,,23:21
32,VASAI ROAD Naigaon,ONLY,22:35 22:40,22:44 22:48,,,22:52 22:56,22:56 23:00,ONLY,23:01 23:05,23:01 23:05,,,23:07 23:12,23:07 23:12,23:11 23:16,,23:15 23:21,23:26 23:31
33,BHAYANDAR,,22:46,22:54,22:56,,23:02,23:06,,23:11,23:11,,,23:18,23:18,23:22,,23:27,23:37
34,Mira Road,,22:51,22:59,23:02,,23:07,23:11,,23:16,23:16,,,23:23,23:23,23:27,,23:32,23:42
35,Dahisar,,22:55,23:03,23:06,,23:11,23:15,,23:20,23:20,,,23:27,23:27,23:31,,23:36,23:46
36,BORIVALI,23:03,22:59,23:07,23:11,23:15,23:17,23:21,23:25,23:24,23:24,23:25,23:25,23:32,23:32,23:37,23:34,23:42,23:50
37,Kandivali,23:08,,23:11,Air,23:21,,Air,,23:28,23:28,23:31,23:31,,,,23:39,23:46,
38,Malad,23:11,,23:14,Condition,23:24,,Condition,,23:31,23:31,23:34,23:34,,,,23:42,23:49,
39,Goregaon,23:14,,23:17,,23:27,,,,23:34,23:34,23:37,23:37,,,,23:45,23:52,
40,Ram Mandir,23:16,,23:19,,23:29,,,,23:36,23:36,23:39,23:39,,,,23:47,23:54,
41,Jogeshwari,23:19,,23:22,,23:32,,,,23:39,23:39,23:42,23:42,,,,23:50,23:57,
42,ANDHERI,23:25,23:13,23:29,,23:37,23:33,23:37,23:40,23:46,23:46,23:47,23:47,23:47,23:47,,23:55,00:04,00:06
43,Vile Parle,23:28,,,ON SAT,23:40,,,,NOT ON,NOT ON,23:50,23:50,,,,23:58,,
44,Santa Cruz,23:31,,,& SUN,23:43,,,,SUN,SUN,23:53,23:53,,,,00:01,,
45,Khar Road,23:34,,,NON AC,23:46,,,,ONLY,ONLY,23:56,23:56,,,,00:04,,
46,BANDRA,23:38,23:22,,,23:50,23:42,,23:49,,,00:00,00:00,23:56,23:56,,00:08,,00:16
47,Mahim Jn.,23:41,,,,23:53,,,,,,00:03,00:03,,,,00:11,,
48,Matunga Road,23:44,,,,23:56,,,,,,00:06,00:06,,,,00:14,,
49,DADAR,23:48,23:28,,,00:00,23:48,,23:55,,,00:10,00:10,00:02,00:02,,00:18,,00:22
50,Prabhadevi,23:50,,,,00:02,,,,,,00:12,00:12,,,,00:20,,
51,Lower Parel,23:53,,,,00:05,,,,,,00:15,00:15,,,,00:23,,
52,Mahalakshmi,23:56,,,,00:08,,,,,,00:18,00:18,,,,00:26,,
53,M'BAI CENTRAL(L,23:59,23:35,,,00:11,23:55,,00:02,,,00:21,00:21,00:09,00:09,,00:29,,00:29
54,Grant Road,00:01,23:37,,,00:13,23:57,,00:04,,,00:23,00:23,00:11,00:11,,00:31,,00:31
55,Charni Road,00:03,23:39,,,00:15,23:59,,00:06,,,00:25,00:25,00:13,00:13,,00:33,,00:33
56,Marine Lines,00:06,23:42,,,00:18,00:02,,00:09,,,00:28,00:28,00:16,00:16,,00:36,,00:36
57,CHURCHGATE,00:10,23:47,,,00:22,00:05,,00:13,,,00:31,00:31,00:20,00:20,,00:39,,00:42
58,STATIONS UP TRAINS,BVI 91008 12 CAR,VR 91010 12 CAR,VR 91012 12 CAR,BVI 91014 12 CAR,VR 91016 12 CAR,VR 91018 12 CAR,BVI 91020 12 CAR,DRD 93038 12 CAR,VR 91022 12 CAR,VR 91024 12 CAR,,,,,,,,
59,VIRAR,,23:20,23:30,,23:40,23:49,,23:50,23:57,00:05,,,,,,,,
60,Nalla Sopara,,23:26,23:36,,23:46,23:55,,,00:03,00:11,,,,,,,,
61,VASAI ROAD,,23:31,23:41,,23:51,00:00,,,00:08,00:16,,,,,,,,
62,Naigaon,,23:36,23:45,,23:55,00:04,,,00:12,00:20,,,,,,,,
63,BHAYANDAR,,23:42,23:51,,00:01,00:09,,,00:18,00:26,,,,,,,,
64,Mira Road,,23:47,23:56,,00:06,00:14,,,00:23,00:31,,,,,,,,
65,Dahisar,,23:51,00:00,,00:10,00:18,,,00:27,00:35,,,,,,,,
66,BORIVALI,23:48,23:55,00:05,00:10,00:15,00:22,00:30,,,00:39,,,,,,,,
67,Kandivali,23:53,,00:10,00:14,00:19,00:26,00:35,,,00:43,,,,,,,,
