DN TRAINS STATIONS,DN TRAINS STATIONS.1,12 CAR,12 CAR.1,12 CAR.2,12 CAR.3,12 CAR.4,12 CAR.5,12 CAR.6,12 CAR.7,12 CAR.8,12 CAR.9,12 CAR.10,12 CAR.11,12 CAR.12,12 CAR.13,12 CAR.14,12 CAR.15,12 CAR.16,12 CAR.17,12 CAR.18,12 CAR.19,12 CAR.20,12 CAR.21,12 CAR.22,12 CAR.23,12 CAR.24,12 CAR.25,12 CAR.26,12 CAR.27,12 CAR.28,12 CAR.29,12 CAR.30,12 CAR.31,12 CAR.32,12 CAR.33,12 CAR.34,12 CAR.35,12 CAR.36,12 CAR.37
,,93001 VR DRD,93001 VR DRD,93003 CCG DRD,93003 CCG DRD,93005 CCG DRD,93005 CCG DRD,93007 CCG DRD,93007 CCG DRD,93009 CCG DRD,93009 CCG DRD,93011 CCG DRD,93011 CCG DRD,93013 BVI DRD,93013 BVI DRD,93015 CCG DRD,93015 CCG DRD,93017 VR DRD,93017 VR DRD,93019 VR DRD,93019 VR DRD,93021 VR DRD,93021 VR DRD,93023 VR DRD,93023 VR DRD,93025 VR DRD,93025 VR DRD,93027 CCG DRD,93027 CCG DRD,93029 VR DRD,93029 VR DRD,93031 DDR DRD,93031 DDR DRD,93033 VR DRD,93033 VR DRD,93035 VR DRD,93035 VR DRD,93037 CCG DRD,93037 CCG DRD
BOISAR,BOISAR,6:21,6:21,7:08,7:08,7:29,7:29,9:16,9:16,9:44,9:44,10:52,10:52,11:51,11:51,12:11,12:11,12:44,12:44,13:16,13:16,14:03,14:03,15:49,15:49,16:33,16:33,17:22,17:22,18:52,18:52,19:51,19:51,21:30,21:30,22:13,22:13,22:21,22:21
Vangaon,Vangaon,06:28,06:28,7:16,7:16,07:39,07:39,09:24,09:24,09:52,09:52,11:00,11:00,12:04,12:04,12:19,12:19,12:52,12:52,13:32,13:32,14:11,14:11,16:08,16:08,16:51,16:51,17:30,17:30,19:07,19:07,20:00,20:00,21:38,21:38,22:20,22:20,22:36,22:36
DAHANU ROAD,DAHANU ROAD,06:50,06:50,07:38,07:38,08:05,08:05,09:50,09:50,10:25,10:25,11:25,11:25,12:20,12:20,12:40,12:40,13:08,13:08,13:50,13:50,14:26,14:26,16:33,16:33,17:08,17:08,17:48,17:48,19:25,19:25,20:20,20:20,21:55,21:55,22:35,22:35,23:05,23:05
UP TRAINS STATIONS,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,
UP TRAINS STATIONS,93002,93002,93004,93004,93006,93006,93008,93008,93010,93010,93012,93012,93014,93014,93016,93016,93018,93018,93020,93020,93022,93022,93024,93024,93026,93026,93028,93028,93030,93030,93032,93032,93034,93034,93036,93036,93038,93038,
UP TRAINS STATIONS,DRD CCG,DRD CCG,DRD CCG,DRD CCG,DRD CCG,DRD CCG,DRD BVI,DRD BVI,DRD VR,DRD VR,DRD VR,DRD VR,DRD VR,DRD VR,DRD VR,DRD VR,DRD CCG,DRD CCG,DRD VR,DRD VR,DRD CCG,DRD CCG,DRD DDR,DRD DDR,DRD VR,DRD VR,DRD VR,DRD VR,DRD CCG,DRD CCG,DRD CCG,DRD CCG,DRD CCG,DRD CCG,DRD VR,DRD VR,DRD VR,DRD VR,
DAHANU ROAD Vangaon Boisar,4:40,4:40,6:05,6:05,7:10,7:10,8:35,8:35,9:37,9:37,10:10,10:10,11:35,11:35,12:28,12:28,12:45,12:45,13:20,13:20,14:02,14:02,15:15,15:15,16:05,16:05,17:10,17:10,17:50,17:50,19:05,19:05,19:40,19:40,21:05,21:05,22:45,22:45,
DAHANU ROAD Vangaon Boisar,4:53,4:53,6:18,6:18,7:25,7:25,8:50,8:50,9:50,9:50,10:25,10:25,11:50,11:50,12:42,12:42,13:00,13:00,13:35,13:35,14:17,14:17,15:30,15:30,16:20,16:20,17:25,17:25,18:05,18:05,19:20,19:20,19:55,19:55,21:20,21:20,22:58,22:58,
DAHANU ROAD Vangaon Boisar,5:00,5:00,6:26,6:26,7:33,7:33,8:58,8:58,9:58,9:58,10:33,10:33,11:58,11:58,12:50,12:50,13:08,13:08,13:46,13:46,14:37,14:37,15:38,15:38,16:28,16:28,17:33,17:33,18:13,18:13,19:27,19:27,20:02,20:02,21:28,21:28,23:05,23:05,
Umroli,5:05,5:05,6:31,6:31,7:39,7:39,9:04,9:04,10:04,10:04,10:39,10:39,12:04,12:04,12:56,12:56,13:14,13:14,13:52,13:52,14:43,14:43,15:44,15:44,16:34,16:34,17:39,17:39,18:19,18:19,19:33,19:33,20:08,20:08,21:34,21:34,23:10,23:10,
PALGHAR Kelve Road,5:11,5:11,6:37,6:37,7:46,7:46,9:10,9:10,10:10,10:10,10:45,10:45,12:10,12:10,13:02,13:02,13:21,13:21,13:58,13:58,14:49,14:49,15:53,15:53,16:40,16:40,17:45,17:45,18:25,18:25,19:39,19:39,20:15,20:15,21:40,21:40,23:15,23:15,
PALGHAR Kelve Road,5:23,5:23,6:45,6:45,8:05,8:05,9:18,9:18,10:18,10:18,10:53,10:53,12:18,12:18,13:10,13:10,13:35,13:35,14:06,14:06,14:57,14:57,16:12,16:12,16:48,16:48,17:53,17:53,18:33,18:33,19:47,19:47,20:29,20:29,21:48,21:48,23:23,23:23,
Saphale,5:29,5:29,6:51,6:51,8:11,8:11,9:24,9:24,10:24,10:24,10:59,10:59,12:24,12:24,13:16,13:16,13:41,13:41,14:12,14:12,15:03,15:03,16:18,16:18,16:56,16:56,17:59,17:59,18:39,18:39,19:53,19:53,20:35,20:35,21:54,21:54,23:29,23:29,
Vaiterna,5:37,5:37,6:58,6:58,8:18,8:18,9:34,9:34,10:32,10:32,11:06,11:06,12:32,12:32,13:23,13:23,13:48,13:48,14:20,14:20,15:11,15:11,16:25,16:25,17:02,17:02,18:06,18:06,18:46,18:46,20:04,20:04,20:43,20:43,22:02,22:02,23:36,23:36,
VIRAR Nallasopara,5:47,5:47,7:08,7:08,8:30,8:30,9:49,9:49,10:47,10:47,11:20,11:20,12:50,12:50,13:37,13:37,13:57,13:57,14:35,14:35,15:21,15:21,16:39,16:39,17:15,17:15,18:20,18:20,18:57,18:57,20:16,20:16,20:55,20:55,22:15,22:15,23:50,23:50,
VIRAR Nallasopara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VASAI ROAD,5:57,5:57,7:17,7:17,8:40,8:40,9:59,9:59,,,,,,,,,14:09,14:09,,,15:32,15:32,16:52,16:52,,,,,19:09,19:09,20:24,20:24,21:03,21:03,,,,,
Naigaon Bhayandar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naigaon Bhayandar,6:05,6:05,7:25,7:25,8:48,8:48,10:08,10:08,,,,,,,,,14:17,14:17,,,15:40,15:40,17:00,17:00,,,,,19:17,19:17,20:32,20:32,21:11,21:11,,,,,
Mira Road Dahisar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mira Road Dahisar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BORIVALI ANDHERI BANDRA,6:15,6:15,7:34,7:34,9:05,9:05,10:21,10:21,,,,,,,,,14:25,14:25,,,15:53,15:53,17:13,17:13,,,,,19:29,19:29,20:40,20:40,21:19,21:19,,,,,
BORIVALI ANDHERI BANDRA,6:26,6:26,7:48,7:48,9:18,9:18,,,,,,,,,,,14:38,14:38,,,16:09,16:09,17:29,17:29,,,,,19:45,19:45,20:53,20:53,21:33,21:33,,,,,
BORIVALI ANDHERI BANDRA,6:35,6:35,7:57,7:57,9:28,9:28,,,,,,,,,,,14:47,14:47,,,16:19,16:19,17:39,17:39,,,,,19:54,19:54,21:02,21:02,21:42,21:42,,,,,
DADAR,6:41,6:41,8:03,8:03,9:34,9:34,,,,,,,,,,,14:53,14:53,,,16:24,16:24,17:46,17:46,,,,,20:00,20:00,21:08,21:08,21:50,21:50,,,,,
M'BAI CENTRAL,6:48,6:48,8:10,8:10,9:41,9:41,,,,,,,,,,,15:00,15:00,,,16:31,16:31,,,,,,,20:07,20:07,21:15,21:15,21:57,21:57,,,,,
Grant Road Charni Road Marine Lines CHURCHGATE,6:50,6:50,8:12,8:12,9:43,9:43,,,,,,,,,,,15:02,15:02,,,16:33,16:33,,,,,,,,,21:17,21:17,21:59,21:59,,,,,
Grant Road Charni Road Marine Lines CHURCHGATE,6:52,6:52,8:14,8:14,9:45,9:45,,,,,,,,,,,15:04,15:04,,,16:35,16:35,,,,,,,,,21:19,21:19,22:01,22:01,,,,,
Grant Road Charni Road Marine Lines CHURCHGATE,6:55,6:55,8:17,8:17,9:48,9:48,,,,,,,,,,,15:07,15:07,,,16:38,16:38,,,,,,,,,21:22,21:22,22:04,22:04,,,,,
Grant Road Charni Road Marine Lines CHURCHGATE,7:02,7:02,8:23,8:23,9:52,9:52,,,,,,,,,,,15:11,15:11,,,16:43,16:43,,,,,,,20:16,20:16,21:27,21:27,22:08,22:08,,,,,
