STATIONS UP TRAINS,BVI 90622 12 CAR,VR 90624 12 CAR,BVI 90626 12 CAR,BYR 90628 12 CAR,VR 90630 12 CAR,BVI 94050 12 CAR,MDD 90634 12 CAR,GMN 90636 12 CAR,BVI 90638 12 CAR,BSR 92128 15 CAR,VR 92130 15 CAR,VR 92130 15 CAR.1,BVI 90640 12 CAR,BVI 90640 12 CAR.1,BVI 90642 12 CAR,BVI 90642 12 CAR.1,BYR 90644 12 CAR,BYR 90644 12 CAR.1,BVI 90646 12 CAR,BVI 90646 12 CAR.1,Unnamed: 21
ANDHERI,16:52,16:59,17:02,16:57,17:00,17:05,17:08,17:10,17:13,17:08,17:08,17:12,17:12,17:18,17:18,17:15,17:15,17:22,17:22,17:25,17:25
Vile Parle,,17:02,17:05,,,17:09,,17:13,17:16,,,,,17:21,17:21,,,,,17:29,17:29
Santa Cruz,,17:05,17:08,,,17:12,,17:16,17:19,,,,,17:24,17:24,,,,,17:32,17:32
Khar Road,,17:08,17:11,,,17:15,,17:19,17:22,,,,,17:27,17:27,,,,,17:35,17:35
BANDRA,17:01,17:13,17:15,17:06,17:09,17:19,,17:23,17:26,17:17,17:17,17:22,17:22,17:32,17:32,,,17:33,17:33,17:39,17:39
Mahim Jn.,,,17:18,,,17:22,,17:26,17:29,,,,,17:35,17:35,,,,,17:42,17:42
Matunga Road,,,17:21,,,17:25,,17:29,17:32,,,,,17:38,17:38,,,,,17:45,17:45
DADAR,17:08,,17:24,17:12,17:15,17:29,,17:33,17:36,17:23,17:23,17:28,17:28,17:41,17:41,,,17:39,17:39,17:49,17:49
Prabhadevi,,,17:26,,,17:31,,17:35,17:38,,,,,17:43,17:43,,,,,17:51,17:51
Lower Parel,,,17:29,,,17:34,,17:38,17:41,,,,,17:46,17:46,,,,,17:54,17:54
Mahalakshmi,,,17:32,,,17:37,,17:41,17:44,,,,,17:49,17:49,,,,,17:57,17:57
M'BAI CENTRAL(L,,,17:35,17:19,17:22,17:40,,17:44,17:48,17:30,17:30,17:35,17:35,17:52,17:52,,,17:47,17:47,18:00,18:00
Grant Road,,,17:37,,,17:42,,17:46,17:50,,,,,17:54,17:54,,,,,18:02,18:02
Charni Road,,,17:39,,,17:44,,17:48,17:52,,,,,17:56,17:56,,,,,18:04,18:04
Marine Lines,,,17:42,,,17:47,,17:51,17:55,,,,,17:59,17:59,,,,,18:07,18:07
CHURCHGATE,,,17:48,17:29,17:32,17:51,,17:54,18:00,17:39,17:39,17:44,17:44,18:03,18:03,,,17:55,17:55,18:10,18:10
