,STATIONS,Borivali,Virar,Virar.1,Virar.2,Virar.3,Dahanu Road,Virar.4,Virar.5,Virar.6,Virar.7,Virar.8,Virar.9,Virar.10,Virar.11,Virar.12,Vasai Road,Vasai Road.1,Borivali.1,Borivali.2,Borivali.3,Borivali.4,Borivali.5,Borivali.6
0,DN TRAINS,90001,92001,92003,90003,92005,93001,94001,94001,94001,90007,90007,90009,90009,90011,90011,90013,90013,90015,90015,90017,90017,90019,90019
1,,12 CAR,15 CAR,15 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR
60,Nalla Sopara,05:55,06:02,,,,06:14,,,,,06:22,06:22,06:26,06:26,,,,,,,06:32,06:32,
61,VIRAR,06:02,06:11,,,,06:20,06:15,06:15,,,06:30,06:30,06:35,06:35,,,,,06:34,06:34,06:38,06:38,
62,STATIONS DN TRAINS,Vasai Road 90043 12 CAR,Borivali 90045 12 CAR,Virar 92011 15 CAR,Goregoan 90047 12 CAR,Virar 92013 12 CAR,Borivali 94003 12 CAR,Borivali 94003 12 CAR,Borivali 90051 12 CAR,Borivali 90051 12 CAR,Virar 90053 12 CAR,Virar 90053 12 CAR,Virar 90055 12 CAR,Virar 90055 12 CAR,Borivali 90057 12 CAR,Borivali 90057 12 CAR,Virar 92015 12 CAR,Virar 92015 12 CAR,Borivali 90059 12 CAR,Borivali 90059 12 CAR,Borivali 90061 12 CAR,Borivali 90061 12 CAR,Borivali 94005 12 CAR,Borivali 94005 12 CAR
63,CHURCHGATE,,05:15,,05:19,,,,05:28,05:28,05:29,05:29,05:36,05:36,,,,,05:36,05:36,,,05:45,05:45
64,Marine Lines,,05:18,,05:22,,,,05:31,05:31,05:32,05:32,05:39,05:39,,,,,05:39,05:39,,,05:48,05:48
65,Charni Road,,05:20,,05:24,,,,05:33,05:33,05:34,05:34,05:41,05:41,,,,,05:41,05:41,,,05:50,05:50
66,Grant Road,,05:23,,05:27,,,,05:36,05:36,05:37,05:37,05:44,05:44,,,,,05:44,05:44,,,05:53,05:53
67,M'BAI CENTRAL (L),,05:25,,05:29,,,,05:38,05:38,05:39,05:39,05:46,05:46,,,,,05:46,05:46,,,05:55,05:55
68,Mahalakshmi,,05:28,NOT ON,05:31,,05:38,05:38,05:41,05:41,,,,,05:45,05:45,,,05:49,05:49,,,05:58,05:58
69,Lower Parel,,05:31,SUN,05:34,,05:41,05:41,05:44,05:44,,,,,05:48,05:48,,,05:52,05:52,,,06:01,06:01
70,Prabhadevi,,05:34,ONLY,05:37,,05:44,05:44,05:47,05:47,,,,,05:51,05:51,,,05:55,05:55,,,06:04,06:04
71,DADAR,,05:36,,05:39,,05:46,05:46,05:49,05:49,05:46,05:46,05:57,05:57,05:53,05:53,,,05:57,05:57,,,06:06,06:06
72,Matunga Road,,05:38,,05:41,,05:48,05:48,05:52,05:52,,,,,05:55,05:55,,,05:59,05:59,,,06:08,06:08
73,Mahim Jn.,,05:41,,05:44,,05:51,05:51,05:55,05:55,,,,,05:58,05:58,,,06:02,06:02,,,06:11,06:11
