STATIONS UP TRAINS,BVI 90790 12 CAR,VR 90792 12 CAR,BA 90794 12 CAR,BVI 90796 12 CAR,VR 94064 12 CAR,VR 94064 12 CAR.1,VR 90800 12 CAR,VR 90800 12 CAR.1,BVI 90802 12 CAR,GMN 90804 12 CAR,BVI 90806 12 CAR,BVI 90808 12 CAR,VR 92162 15 CAR,VR 92162 15 CAR.1,BVI 90810 12 CAR,BVI 90810 12 CAR.1,VR 90812 12 CAR,VR 90812 12 CAR.1,BVI 90814 12 CAR,BVI 90814 12 CAR.1,Unnamed: 21
Vile Parle,,19:52,19:54,,19:59,,,,,,20:06,20:09,20:09,,,,,20:13,20:13,20:16,20:16
Santa Cruz,,19:55,19:57,,20:02,,,,,,20:09,20:12,20:12,,,,,20:16,20:16,20:19,20:19
Khar Road,,19:58,20:00,,20:05,,,,,,20:12,20:15,20:15,,,,,20:19,20:19,20:22,20:22
BANDRA,19:45,20:02,20:05,19:51,20:09,19:54,19:54,20:00,20:00,20:08,20:16,20:19,20:19,20:09,20:09,,,20:24,20:24,20:27,20:27
Mahim Jn.,,20:05,20:08,,20:12,,,,,,20:19,20:22,20:22,,,NOT ON,NOT ON,20:27,20:27,20:30,20:30
Matunga Road,,20:08,20:11,,20:15,,,,,,20:22,20:25,20:25,,,SUN,SUN,20:30,20:30,20:33,20:33
DADAR,19:51,20:12,20:15,19:57,20:19,20:00,20:00,20:05,20:05,20:14,20:26,20:29,20:29,20:15,20:15,ONLY,ONLY,20:34,20:34,20:37,20:37
Prabhadevi,,20:14,20:17,,20:21,,,,,,20:28,20:31,20:31,,,,,20:36,20:36,20:39,20:39
Lower Parel,,20:17,20:20,,20:24,,,,,,20:31,20:34,20:34,,,,,20:39,20:39,20:42,20:42
Mahalakshmi,,20:20,20:23,,20:27,,,,,,20:34,20:37,20:37,,,,,20:42,20:42,20:45,20:45
M'BAI CENTRAL(L,19:58,20:23,20:26,20:04,20:30,20:07,20:07,20:13,20:13,20:21,20:37,20:40,20:40,20:22,20:22,,,20:45,20:45,20:48,20:48
Grant Road,,20:25,20:28,,20:32,,,,,,20:39,20:42,20:42,,,,,20:47,20:47,20:50,20:50
Charni Road,,20:27,20:30,,20:34,,,,,,20:41,20:44,20:44,,,,,20:49,20:49,20:52,20:52
Marine Lines,,20:30,20:33,,20:37,,,,,,20:44,20:47,20:47,,,,,20:52,20:52,20:55,20:55
CHURCHGATE,20:07,20:33,20:37,20:13,20:41,20:16,20:16,20:21,20:21,20:28,20:49,20:53,20:53,20:31,20:31,,,20:55,20:55,20:58,20:58
