,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).1,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).2,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).3,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).4,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).5,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).6,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).7,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).8
25,Govandi,15:33,15:37,,15:41,15:45,15:49,15:53,
26,Mankhurd,15:36,15:40,,15:44,15:48,15:52,15:56,
27,Vashi,15:45,15:49,,15:53,15:57,16:01,16:05,
28,Sanpada,15:47,15:51,,15:55,15:59,16:03,16:07,
29,Juinagar,15:50,15:54,,15:58,16:02,16:06,16:10,
30,Nerul,15:54,15:58,,16:02,16:06,16:10,16:14,
31,Seawood Darave,15:57,16:01,,16:05,16:09,16:13,16:17,
32,Belapur CBD,16:01,16:05,,16:09,16:13,16:17,16:21,
33,Kharghar,16:05,,,16:13,16:17,,16:25,
34,Mansarovar,16:08,,,16:16,16:20,,16:28,
35,Khandeshwar,16:11,,,16:19,16:23,,16:31,
36,Panvel,16:16,,,16:24,16:28,,16:36,
37,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL)
38,Stations,98153 PL 127,98155 PL 129,99037 TPL 37,98851 B 51,98531 VVD 3,98157 PL 131,98159 PL 133,98751 GN 51
39,,,,,,,,,
40,Mumbai CSMT,15:24,15:28,TNA,15:32,,15:36,15:44,15:48
41,Masjid,15:27,15:31,16:00,15:35,,15:39,15:47,15:51
42,Sandhurst Road,15:30,15:34,,15:38,,15:42,15:50,15:54
43,Dockyard Road,15:32,15:36,,15:40,,15:44,15:52,15:56
44,Reay Road,15:34,15:38,,15:42,,15:46,15:54,15:58
45,Cotton Green,15:36,15:40,,15:44,,15:48,15:56,16:00
46,Sewri,15:39,15:43,,15:47,,15:51,15:59,16:03
47,Vadala Road,15:42,15:46,,15:50,15:50,15:54,16:02,16:06
48,King's Circle,,,,15:54,,,,16:10
49,Mahim Jn,,,,15:57,,,,16:13
50,Bandra,,,,16:01,,,,16:17
51,Khar Road,,,,,,,,16:21
52,Santacruz,,,,,,,,16:24
53,Vileparle,,,,,,,,16:27
54,Andheri,,,,,,,,16:31
55,Jogeshwari,,,,,,,,16:35
56,Ramnagar,,,,,,,,16:38
57,Goregaon,,,,,,,,16:42
58,GTB Nagar,15:47,15:51,,,15:55,15:59,16:07,
59,Chunabhatti,15:50,15:54,,,15:58,16:02,16:10,
60,Kurla,15:53,15:57,,,16:01,16:05,16:13,
61,Tilaknagar,15:56,16:00,,,16:04,16:08,16:16,
62,Chembur,15:58,16:02,,,16:06,16:10,16:18,
63,Govandi,16:01,16:05,,,16:09,16:13,16:21,
64,Mankhurd,16:04,16:08,,,16:12,16:16,16:24,
65,Vashi,16:13,16:17,,,16:21,16:25,16:33,
66,Sanpada,16:15,16:19,,,,16:27,16:35,
67,Juinagar,16:18,16:22,,,,16:30,16:38,
68,Nerul,16:22,16:26,16:29,,,16:34,16:42,
69,Seawood Darave,16:25,16:29,16:33,,,16:37,16:45,
70,Belapur CBD,16:29,16:33,16:37,,,16:41,16:49,
71,Kharghar,16:33,16:37,16:41,,,16:45,16:53,
72,Mansarovar,16:36,16:40,16:44,,,16:48,16:56,
73,Khandeshwar,16:39,16:43,16:47,,,16:51,16:59,
74,Panvel,16:44,16:48,16:52,,,16:56,17:04,
75,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL)
76,Stations,98161 PLVD 27,98533 V 29,99039 TPL 39,98163 PL 135,98853 B 53 X,98165 PL 137,98535 V 31 X,98753 GN 53
77,,,,,,,,,
78,Mumbai CSMT,,15:54,TNA,16:00,16:04,16:08,16:12,16:16
79,Masjid,,15:57,16:24,16:03,16:07,16:11,16:15,16:19
80,Sandhurst Road,,16:00,,16:06,16:10,16:14,16:18,16:22
81,Dockyard Road,,16:02,,16:08,16:12,16:16,16:20,16:24
82,Reay Road,,16:04,,16:10,16:14,16:18,16:22,16:26
83,Cotton Green,,16:06,,16:12,16:16,16:20,16:24,16:28
84,Sewri,,16:09,,16:15,16:19,16:23,16:27,16:31
85,Vadala Road,16:08,16:12,,16:18,16:22,16:26,16:30,16:34
86,King's Circle,,,,,16:26,,,16:38
87,Mahim Jn,,,,,16:29,,,16:41
88,Bandra,,,,,16:33,,,16:45
89,Khar Road,,,,,,,,16:49
90,Santacruz,,,,,,,,16:52
91,Vileparle,,,,,,,,16:55
92,Andheri,,,,,,,,16:59
93,Jogeshwari,,,,,,,,17:03
94,Ramnagar,,,,,,,,17:06
95,Goregaon,,,,,,,,17:10
96,GTB Nagar,16:13,16:17,,16:23,,16:31,16:35,
97,Chunabhatti,16:16,16:20,,16:26,,16:34,16:38,
98,Kurla,16:19,16:23,,16:29,,16:37,16:41,
99,Tilaknagar,16:22,16:26,,16:32,,16:40,16:44,
100,Chembur,16:24,16:28,,16:34,,16:42,16:46,
101,Govandi,16:27,16:31,,16:37,,16:45,16:49,
102,Mankhurd,16:30,16:34,,16:40,,16:48,16:52,
103,Vashi,16:39,16:43,,16:49,,16:57,17:01,
104,Sanpada,16:41,,,16:51,,16:59,,
105,Juinagar,16:44,,,16:54,,17:02,,
106,Nerul,16:48,,16:53,16:58,,17:06,,
107,Seawood Darave,16:51,,16:57,17:01,,17:09,,
108,Belapur CBD,16:55,,17:01,17:05,,17:13,,
109,Kharghar,16:59,,17:05,17:09,,17:17,,
110,Mansarovar,17:02,,17:08,17:12,,17:20,,
111,Khandeshwar,17:05,,17:11,17:15,,17:23,,
112,Panvel,17:10,,17:16,17:21,,17:28,,
113,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL)
114,Stations,98167 PLVD 29 X,99041 TPL 41,98169 PL 139,98347 BR 35 X,98855 B 55,98171 PL 141,98349 BR 37,98755 GN 55
115,,,,,,,,,
116,Mumbai CSMT,,TNA,16:23,16:27,16:31,16:35,16:39,16:43
117,Masjid,,16:48,16:26,16:30,16:34,16:38,16:42,16:46
118,Sandhurst Road,,,16:29,16:33,16:37,16:41,16:45,16:49
119,Dockyard Road,,,16:31,16:35,16:39,16:43,16:47,16:51
120,Reay Road,,,16:33,16:37,16:41,16:45,16:49,16:53
121,Cotton Green,,,16:35,16:39,16:43,16:47,16:51,16:55
122,Sewri,,,16:38,16:42,16:46,16:50,16:54,16:58
123,Vadala Road,16:34,,16:41,16:45,16:49,16:53,16:57,17:01
124,King's Circle,,,,,16:53,,,17:05
125,Mahim Jn,,,,,16:55,,,17:08
126,Bandra,,,,,17:00,,,17:12
127,Khar Road,,,,,,,,17:16
128,Santacruz,,,,,,,,17:19
129,Vileparle,,,,,,,,17:22
130,Andheri,,,,,,,,17:26
131,Jogeshwari,,,,,,,,17:30
132,Ramnagar,,,,,,,,17:33
133,Goregaon,,,,,,,,17:37
134,GTB Nagar,16:39,,16:46,16:50,,16:58,17:02,
135,Chunabhatti,16:42,,16:49,16:53,,17:01,17:05,
136,Kurla,16:45,,16:52,16:56,,17:04,17:08,
137,Tilaknagar,16:48,,16:55,16:59,,17:07,17:11,
138,Chembur,16:50,,16:57,17:01,,17:09,17:13,
139,Govandi,16:53,,17:00,17:04,,17:12,17:16,
140,Mankhurd,16:56,,17:03,17:07,,17:15,17:19,
141,Vashi,17:05,,17:12,17:16,,17:24,17:28,
142,Sanpada,17:07,,17:14,17:18,,17:26,17:30,
143,Juinagar,17:10,,17:17,17:21,,17:29,17:33,
144,Nerul,17:14,17:17,17:21,17:25,,17:33,17:37,
145,Seawood Darave,17:17,17:21,17:25,17:28,,17:36,17:40,
146,Belapur CBD,17:21,17:25,17:29,17:32,,17:40,17:44,
147,Kharghar,17:25,17:29,17:33,,,17:44,,
148,Mansarovar,17:28,17:32,17:36,,,17:47,,
149,Khandeshwar,17:31,17:35,17:39,,,17:50,,
150,Panvel,17:36,17:40,17:44,,,17:55,,
151,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL)
152,Stations,98173 PLVD 31 X,98537 V 33,98175 PL 143,99043 TPL 43,98857 B 57,98177 PLVD 33,98351 BR 39,98539 V 35 X
153,,,,,,,,,
154,Mumbai CSMT,,16:47,16:51,TNA,16:56,,17:00,17:04
155,Masjid,,16:50,16:54,17:23,16:59,,17:03,17:07
156,Sandhurst Road,,16:53,16:57,,17:02,,17:06,17:10
157,Dockyard Road,,16:55,16:59,,17:04,,17:08,17:12
158,Reay Road,,16:57,17:01,,17:06,,17:10,17:14
159,Cotton Green,,16:59,17:03,,17:08,,17:12,17:16
160,Sewri,,17:02,17:06,,17:11,,17:15,17:19
161,Vadala Road,17:01,17:05,17:09,,17:14,17:14,17:18,17:22
162,King's Circle,,,,,17:18,,,
163,Mahim Jn,,,,,17:20,,,
164,Bandra,,,,,17:25,,,
165,Khar Road,,,,,,,,
166,Santacruz,,,,,,,,
167,Vileparle,,,,,,,,
168,Andheri,,,,,,,,
169,Jogeshwari,,,,,,,,
170,Ramnagar,,,,,,,,
171,Goregaon,,,,,,,,
172,GTB Nagar,17:06,17:10,17:14,,,17:19,17:23,17:27
173,Chunabhatti,17:09,17:13,17:17,,,17:22,17:26,17:30
174,Kurla,17:12,17:16,17:20,,,17:25,17:29,17:33
175,Tilaknagar,17:15,17:19,17:23,,,17:27,17:32,17:36
176,Chembur,17:17,17:21,17:25,,,17:30,17:34,17:38
177,Govandi,17:20,17:24,17:28,,,17:33,17:37,17:41
178,Mankhurd,17:23,17:27,17:31,,,17:36,17:40,17:44
179,Vashi,17:32,17:36,17:40,,,17:45,17:49,17:53
180,Sanpada,17:34,,17:42,,,17:48,17:52,
181,Juinagar,17:37,,17:45,,,17:51,17:55,
182,Nerul,17:41,,17:49,17:52,,17:56,18:00,
183,Seawood Darave,17:44,,17:52,17:56,,18:00,18:04,
184,Belapur CBD,17:48,,17:56,18:00,,18:04,18:08,
185,Kharghar,17:52,,18:00,18:04,,18:08,,
186,Mansarovar,17:55,,18:03,18:07,,18:11,,
187,Khandeshwar,17:58,,18:06,18:10,,18:14,,
188,Panvel,18:03,,18:11,18:15,,18:19,,
189,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL)
190,Stations,98179 PL 145 AC,98181 PLVD 35,98757 GN 57,98353 BR 41 X,98183 PL 147,98909 PLGN 9,98541 V 37 X,99045 TPL 45
191,,,,,,,,,
192,Mumbai CSMT,17:08,,17:12,17:16,17:20,,17:26,TNA
193,Masjid,17:11,,17:15,17:19,17:23,,17:29,17:54
194,Sandhurst Road,17:14,,17:18,17:22,17:26,,17:32,
195,Dockyard Road,17:16,,17:20,17:24,17:28,,17:34,
196,Reay Road,17:18,,17:22,17:26,17:30,,17:36,
197,Cotton Green,17:20,,17:24,17:28,17:32,,17:38,
198,Sewri,17:23,,17:27,17:31,17:35,,17:41,
199,Vadala Road,17:26,17:30,17:30,17:34,17:38,17:41,17:44,
200,King's Circle,,,17:34,,,17:47,,
201,Mahim Jn,,,17:37,,,17:49,,
202,Bandra,,,17:41,,,17:53,,
203,Khar Road,,,17:45,,,17:57,,
204,Santacruz,,,17:48,,,18:00,,
205,Vileparle,,,17:51,,,18:03,,
206,Andheri,,,17:55,,,18:07,,
207,Jogeshwari,,,17:59,,,18:11,,
208,Ramnagar,,,18:02,,,18:14,,
209,Goregaon,,,18:06,,,18:18,,
210,GTB Nagar,17:31,17:35,,17:39,17:43,,17:50,
211,Chunabhatti,17:34,17:38,,17:42,17:46,,17:53,
212,Kurla,17:37,17:41,,17:45,17:49,,17:56,
213,Tilaknagar,17:40,17:44,,17:48,17:52,,17:59,
214,Chembur,17:42,17:46,,17:50,17:54,,18:01,
215,Govandi,17:45,17:49,,17:53,17:57,,18:04,
216,Mankhurd,17:48,17:52,,17:56,18:00,,18:07,
217,Vashi,17:57,18:01,,18:05,18:09,,18:16,
218,Sanpada,17:59,18:03,,18:07,18:11,,,
219,Juinagar,18:02,18:06,,18:10,18:14,,,
220,Nerul,18:06,18:10,,18:14,18:18,,,18:23
221,Seawood Darave,18:09,18:13,,18:17,18:21,,,18:27
222,Belapur CBD,18:13,18:17,,18:21,18:25,,,18:31
223,Kharghar,18:17,18:21,,,18:29,,,18:35
224,Mansarovar,18:20,18:24,,,18:32,,,18:38
225,Khandeshwar,18:23,18:27,,,18:35,,,18:41
226,Panvel,18:28,18:32,,,18:40,,,18:46
227,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL)
228,Stations,98859 B 59,98185 PL 149,98187 PLVD 37,98759 GN 59 X,99047 TPL 47,98543 V 39,98189 PL 151,98911 PLGN 11
229,,,,,,,,,
230,Mumbai CSMT,17:29,17:33,,17:37,TNA,17:41,17:45,
231,Masjid,17:32,17:36,,17:40,18:10,17:44,17:48,
232,Sandhurst Road,17:35,17:39,,17:43,,17:47,17:51,
233,Dockyard Road,17:37,17:41,,17:45,,17:49,17:53,
234,Reay Road,17:39,17:43,,17:47,,17:51,17:55,
235,Cotton Green,17:41,17:45,,17:49,,17:53,17:57,
236,Sewri,17:44,17:48,,17:52,,17:56,18:00,
237,Vadala Road,17:47,17:51,17:55,17:55,,17:59,18:03,18:06
238,King's Circle,17:51,,,18:00,,,,18:12
239,Mahim Jn,17:53,,,18:02,,,,18:14
240,Bandra,17:58,,,18:05,,,,18:18
241,Khar Road,,,,18:10,,,,18:23
242,Santacruz,,,,18:13,,,,18:26
243,Vileparle,,,,18:16,,,,18:29
244,Andheri,,,,18:20,,,,18:33
245,Jogeshwari,,,,18:24,,,,18:37
246,Ramnagar,,,,18:27,,,,18:40
247,Goregaon,,,,18:31,,,,18:45
248,GTB Nagar,,17:56,18:00,,,18:04,18:08,
249,Chunabhatti,,17:59,18:03,,,18:07,18:11,
250,Kurla,,18:02,18:06,,,18:10,18:14,
251,Tilaknagar,,18:05,18:09,,,18:13,18:17,
252,Chembur,,18:07,18:11,,,18:15,18:19,
253,Govandi,,18:10,18:14,,,18:18,18:22,
254,Mankhurd,,18:13,18:17,,,18:21,18:25,
255,Vashi,,18:22,18:26,,,18:30,18:34,
256,Sanpada,,18:24,18:28,,,,18:36,
257,Juinagar,,18:27,18:31,,,,18:39,
258,Nerul,,18:31,18:35,,18:39,,18:43,
259,Seawood Darave,,18:34,18:38,,18:43,,18:46,
260,Belapur CBD,,18:38,18:42,,18:46,,18:50,
261,Kharghar,,18:42,18:46,,18:50,,18:54,
262,Mansarovar,,18:45,18:49,,18:53,,18:57,
263,Khandeshwar,,18:48,18:52,,18:56,,19:00,
264,Panvel,,18:53,18:57,,19:01,,19:05,
265,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL)
266,Stations,98861 B 61,98545 V 41,98191 PL 153,98355 BR 43 X,98761 GN 61,99049 TPL 49 $,98193 PL 155 L/SPL #,98195 PL 157
267,,,,,,,,,
268,Mumbai CSMT,17:50,17:53,17:57,18:01,18:05,TNA,18:08,18:12
269,Masjid,17:53,17:56,18:00,18:04,18:08,18:34,18:11,18:15
270,Sandhurst Road,17:56,17:59,18:03,18:07,18:11,,18:14,18:18
271,Dockyard Road,17:58,18:01,18:05,18:09,18:13,,18:16,18:20
272,Reay Road,18:00,18:03,18:07,18:11,18:15,,18:18,18:22
273,Cotton Green,18:02,18:05,18:09,18:13,18:17,,18:20,18:24
274,Sewri,18:05,18:08,18:12,18:16,18:20,,18:23,18:27
275,Vadala Road,18:09,18:12,18:16,18:20,18:23,,18:26,18:30
276,King's Circle,18:15,,,,18:28,,,
277,Mahim Jn,18:17,,,,18:30,,,
278,Bandra,18:22,,,,18:34,,,
279,Khar Road,,,,,18:39,,,
280,Santacruz,,,,,18:42,,,
281,Vileparle,,,,,18:45,,,
282,Andheri,,,,,18:49,,,
283,Jogeshwari,,,,,18:53,,,
284,Ramnagar,,,,,18:56,,,
285,Goregaon,,,,,19:00,,,
286,GTB Nagar,,18:17,18:21,18:25,,,18:31,18:35
287,Chunabhatti,,18:20,18:24,18:28,,,18:34,18:38
288,Kurla,,18:23,18:27,18:31,,,18:37,18:41
289,Tilaknagar,,18:26,18:30,18:34,,,18:40,18:44
290,Chembur,,18:28,18:32,18:36,,,18:42,18:46
291,Govandi,,18:31,18:35,18:39,,,18:45,18:49
292,Mankhurd,,18:34,18:38,18:42,,,18:48,18:52
293,Vashi,,18:44,18:47,18:51,,,18:57,19:01
294,Sanpada,,,18:49,18:53,,,18:59,19:03
295,Juinagar,,,18:52,18:56,,,19:02,19:06
296,Nerul,,,18:56,19:00,,19:03,19:07,19:11
297,Seawood Darave,,,18:59,19:03,,19:07,19:11,19:15
298,Belapur CBD,,,19:03,19:07,,19:11,19:15,19:19
299,Kharghar,,,19:07,,,19:15,19:19,19:23
300,Mansarovar,,,19:10,,,19:18,19:22,19:26
301,Khandeshwar,,,19:13,,,19:21,19:25,19:29
302,Panvel,,,19:18,,,19:26,19:30,19:34
303,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL)
304,Stations,98547 V 43,98913 PLGN 13,98863 B 63,98197 PLVD 39,98199 PL 159 $,98201 PL 161,98763 GN 63,98357 BRVD 13 X
305,,,,,,,,,
306,Mumbai CSMT,18:16,,18:22,,18:26,18:33,18:37,
307,Masjid,18:19,,18:25,,18:29,18:36,18:40,
308,Sandhurst Road,18:22,,18:28,,18:32,18:39,18:43,
309,Dockyard Road,18:24,,18:30,,18:34,18:41,18:45,
310,Reay Road,18:26,,18:32,,18:36,18:43,18:47,
311,Cotton Green,18:28,,18:34,,18:38,18:45,18:49,
312,Sewri,18:31,,18:37,,18:41,18:48,18:52,
313,Vadala Road,18:34,18:37,18:41,18:41,18:45,18:51,18:55,18:55
314,King's Circle,,18:42,18:46,,,,19:00,
315,Mahim Jn,,18:44,18:48,,,,19:02,
316,Bandra,,18:48,18:53,,,,19:06,
317,Khar Road,,18:52,,,,,19:11,
318,Santacruz,,18:55,,,,,19:14,
319,Vileparle,,18:58,,,,,19:17,
320,Andheri,,19:02,,,,,19:21,
321,Jogeshwari,,19:06,,,,,19:25,
322,Ramnagar,,19:09,,,,,19:28,
323,Goregaon,,19:14,,,,,19:32,
324,GTB Nagar,18:39,,,18:46,18:50,18:57,,19:01
325,Chunabhatti,18:42,,,18:49,18:53,19:00,,19:04
326,Kurla,18:45,,,18:52,18:56,19:03,,19:07
327,Tilaknagar,18:48,,,18:55,18:59,19:06,,19:10
328,Chembur,18:50,,,18:57,19:01,19:08,,19:12
329,Govandi,18:53,,,19:00,19:04,19:11,,19:15
330,Mankhurd,18:56,,,19:03,19:07,19:14,,19:18
331,Vashi,19:05,,,19:12,19:16,19:23,,19:27
332,Sanpada,,,,19:14,19:18,19:25,,19:29
333,Juinagar,,,,19:17,19:21,19:28,,19:32
334,Nerul,,,,19:21,19:25,19:32,,19:36
335,Seawood Darave,,,,19:24,19:28,19:35,,19:39
336,Belapur CBD,,,,19:28,19:32,19:39,,19:43
337,Kharghar,,,,19:32,19:36,19:43,,
338,Mansarovar,,,,19:35,19:39,19:46,,
339,Khandeshwar,,,,19:38,19:42,19:49,,
340,Panvel,,,,19:43,19:47,19:54,,
341,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL)
342,Stations,98203 PL 163,99051 TPL 51,98865 B 65,98549 V 45 X,98765 GN 65,98910 GNPL 10,98205 PL 165 X,98359 BR 45
343,,,,,,,,,
344,Mumbai CSMT,18:41,TNA,18:45,18:49,18:53,,18:57,19:01
345,Masjid,18:44,19:14,18:48,18:52,18:56,,19:00,19:04
346,Sandhurst Road,18:47,,18:51,18:55,18:59,,19:03,19:07
347,Dockyard Road,18:49,,18:53,18:57,19:01,,19:05,19:09
348,Reay Road,18:51,,18:55,18:59,19:03,,19:07,19:11
349,Cotton Green,18:53,,18:57,19:01,19:05,,19:09,19:13
350,Sewri,18:56,,19:00,19:04,19:08,,19:12,19:16
351,Vadala Road,18:59,,19:03,19:07,19:11,19:11,19:15,19:19
352,King's Circle,,,19:07,,19:16,,,
353,Mahim Jn,,,19:09,,19:18,,,
354,Bandra,,,19:14,,19:22,,,
355,Khar Road,,,,,19:27,,,
356,Santacruz,,,,,19:30,,,
357,Vileparle,,,,,19:33,,,
358,Andheri,,,,,19:37,,,
359,Jogeshwari,,,,,19:41,,,
360,Ramnagar,,,,,19:44,,,
361,Goregaon,,,,,19:48,,,
362,GTB Nagar,19:05,,,19:12,,19:16,19:20,19:24
363,Chunabhatti,19:08,,,19:15,,19:19,19:23,19:27
364,Kurla,19:11,,,19:18,,19:22,19:26,19:30
365,Tilaknagar,19:14,,,19:21,,19:25,19:29,19:33
366,Chembur,19:16,,,19:23,,19:27,19:31,19:35
367,Govandi,19:19,,,19:26,,19:30,19:34,19:38
368,Mankhurd,19:22,,,19:29,,19:33,19:37,19:41
369,Vashi,19:31,,,19:38,,19:42,19:46,19:50
370,Sanpada,19:33,,,,,19:44,19:48,19:52
371,Juinagar,19:36,,,,,19:47,19:51,19:55
372,Nerul,19:40,19:43,,,,19:51,19:55,19:59
373,Seawood Darave,19:43,19:47,,,,19:54,19:58,20:02
374,Belapur CBD,19:47,19:51,,,,19:58,20:02,20:06
