,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).1,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).2,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).3,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).4,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).5,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).6,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).7,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).8
0,Stations,98145 PL 121,98343 BR 31 X,98849 B 49,98147 PLVD 25,98149 PL 123,98345 BR 33,98151 PL 125,98749 GN 49
1,,,,,,,,,
2,Mumbai CSMT,14:56,15:00,15:04,,15:08,15:12,15:16,15:20
3,Masjid,14:59,15:03,15:07,,15:11,15:15,15:19,15:23
4,Sandhurst Road,15:02,15:06,15:10,,15:14,15:18,15:22,15:26
5,Dockyard Road,15:04,15:08,15:12,,15:16,15:20,15:24,15:28
6,Reay Road,15:06,15:10,15:14,,15:18,15:22,15:26,15:30
7,Cotton Green,15:08,15:12,15:16,,15:20,15:24,15:28,15:32
8,Sewri,15:11,15:15,15:19,,15:23,15:27,15:31,15:35
9,Vadala Road,15:14,15:18,15:22,15:22,15:26,15:30,15:34,15:38
10,King's Circle,,,15:26,,,,,15:42
11,Mahim Jn,,,15:29,,,,,15:45
12,Bandra,,,15:33,,,,,15:49
13,Khar Road,,,,,,,,15:53
14,Santacruz,,,,,,,,15:56
15,Vileparle,,,,,,,,15:59
16,Andheri,,,,,,,,16:03
17,Jogeshwari,,,,,,,,16:07
18,Ramnagar,,,,,,,,16:10
19,Goregaon,,,,,,,,16:14
20,GTB Nagar,15:19,15:23,,15:27,15:31,15:35,15:39,
21,Chunabhatti,15:22,15:26,,15:30,15:34,15:38,15:42,
22,Kurla,15:25,15:29,,15:33,15:37,15:41,15:45,
23,Tilaknagar,15:28,15:32,,15:36,15:40,15:44,15:48,
24,Chembur,15:30,15:34,,15:38,15:42,15:46,15:50,
