,UP HBR TRAINS,UP HBR TRAINS.1,UP HBR TRAINS.2,UP HBR TRAINS.3,UP HBR TRAINS.4,UP HBR TRAINS.5,UP HBR TRAINS.6,UP HBR TRAINS.7,UP HBR TRAINS.8,UP HBR TRAINS.9,UP HBR TRAINS.10,UP HBR TRAINS.11,UP HBR TRAINS.12,UP HBR TRAINS.13,UP HBR TRAINS.14,UP HBR TRAINS.15,UP HBR TRAINS.16,UP HBR TRAINS.17,UP HBR TRAINS.18,UP HBR TRAINS.19,UP HBR TRAINS.20,UP HBR TRAINS.21,UP HBR TRAINS.22,UP HBR TRAINS.23,UP HBR TRAINS.24,UP HBR TRAINS.25,UP HBR TRAINS.26,UP HBR TRAINS.27,UP HBR TRAINS.28,UP HBR TRAINS.29,UP HBR TRAINS.30,UP HBR TRAINS.31,UP HBR TRAINS.32,UP HBR TRAINS.33,UP HBR TRAINS.34,UP HBR TRAINS.35,UP HBR TRAINS.36,UP HBR TRAINS.37,UP HBR TRAINS.38,UP HBR TRAINS.39,UP HBR TRAINS.40,UP HBR TRAINS.41,UP HBR TRAINS.42,UP HBR TRAINS.43,UP HBR TRAINS.44,UP HBR TRAINS.45,UP HBR TRAINS.46,UP HBR TRAINS.47,UP HBR TRAINS.48,UP HBR TRAINS.49,UP HBR TRAINS.50,UP HBR TRAINS.51,UP HBR TRAINS.52,UP HBR TRAINS.53,UP HBR TRAINS.54,UP HBR TRAINS.55,UP HBR TRAINS.56,UP HBR TRAINS.57,UP HBR TRAINS.58,UP HBR TRAINS.59,UP HBR TRAINS.60,UP HBR TRAINS.61,UP HBR TRAINS.62,UP HBR TRAINS.63,UP HBR TRAINS.64,UP HBR TRAINS.65,UP HBR TRAINS.66,UP HBR TRAINS.67,UP HBR TRAINS.68,UP HBR TRAINS.69,UP HBR TRAINS.70,UP HBR TRAINS.71,UP HBR TRAINS.72,UP HBR TRAINS.73
43,RAM MANDIR,,10:10,10:10,,,10:39,10:39,,,,,,,,,,,11:04,11:04,11:04,11:04,11:04,11:04,,,,,,,11:28,11:28,11:28,11:28,11:28,11:38,11:38,11:38,11:38,11:38,11:38,,,,,,,11:59,11:59,11:59,11:59,11:59,11:59,,,,,,,12:18,12:18,12:18,12:18,12:18,12:18,12:18,12:31,12:31,12:31,12:31,,,,
44,JOGESWARI,,10:13,10:13,,,10:42,10:42,,,,,,,,,,,11:07,11:07,11:07,11:07,11:07,11:07,,,,,,,11:31,11:31,11:31,11:31,11:31,11:41,11:41,11:41,11:41,11:41,11:41,,,,,,,12:02,12:02,12:02,12:02,12:02,12:02,,,,,,,12:21,12:21,12:21,12:21,12:21,12:21,12:21,12:34,12:34,12:34,12:34,,,,
45,ANDHERI,,10:17,10:17,,,10:46,10:46,,,,,,,,,,,11:11,11:11,11:11,11:11,11:11,11:11,,,,,,,11:35,11:35,11:35,11:35,11:35,11:45,11:45,11:45,11:45,11:45,11:45,,,,,,,12:06,12:06,12:06,12:06,12:06,12:06,,,,,,,12:25,12:25,12:25,12:25,12:25,12:25,12:25,12:38,12:38,12:38,12:38,,,,
46,VILEPARLE,,10:21,10:21,,,10:50,10:50,,,,,,,,,,,11:15,11:15,11:15,11:15,11:15,11:15,,,,,,,11:39,11:39,11:39,11:39,11:39,11:49,11:49,11:49,11:49,11:49,11:49,,,,,,,12:11,12:11,12:11,12:11,12:11,12:11,,,,,,,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:42,12:42,12:42,12:42,,,,
47,SANTACURTZ,,10:24,10:24,,,10:53,10:53,,,,,,,,,,,11:18,11:18,11:18,11:18,11:18,11:18,,,,,,,11:43,11:43,11:43,11:43,11:43,11:52,11:52,11:52,11:52,11:52,11:52,,,,,,,12:15,12:15,12:15,12:15,12:15,12:15,,,,,,,12:33,12:33,12:33,12:33,12:33,12:33,12:33,12:45,12:45,12:45,12:45,,,,
48,KHAR,,10:27,10:27,,,10:56,10:56,,,,,,,,,,,11:21,11:21,11:21,11:21,11:21,11:21,,,,,,,11:46,11:46,11:46,11:46,11:46,11:55,11:55,11:55,11:55,11:55,11:55,,,,,,,12:18,12:18,12:18,12:18,12:18,12:18,,,,,,,12:36,12:36,12:36,12:36,12:36,12:36,12:36,12:48,12:48,12:48,12:48,,,,
49,BANDRA,10:20,10:31,10:31,10:45,10:45,11:00,11:00,11:17,11:17,11:17,,,,,,,,11:25,11:25,11:25,11:25,11:25,11:25,11:41,11:41,11:41,11:41,11:41,11:41,11:51,11:51,11:51,11:51,11:51,11:59,11:59,11:59,11:59,11:59,11:59,12:16,12:16,12:16,12:16,12:16,12:16,12:23,12:23,12:23,12:23,12:23,12:23,12:37,12:37,12:37,12:37,12:37,12:37,12:41,12:41,12:41,12:41,12:41,12:41,12:41,12:52,12:52,12:52,12:52,12:58,12:58,12:58,12:58
50,MAHIM JN.,10:24,10:35,10:35,10:49,10:49,11:03,11:03,11:21,11:21,11:21,,,,,,,,11:29,11:29,11:29,11:29,11:29,11:29,11:45,11:45,11:45,11:45,11:45,11:45,11:54,11:54,11:54,11:54,11:54,12:02,12:02,12:02,12:02,12:02,12:02,12:20,12:20,12:20,12:20,12:20,12:20,12:27,12:27,12:27,12:27,12:27,12:27,12:40,12:40,12:40,12:40,12:40,12:40,12:45,12:45,12:45,12:45,12:45,12:45,12:45,12:55,12:55,12:55,12:55,13:02,13:02,13:02,13:02
51,KING'S CIRCLE,10:28,10:38,10:38,10:52,10:52,11:06,11:06,11:24,11:24,11:24,,,,,,,,11:32,11:32,11:32,11:32,11:32,11:32,11:48,11:48,11:48,11:48,11:48,11:48,11:57,11:57,11:57,11:57,11:57,12:05,12:05,12:05,12:05,12:05,12:05,12:23,12:23,12:23,12:23,12:23,12:23,12:30,12:30,12:30,12:30,12:30,12:30,12:43,12:43,12:43,12:43,12:43,12:43,12:48,12:48,12:48,12:48,12:48,12:48,12:48,12:58,12:58,12:58,12:58,13:05,13:05,13:05,13:05
52,VADALA ROAD,10:34,10:45,10:45,10:58,10:58,11:12,11:12,11:30,11:30,11:30,11:39,11:39,11:39,11:39,11:39,11:39,11:39,11:38,11:38,11:38,11:38,11:38,11:38,11:54,11:54,11:54,11:54,11:54,11:54,12:03,12:03,12:03,12:03,12:03,12:11,12:11,12:11,12:11,12:11,12:11,12:29,12:29,12:29,12:29,12:29,12:29,12:36,12:36,12:36,12:36,12:36,12:36,12:49,12:49,12:49,12:49,12:49,12:49,12:55,12:55,12:55,12:55,12:55,12:55,12:55,13:04,13:04,13:04,13:04,13:12,13:12,13:12,13:12
53,SEWERI,10:37,10:48,10:48,11:01,11:01,11:15,11:15,11:33,11:33,11:33,PF 2,PF 2,PF 2,PF 2,PF 2,PF 2,PF 2,11:41,11:41,11:41,11:41,11:41,11:41,11:57,11:57,11:57,11:57,11:57,11:57,12:06,12:06,12:06,12:06,12:06,12:14,12:14,12:14,12:14,12:14,12:14,12:32,12:32,12:32,12:32,12:32,12:32,12:39,12:39,12:39,12:39,12:39,12:39,12:52,12:52,12:52,12:52,12:52,12:52,PF 3,PF 3,PF 3,PF 3,PF 3,PF 3,PF 3,13:07,13:07,13:07,13:07,13:15,13:15,13:15,13:15
54,COTTON GREEN,10:40,10:51,10:51,11:04,11:04,11:18,11:18,11:36,11:36,11:36,,,,,,,,11:44,11:44,11:44,11:44,11:44,11:44,12:00,12:00,12:00,12:00,12:00,12:00,12:09,12:09,12:09,12:09,12:09,12:17,12:17,12:17,12:17,12:17,12:17,12:35,12:35,12:35,12:35,12:35,12:35,12:42,12:42,12:42,12:42,12:42,12:42,12:55,12:55,12:55,12:55,12:55,12:55,,,,,,,,13:10,13:10,13:10,13:10,13:18,13:18,13:18,13:18
55,REAY ROAD,10:42,10:53,10:53,11:06,11:06,11:20,11:20,11:38,11:38,11:38,VDLR,VDLR,VDLR,VDLR,VDLR,VDLR,VDLR,11:46,11:46,11:46,11:46,11:46,11:46,12:02,12:02,12:02,12:02,12:02,12:02,12:11,12:11,12:11,12:11,12:11,12:19,12:19,12:19,12:19,12:19,12:19,12:37,12:37,12:37,12:37,12:37,12:37,12:44,12:44,12:44,12:44,12:44,12:44,12:57,12:57,12:57,12:57,12:57,12:57,VDLR,VDLR,VDLR,VDLR,VDLR,VDLR,VDLR,13:12,13:12,13:12,13:12,13:20,13:20,13:20,13:20
56,DOCK YARD ROAD,10:45,10:56,10:56,11:09,11:09,11:23,11:23,11:41,11:41,11:41,DEP,DEP,DEP,DEP,DEP,DEP,DEP,11:49,11:49,11:49,11:49,11:49,11:49,12:05,12:05,12:05,12:05,12:05,12:05,12:14,12:14,12:14,12:14,12:14,12:22,12:22,12:22,12:22,12:22,12:22,12:40,12:40,12:40,12:40,12:40,12:40,12:47,12:47,12:47,12:47,12:47,12:47,13:00,13:00,13:00,13:00,13:00,13:00,DEP,DEP,DEP,DEP,DEP,DEP,DEP,13:15,13:15,13:15,13:15,13:23,13:23,13:23,13:23
57,SANDHURST ROAD,10:47,10:58,10:58,11:11,11:11,11:25,11:25,11:43,11:43,11:43,11:42,11:42,11:42,11:42,11:42,11:42,11:42,11:51,11:51,11:51,11:51,11:51,11:51,12:07,12:07,12:07,12:07,12:07,12:07,12:16,12:16,12:16,12:16,12:16,12:24,12:24,12:24,12:24,12:24,12:24,12:42,12:42,12:42,12:42,12:42,12:42,12:49,12:49,12:49,12:49,12:49,12:49,13:02,13:02,13:02,13:02,13:02,13:02,13:01,13:01,13:01,13:01,13:01,13:01,13:01,13:17,13:17,13:17,13:17,13:25,13:25,13:25,13:25
58,MASJID,10:49,11:00,11:00,11:13,11:13,11:27,11:27,11:45,11:45,11:45,GMN,GMN,GMN,GMN,GMN,GMN,GMN,11:53,11:53,11:53,11:53,11:53,11:53,12:09,12:09,12:09,12:09,12:09,12:09,12:18,12:18,12:18,12:18,12:18,12:26,12:26,12:26,12:26,12:26,12:26,12:44,12:44,12:44,12:44,12:44,12:44,12:51,12:51,12:51,12:51,12:51,12:51,13:04,13:04,13:04,13:04,13:04,13:04,PNVL,PNVL,PNVL,PNVL,PNVL,PNVL,PNVL,13:19,13:19,13:19,13:19,13:27,13:27,13:27,13:27
59,MUMBAI CSMT,10:52,11:04,11:04,11:16,11:16,11:30,11:30,11:48,11:48,11:48,12:19,12:19,12:19,12:19,12:19,12:19,12:19,11:56,11:56,11:56,11:56,11:56,11:56,12:12,12:12,12:12,12:12,12:12,12:12,12:21,12:21,12:21,12:21,12:21,12:28,12:28,12:28,12:28,12:28,12:28,12:47,12:47,12:47,12:47,12:47,12:47,12:54,12:54,12:54,12:54,12:54,12:54,13:07,13:07,13:07,13:07,13:07,13:07,14:04,14:04,14:04,14:04,14:04,14:04,14:04,13:22,13:22,13:22,13:22,13:30,13:30,13:30,13:30
60,Train No.,98742 GN 42,98842 B 42,98842 B 42,98744 GN 44,98744 GN 44,98844 B 44,98844 B 44,91394 WGN 4,91394 WGN 4,91394 WGN 4,91394 WGN 4,98846 B 46,98846 B 46,98846 B 46,98846 B 46,98846 B 46,98746 GN 46,98746 GN 46,98746 GN 46,98746 GN 46,98746 GN 46,98746 GN 46,98848 B 48,98848 B 48,98848 B 48,98848 B 48,98848 B 48,98848 B 48,98748 GN 48,98748 GN 48,98748 GN 48,98748 GN 48,98748 GN 48,98850 B 50,98850 B 50,98850 B 50,98850 B 50,98850 B 50,98850 B 50,98750 GN 50,98750 GN 50,98750 GN 50,98750 GN 50,98750 GN 50,98750 GN 50,98852 B 52,98852 B 52,98852 B 52,98852 B 52,98852 B 52,98752 GN 52,98752 GN 52,98752 GN 52,98752 GN 52,98752 GN 52,98752 GN 52,98854 B 54,98854 B 54,98854 B 54,98854 B 54,98854 B 54,98854 B 54,,,,,,,,,,,
61,Stations,,,,,,,,*,*,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,GOREGAON,12:53,,,13:15,13:15,,,13:38,13:38,13:38,13:38,,,,,,14:05,14:05,14:05,14:05,14:05,14:05,,,,,,,14:33,14:33,14:33,14:33,14:33,,,,,,,14:59,14:59,14:59,14:59,14:59,14:59,,,,,,15:35,15:35,15:35,15:35,15:35,15:35,,,,,,,,,,,,,,,,,
63,RAM MANDIR,12:57,,,13:19,13:19,,,13:41,13:41,13:41,13:41,,,,,,14:09,14:09,14:09,14:09,14:09,14:09,,,,,,,14:37,14:37,14:37,14:37,14:37,,,,,,,15:03,15:03,15:03,15:03,15:03,15:03,,,,,,15:39,15:39,15:39,15:39,15:39,15:39,,,,,,,,,,,,,,,,,
64,JOGESWARI,13:00,,,13:22,13:22,,,13:44,13:44,13:44,13:44,,,,,,14:12,14:12,14:12,14:12,14:12,14:12,,,,,,,14:40,14:40,14:40,14:40,14:40,,,,,,,15:06,15:06,15:06,15:06,15:06,15:06,,,,,,15:42,15:42,15:42,15:42,15:42,15:42,,,,,,,,,,,,,,,,,
65,ANDHERI,13:04,,,13:26,13:26,,,13:48,13:48,13:48,13:48,,,,,,14:16,14:16,14:16,14:16,14:16,14:16,,,,,,,14:44,14:44,14:44,14:44,14:44,,,,,,,15:10,15:10,15:10,15:10,15:10,15:10,,,,,,15:46,15:46,15:46,15:46,15:46,15:46,,,,,,,,,,,,,,,,,
66,VILEPARLE,13:08,,,13:30,13:30,,,13:52,13:52,13:52,13:52,,,,,,14:20,14:20,14:20,14:20,14:20,14:20,,,,,,,14:48,14:48,14:48,14:48,14:48,,,,,,,15:14,15:14,15:14,15:14,15:14,15:14,,,,,,15:50,15:50,15:50,15:50,15:50,15:50,,,,,,,,,,,,,,,,,
67,SANTACURTZ,13:11,,,13:33,13:33,,,13:55,13:55,13:55,13:55,,,,,,14:23,14:23,14:23,14:23,14:23,14:23,,,,,,,14:51,14:51,14:51,14:51,14:51,,,,,,,15:17,15:17,15:17,15:17,15:17,15:17,,,,,,15:53,15:53,15:53,15:53,15:53,15:53,,,,,,,,,,,,,,,,,
68,KHAR,13:14,,,13:36,13:36,,,13:58,13:58,13:58,13:58,,,,,,14:26,14:26,14:26,14:26,14:26,14:26,,,,,,,14:54,14:54,14:54,14:54,14:54,,,,,,,15:20,15:20,15:20,15:20,15:20,15:20,,,,,,15:56,15:56,15:56,15:56,15:56,15:56,,,,,,,,,,,,,,,,,
69,BANDRA,13:18,13:24,13:24,13:40,13:40,13:51,13:51,14:02,14:02,14:02,14:02,14:17,14:17,14:17,14:17,14:17,14:30,14:30,14:30,14:30,14:30,14:30,14:41,14:41,14:41,14:41,14:41,14:41,14:58,14:58,14:58,14:58,14:58,15:05,15:05,15:05,15:05,15:05,15:05,15:24,15:24,15:24,15:24,15:24,15:24,15:41,15:41,15:41,15:41,15:41,16:00,16:00,16:00,16:00,16:00,16:00,16:12,16:12,16:12,16:12,16:12,16:12,,,,,,,,,,,
70,MAHIM JN.,13:21,13:28,13:28,13:43,13:43,13:55,13:55,14:05,14:05,14:05,14:05,14:21,14:21,14:21,14:21,14:21,14:33,14:33,14:33,14:33,14:33,14:33,14:45,14:45,14:45,14:45,14:45,14:45,15:01,15:01,15:01,15:01,15:01,15:09,15:09,15:09,15:09,15:09,15:09,15:27,15:27,15:27,15:27,15:27,15:27,15:45,15:45,15:45,15:45,15:45,16:03,16:03,16:03,16:03,16:03,16:03,16:16,16:16,16:16,16:16,16:16,16:16,,,,,,,,,,,
71,KING'S CIRCLE,13:24,13:32,13:32,13:46,13:46,13:58,13:58,14:08,14:08,14:08,14:08,14:24,14:24,14:24,14:24,14:24,14:36,14:36,14:36,14:36,14:36,14:36,14:48,14:48,14:48,14:48,14:48,14:48,15:04,15:04,15:04,15:04,15:04,15:12,15:12,15:12,15:12,15:12,15:12,15:30,15:30,15:30,15:30,15:30,15:30,15:48,15:48,15:48,15:48,15:48,16:06,16:06,16:06,16:06,16:06,16:06,16:19,16:19,16:19,16:19,16:19,16:19,,,,,,,,,,,
72,VADALA ROAD,13:30,13:38,13:38,13:51,13:51,14:04,14:04,14:14,14:14,14:14,14:14,14:30,14:30,14:30,14:30,14:30,14:42,14:42,14:42,14:42,14:42,14:42,14:54,14:54,14:54,14:54,14:54,14:54,15:10,15:10,15:10,15:10,15:10,15:18,15:18,15:18,15:18,15:18,15:18,15:36,15:36,15:36,15:36,15:36,15:36,15:54,15:54,15:54,15:54,15:54,16:12,16:12,16:12,16:12,16:12,16:12,16:25,16:25,16:25,16:25,16:25,16:25,,,,,,,,,,,
73,SEWERI,13:33,13:41,13:41,13:54,13:54,14:07,14:07,14:17,14:17,14:17,14:17,14:33,14:33,14:33,14:33,14:33,14:45,14:45,14:45,14:45,14:45,14:45,14:57,14:57,14:57,14:57,14:57,14:57,15:13,15:13,15:13,15:13,15:13,15:21,15:21,15:21,15:21,15:21,15:21,15:39,15:39,15:39,15:39,15:39,15:39,15:57,15:57,15:57,15:57,15:57,16:15,16:15,16:15,16:15,16:15,16:15,16:28,16:28,16:28,16:28,16:28,16:28,,,,,,,,,,,
74,COTTON GREEN,13:36,13:44,13:44,13:57,13:57,14:10,14:10,14:20,14:20,14:20,14:20,14:36,14:36,14:36,14:36,14:36,14:48,14:48,14:48,14:48,14:48,14:48,15:00,15:00,15:00,15:00,15:00,15:00,15:16,15:16,15:16,15:16,15:16,15:24,15:24,15:24,15:24,15:24,15:24,15:42,15:42,15:42,15:42,15:42,15:42,16:00,16:00,16:00,16:00,16:00,16:18,16:18,16:18,16:18,16:18,16:18,16:31,16:31,16:31,16:31,16:31,16:31,,,,,,,,,,,
75,REAY ROAD,13:38,13:46,13:46,13:59,13:59,14:12,14:12,14:22,14:22,14:22,14:22,14:38,14:38,14:38,14:38,14:38,14:50,14:50,14:50,14:50,14:50,14:50,15:02,15:02,15:02,15:02,15:02,15:02,15:18,15:18,15:18,15:18,15:18,15:26,15:26,15:26,15:26,15:26,15:26,15:44,15:44,15:44,15:44,15:44,15:44,16:02,16:02,16:02,16:02,16:02,16:20,16:20,16:20,16:20,16:20,16:20,16:33,16:33,16:33,16:33,16:33,16:33,,,,,,,,,,,
76,DOCK YARD ROAD,13:41,13:49,13:49,14:02,14:02,14:15,14:15,14:25,14:25,14:25,14:25,14:41,14:41,14:41,14:41,14:41,14:53,14:53,14:53,14:53,14:53,14:53,15:05,15:05,15:05,15:05,15:05,15:05,15:21,15:21,15:21,15:21,15:21,15:29,15:29,15:29,15:29,15:29,15:29,15:47,15:47,15:47,15:47,15:47,15:47,16:05,16:05,16:05,16:05,16:05,16:23,16:23,16:23,16:23,16:23,16:23,16:36,16:36,16:36,16:36,16:36,16:36,,,,,,,,,,,
77,SANDHURST ROAD,13:43,13:51,13:51,14:04,14:04,14:17,14:17,14:27,14:27,14:27,14:27,14:43,14:43,14:43,14:43,14:43,14:55,14:55,14:55,14:55,14:55,14:55,15:07,15:07,15:07,15:07,15:07,15:07,15:23,15:23,15:23,15:23,15:23,15:31,15:31,15:31,15:31,15:31,15:31,15:49,15:49,15:49,15:49,15:49,15:49,16:07,16:07,16:07,16:07,16:07,16:25,16:25,16:25,16:25,16:25,16:25,16:38,16:38,16:38,16:38,16:38,16:38,,,,,,,,,,,
78,MASJID,13:45,13:53,13:53,14:06,14:06,14:19,14:19,14:29,14:29,14:29,14:29,14:45,14:45,14:45,14:45,14:45,14:57,14:57,14:57,14:57,14:57,14:57,15:09,15:09,15:09,15:09,15:09,15:09,15:25,15:25,15:25,15:25,15:25,15:33,15:33,15:33,15:33,15:33,15:33,15:51,15:51,15:51,15:51,15:51,15:51,16:09,16:09,16:09,16:09,16:09,16:27,16:27,16:27,16:27,16:27,16:27,16:40,16:40,16:40,16:40,16:40,16:40,,,,,,,,,,,
79,MUMBAI CSMT,13:48,13:56,13:56,14:09,14:09,14:22,14:22,14:32,14:32,14:32,14:32,14:48,14:48,14:48,14:48,14:48,15:00,15:00,15:00,15:00,15:00,15:00,15:12,15:12,15:12,15:12,15:12,15:12,15:28,15:28,15:28,15:28,15:28,15:36,15:36,15:36,15:36,15:36,15:36,15:54,15:54,15:54,15:54,15:54,15:54,16:12,16:12,16:12,16:12,16:12,16:30,16:30,16:30,16:30,16:30,16:30,16:43,16:43,16:43,16:43,16:43,16:43,,,,,,,,,,,
80,Train No.,98754 GN 54,98856 B 56,98856 B 56,98756 GN 56,98756 GN 56,98858 B 58,98858 B 58,98758 GN 58,98758 GN 58,98758 GN 58,98909 PLGN 9,98909 PLGN 9,98909 PLGN 9,98909 PLGN 9,98909 PLGN 9,98909 PLGN 9,98909 PLGN 9,98860 B 60,98860 B 60,98860 B 60,98860 B 60,98860 B 60,98860 B 60,98911 PLGN 11,98911 PLGN 11,98911 PLGN 11,98911 PLGN 11,98911 PLGN 11,98911 PLGN 11,98911 PLGN 11,98911 PLGN 11,98760 GN 60,98760 GN 60,98760 GN 60,98760 GN 60,98760 GN 60,98862 B 62,98862 B 62,98862 B 62,98862 B 62,98862 B 62,98862 B 62,98762 GN 62,98762 GN 62,98762 GN 62,98762 GN 62,98762 GN 62,98762 GN 62,98913 PLGN 13,98913 PLGN 13,98913 PLGN 13,98913 PLGN 13,98913 PLGN 13,98913 PLGN 13,98913 PLGN 13,98864 B 64,98864 B 64,98864 B 64,98864 B 64,98864 B 64,98864 B 64,98764 GN 64,98764 GN 64,98764 GN 64,98764 GN 64,98764 GN 64,98764 GN 64,98910 GNPL 10,98910 GNPL 10,98910 GNPL 10,98910 GNPL 10,98910 GNPL 10,98866 B 66
81,Stations,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,GOREGAON,16:01,,,16:29,16:29,,,16:58,16:58,16:58,,,,,,,,,,,,,,,,,,,,,,17:25,17:25,17:25,17:25,17:25,,,,,,,17:53,17:53,17:53,17:53,17:53,17:53,,,,,,,,,,,,,,18:14,18:14,18:14,18:14,18:14,18:14,18:27,18:27,18:27,18:27,18:27,
83,RAM MANDIR,16:05,,,16:33,16:33,,,17:02,17:02,17:02,,,,,,,,,,,,,,,,,,,,,,17:29,17:29,17:29,17:29,17:29,,,,,,,17:57,17:57,17:57,17:57,17:57,17:57,,,,,,,,,,,,,,18:18,18:18,18:18,18:18,18:18,18:18,18:31,18:31,18:31,18:31,18:31,
84,JOGESWARI,16:08,,,16:36,16:36,,,17:05,17:05,17:05,,,,,,,,,,,,,,,,,,,,,,17:32,17:32,17:32,17:32,17:32,,,,,,,18:00,18:00,18:00,18:00,18:00,18:00,,,,,,,,,,,,,,18:21,18:21,18:21,18:21,18:21,18:21,18:34,18:34,18:34,18:34,18:34,
85,ANDHERI,16:12,,,16:40,16:40,,,17:09,17:09,17:09,,,,,,,,,,,,,,,,,,,,,,17:36,17:36,17:36,17:36,17:36,,,,,,,18:04,18:04,18:04,18:04,18:04,18:04,,,,,,,,,,,,,,18:26,18:26,18:26,18:26,18:26,18:26,18:38,18:38,18:38,18:38,18:38,
86,VILEPARLE,16:16,,,16:44,16:44,,,17:13,17:13,17:13,,,,,,,,,,,,,,,,,,,,,,17:40,17:40,17:40,17:40,17:40,,,,,,,18:08,18:08,18:08,18:08,18:08,18:08,,,,,,,,,,,,,,18:30,18:30,18:30,18:30,18:30,18:30,18:42,18:42,18:42,18:42,18:42,
87,SANTACURTZ,16:19,,,16:47,16:47,,,17:16,17:16,17:16,,,,,,,,,,,,,,,,,,,,,,17:43,17:43,17:43,17:43,17:43,,,,,,,18:11,18:11,18:11,18:11,18:11,18:11,,,,,,,,,,,,,,18:33,18:33,18:33,18:33,18:33,18:33,18:45,18:45,18:45,18:45,18:45,
88,KHAR,16:22,,,16:50,16:50,,,17:19,17:19,17:19,,,,,,,,,,,,,,,,,,,,,,17:46,17:46,17:46,17:46,17:46,,,,,,,18:14,18:14,18:14,18:14,18:14,18:14,,,,,,,,,,,,,,18:36,18:36,18:36,18:36,18:36,18:36,18:48,18:48,18:48,18:48,18:48,
89,BANDRA,16:26,16:41,16:41,16:54,16:54,17:13,17:13,17:23,17:23,17:23,,,,,,,,17:33,17:33,17:33,17:33,17:33,17:33,,,,,,,,,17:50,17:50,17:50,17:50,17:50,18:06,18:06,18:06,18:06,18:06,18:06,18:18,18:18,18:18,18:18,18:18,18:18,,,,,,,,18:34,18:34,18:34,18:34,18:34,18:34,18:41,18:41,18:41,18:41,18:41,18:41,18:52,18:52,18:52,18:52,18:52,19:01
90,MAHIM JN.,16:29,16:45,16:45,16:57,16:57,17:17,17:17,17:26,17:26,17:26,,,,,,,,17:37,17:37,17:37,17:37,17:37,17:37,,,,,,,,,17:53,17:53,17:53,17:53,17:53,18:10,18:10,18:10,18:10,18:10,18:10,18:22,18:22,18:22,18:22,18:22,18:22,,,,,,,,18:38,18:38,18:38,18:38,18:38,18:38,18:45,18:45,18:45,18:45,18:45,18:45,18:56,18:56,18:56,18:56,18:56,19:05
91,KING'S CIRCLE,16:32,16:48,16:48,17:00,17:00,17:20,17:20,17:29,17:29,17:29,,,,,,,,17:40,17:40,17:40,17:40,17:40,17:40,,,,,,,,,17:56,17:56,17:56,17:56,17:56,18:13,18:13,18:13,18:13,18:13,18:13,18:25,18:25,18:25,18:25,18:25,18:25,,,,,,,,18:41,18:41,18:41,18:41,18:41,18:41,18:48,18:48,18:48,18:48,18:48,18:48,18:59,18:59,18:59,18:59,18:59,19:08
92,VADALA ROAD,16:38,16:54,16:54,17:06,17:06,17:26,17:26,17:35,17:35,17:35,17:36,17:36,17:36,17:36,17:36,17:36,17:36,17:46,17:46,17:46,17:46,17:46,17:46,18:02,18:02,18:02,18:02,18:02,18:02,18:02,18:02,18:02,18:02,18:02,18:02,18:02,18:19,18:19,18:19,18:19,18:19,18:19,18:31,18:31,18:31,18:31,18:31,18:31,18:32,18:32,18:32,18:32,18:32,18:32,18:32,18:47,18:47,18:47,18:47,18:47,18:47,18:55,18:55,18:55,18:55,18:55,18:55,19:06,19:06,19:06,19:06,19:06,19:14
93,SEWERI,16:41,16:57,16:57,17:09,17:09,17:29,17:29,17:38,17:38,17:38,PF 2,PF 2,PF 2,PF 2,PF 2,PF 2,PF 2,17:49,17:49,17:49,17:49,17:49,17:49,PF 2,PF 2,PF 2,PF 2,PF 2,PF 2,PF 2,PF 2,18:05,18:05,18:05,18:05,18:05,18:22,18:22,18:22,18:22,18:22,18:22,18:34,18:34,18:34,18:34,18:34,18:34,PF 2,PF 2,PF 2,PF 2,PF 2,PF 2,PF 2,18:50,18:50,18:50,18:50,18:50,18:50,18:58,18:58,18:58,18:58,18:58,18:58,PF 3,PF 3,PF 3,PF 3,PF 3,19:17
94,COTTON GREEN,16:44,17:00,17:00,17:12,17:12,17:32,17:32,17:41,17:41,17:41,,,,,,,,17:52,17:52,17:52,17:52,17:52,17:52,,,,,,,,,18:08,18:08,18:08,18:08,18:08,18:25,18:25,18:25,18:25,18:25,18:25,18:37,18:37,18:37,18:37,18:37,18:37,,,,,,,,18:53,18:53,18:53,18:53,18:53,18:53,19:01,19:01,19:01,19:01,19:01,19:01,,,,,,19:20
95,REAY ROAD,16:46,17:02,17:02,17:14,17:14,17:34,17:34,17:43,17:43,17:43,VDLR,VDLR,VDLR,VDLR,VDLR,VDLR,VDLR,17:54,17:54,17:54,17:54,17:54,17:54,VDLR,VDLR,VDLR,VDLR,VDLR,VDLR,VDLR,VDLR,18:10,18:10,18:10,18:10,18:10,18:27,18:27,18:27,18:27,18:27,18:27,18:39,18:39,18:39,18:39,18:39,18:39,VDLR,VDLR,VDLR,VDLR,VDLR,VDLR,VDLR,18:55,18:55,18:55,18:55,18:55,18:55,19:03,19:03,19:03,19:03,19:03,19:03,VDLR,VDLR,VDLR,VDLR,VDLR,19:22
