,UP HBR TRAINS,UP HBR TRAINS.1,UP HBR TRAINS.2,UP HBR TRAINS.3,UP HBR TRAINS.4,UP HBR TRAINS.5,UP HBR TRAINS.6,UP HBR TRAINS.7,UP HBR TRAINS.8,UP HBR TRAINS.9,UP HBR TRAINS.10,UP HBR TRAINS.11,UP HBR TRAINS.12,UP HBR TRAINS.13,UP HBR TRAINS.14,UP HBR TRAINS.15,UP HBR TRAINS.16,UP HBR TRAINS.17,UP HBR TRAINS.18,UP HBR TRAINS.19,UP HBR TRAINS.20,UP HBR TRAINS.21,UP HBR TRAINS.22,UP HBR TRAINS.23,UP HBR TRAINS.24,UP HBR TRAINS.25,UP HBR TRAINS.26,UP HBR TRAINS.27,UP HBR TRAINS.28,UP HBR TRAINS.29,UP HBR TRAINS.30,UP HBR TRAINS.31,UP HBR TRAINS.32,UP HBR TRAINS.33,UP HBR TRAINS.34,UP HBR TRAINS.35,UP HBR TRAINS.36,UP HBR TRAINS.37,UP HBR TRAINS.38,UP HBR TRAINS.39,UP HBR TRAINS.40,UP HBR TRAINS.41,UP HBR TRAINS.42,UP HBR TRAINS.43,UP HBR TRAINS.44,UP HBR TRAINS.45,UP HBR TRAINS.46,UP HBR TRAINS.47,UP HBR TRAINS.48,UP HBR TRAINS.49,UP HBR TRAINS.50,UP HBR TRAINS.51,UP HBR TRAINS.52,UP HBR TRAINS.53,UP HBR TRAINS.54,UP HBR TRAINS.55,UP HBR TRAINS.56,UP HBR TRAINS.57,UP HBR TRAINS.58,UP HBR TRAINS.59,UP HBR TRAINS.60,UP HBR TRAINS.61,UP HBR TRAINS.62,UP HBR TRAINS.63,UP HBR TRAINS.64,UP HBR TRAINS.65,UP HBR TRAINS.66,UP HBR TRAINS.67,UP HBR TRAINS.68,UP HBR TRAINS.69,UP HBR TRAINS.70,UP HBR TRAINS.71,UP HBR TRAINS.72,UP HBR TRAINS.73
10,MAHIM JN.,0:35,4:21,4:21,4:37,4:37,5:16,5:16,5:33,5:33,5:33,5:45,5:45,5:45,5:45,5:45,6:01,6:01,6:01,6:01,6:01,6:01,6:13,6:13,6:13,6:13,6:13,6:13,6:27,6:27,6:27,6:27,6:27,6:42,6:42,6:42,6:42,6:42,6:42,6:49,6:49,6:49,6:49,6:49,6:49,,,,,,,,7:03,7:03,7:03,7:03,7:03,7:03,7:17,7:17,7:17,7:17,7:17,7:17,7:25,7:25,7:25,7:25,7:25,7:33,7:33,7:33,7:45,7:45
11,KING'S CIRCLE,0:38,4:24,4:24,4:40,4:40,5:19,5:19,5:36,5:36,5:36,5:48,5:48,5:48,5:48,5:48,6:04,6:04,6:04,6:04,6:04,6:04,6:16,6:16,6:16,6:16,6:16,6:16,6:30,6:30,6:30,6:30,6:30,6:45,6:45,6:45,6:45,6:45,6:45,6:52,6:52,6:52,6:52,6:52,6:52,,,,,,,,7:06,7:06,7:06,7:06,7:06,7:06,7:20,7:20,7:20,7:20,7:20,7:20,7:28,7:28,7:28,7:28,7:28,7:36,7:36,7:36,7:48,7:48
12,VADALA ROAD,0:44,4:30,4:30,4:46,4:46,5:25,5:25,5:42,5:42,5:42,5:54,5:54,5:54,5:54,5:54,6:10,6:10,6:10,6:10,6:10,6:10,6:22,6:22,6:22,6:22,6:22,6:22,6:36,6:36,6:36,6:36,6:36,6:51,6:51,6:51,6:51,6:51,6:51,6:59,6:59,6:59,6:59,6:59,6:59,6:58,6:58,6:58,6:58,6:58,6:58,6:58,7:12,7:12,7:12,7:12,7:12,7:12,7:26,7:26,7:26,7:26,7:26,7:26,7:34,7:34,7:34,7:34,7:34,7:42,7:42,7:42,7:54,7:54
13,SEWERI,0:47,4:33,4:33,4:49,4:49,5:28,5:28,5:45,5:45,5:45,5:57,5:57,5:57,5:57,5:57,6:13,6:13,6:13,6:13,6:13,6:13,6:25,6:25,6:25,6:25,6:25,6:25,6:39,6:39,6:39,6:39,6:39,6:54,6:54,6:54,6:54,6:54,6:54,7:02,7:02,7:02,7:02,7:02,7:02,PF 2,PF 2,PF 2,PF 2,PF 2,PF 2,PF 2,7:15,7:15,7:15,7:15,7:15,7:15,7:29,7:29,7:29,7:29,7:29,7:29,7:37,7:37,7:37,7:37,7:37,7:45,7:45,7:45,7:57,7:57
14,COTTON GREEN,0:50,4:36,4:36,4:52,4:52,5:31,5:31,5:48,5:48,5:48,6:00,6:00,6:00,6:00,6:00,6:16,6:16,6:16,6:16,6:16,6:16,6:28,6:28,6:28,6:28,6:28,6:28,6:42,6:42,6:42,6:42,6:42,6:57,6:57,6:57,6:57,6:57,6:57,7:05,7:05,7:05,7:05,7:05,7:05,,,,,,,,7:18,7:18,7:18,7:18,7:18,7:18,7:32,7:32,7:32,7:32,7:32,7:32,7:40,7:40,7:40,7:40,7:40,7:48,7:48,7:48,8:00,8:00
15,REAY ROAD,0:52,4:38,4:38,4:54,4:54,5:33,5:33,5:50,5:50,5:50,6:02,6:02,6:02,6:02,6:02,6:18,6:18,6:18,6:18,6:18,6:18,6:30,6:30,6:30,6:30,6:30,6:30,6:44,6:44,6:44,6:44,6:44,6:59,6:59,6:59,6:59,6:59,6:59,7:07,7:07,7:07,7:07,7:07,7:07,VDLR,VDLR,VDLR,VDLR,VDLR,VDLR,VDLR,7:20,7:20,7:20,7:20,7:20,7:20,7:34,7:34,7:34,7:34,7:34,7:34,7:42,7:42,7:42,7:42,7:42,7:50,7:50,7:50,8:02,8:02
16,DOCK YARD ROAD,0:55,4:41,4:41,4:57,4:57,5:36,5:36,5:53,5:53,5:53,6:05,6:05,6:05,6:05,6:05,6:21,6:21,6:21,6:21,6:21,6:21,6:33,6:33,6:33,6:33,6:33,6:33,6:47,6:47,6:47,6:47,6:47,7:02,7:02,7:02,7:02,7:02,7:02,7:10,7:10,7:10,7:10,7:10,7:10,DEP,DEP,DEP,DEP,DEP,DEP,DEP,7:23,7:23,7:23,7:23,7:23,7:23,7:37,7:37,7:37,7:37,7:37,7:37,7:45,7:45,7:45,7:45,7:45,7:53,7:53,7:53,8:05,8:05
17,SANDHURST ROAD,0:57,4:43,4:43,4:59,4:59,5:38,5:38,5:55,5:55,5:55,6:07,6:07,6:07,6:07,6:07,6:23,6:23,6:23,6:23,6:23,6:23,6:35,6:35,6:35,6:35,6:35,6:35,6:49,6:49,6:49,6:49,6:49,7:04,7:04,7:04,7:04,7:04,7:04,7:12,7:12,7:12,7:12,7:12,7:12,7:02,7:02,7:02,7:02,7:02,7:02,7:02,7:25,7:25,7:25,7:25,7:25,7:25,7:39,7:39,7:39,7:39,7:39,7:39,7:47,7:47,7:47,7:47,7:47,7:55,7:55,7:55,8:07,8:07
18,MASJID,0:59,4:45,4:45,5:01,5:01,5:40,5:40,5:57,5:57,5:57,6:09,6:09,6:09,6:09,6:09,6:25,6:25,6:25,6:25,6:25,6:25,6:37,6:37,6:37,6:37,6:37,6:37,6:51,6:51,6:51,6:51,6:51,7:06,7:06,7:06,7:06,7:06,7:06,7:14,7:14,7:14,7:14,7:14,7:14,GMN,GMN,GMN,GMN,GMN,GMN,GMN,7:27,7:27,7:27,7:27,7:27,7:27,7:41,7:41,7:41,7:41,7:41,7:41,7:49,7:49,7:49,7:49,7:49,7:57,7:57,7:57,8:09,8:09
19,MUMBAI CSMT,1:02,4:48,4:48,5:04,5:04,5:43,5:43,6:00,6:00,6:00,6:12,6:12,6:12,6:12,6:12,6:28,6:28,6:28,6:28,6:28,6:28,6:40,6:40,6:40,6:40,6:40,6:40,6:54,6:54,6:54,6:54,6:54,7:09,7:09,7:09,7:09,7:09,7:09,7:17,7:17,7:17,7:17,7:17,7:17,7:39,7:39,7:39,7:39,7:39,7:39,7:39,7:30,7:30,7:30,7:30,7:30,7:30,7:44,7:44,7:44,7:44,7:44,7:44,7:52,7:52,7:52,7:52,7:52,8:00,8:00,8:00,8:12,8:12
20,Train No.,98903 PLGN 3,98903 PLGN 3,98902 GNPL 2,98902 GNPL 2,98816 B 16,98816 B 16,98720 GN 20,98720 GN 20,98905 PLGN 5,98905 PLGN 5,98905 PLGN 5,98905 PLGN 5,98905 PLGN 5,98818 B 18,98818 B 18,98818 B 18,98818 B 18,98818 B 18,98818 B 18,98722 GN 22,98722 GN 22,98722 GN 22,98722 GN 22,98722 GN 22,98722 GN 22,98820 B 20,98820 B 20,98820 B 20,98820 B 20,98820 B 20,98820 B 20,98904 GNPL 4,98904 GNPL 4,98904 GNPL 4,98904 GNPL 4,98904 GNPL 4,98904 GNPL 4,98822 B 22,98822 B 22,98822 B 22,98822 B 22,98822 B 22,98822 B 22,98724 GN 24,98724 GN 24,98724 GN 24,98724 GN 24,98724 GN 24,98724 GN 24,98824 B 24,98824 B 24,98824 B 24,98824 B 24,98824 B 24,98726 GN 26,98726 GN 26,98726 GN 26,98726 GN 26,98726 GN 26,98726 GN 26,98826 B 26,98826 B 26,98826 B 26,98826 B 26,98826 B 26,98826 B 26,98906 GNPL 6,98906 GNPL 6,98906 GNPL 6,98906 GNPL 6,98728 GN 28,98728 GN 28,98728 GN 28
21,Stations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,GOREGAON,,,7:30,7:30,,,7:47,7:47,,,,,,,,,,,,8:17,8:17,8:17,8:17,8:17,8:17,,,,,,,8:39,8:39,8:39,8:39,8:39,8:39,,,,,,,8:51,8:51,8:51,8:51,8:51,8:51,,,,,,9:13,9:13,9:13,9:13,9:13,9:13,,,,,,,9:30,9:30,9:30,9:30,9:46,9:46,9:46
23,RAM MANDIR,,,7:34,7:34,,,7:51,7:51,,,,,,,,,,,,8:21,8:21,8:21,8:21,8:21,8:21,,,,,,,8:43,8:43,8:43,8:43,8:43,8:43,,,,,,,8:55,8:55,8:55,8:55,8:55,8:55,,,,,,9:17,9:17,9:17,9:17,9:17,9:17,,,,,,,9:34,9:34,9:34,9:34,9:50,9:50,9:50
24,JOGESWARI,,,7:37,7:37,,,7:54,7:54,,,,,,,,,,,,8:24,8:24,8:24,8:24,8:24,8:24,,,,,,,8:46,8:46,8:46,8:46,8:46,8:46,,,,,,,8:58,8:58,8:58,8:58,8:58,8:58,,,,,,9:20,9:20,9:20,9:20,9:20,9:20,,,,,,,9:37,9:37,9:37,9:37,9:53,9:53,9:53
25,ANDHERI,,,7:41,7:41,,,7:58,7:58,,,,,,,,,,,,8:28,8:28,8:28,8:28,8:28,8:28,,,,,,,8:50,8:50,8:50,8:50,8:50,8:50,,,,,,,9:02,9:02,9:02,9:02,9:02,9:02,,,,,,9:24,9:24,9:24,9:24,9:24,9:24,,,,,,,9:41,9:41,9:41,9:41,9:57,9:57,9:57
26,VILEPARLE,,,7:45,7:45,,,8:02,8:02,,,,,,,,,,,,8:32,8:32,8:32,8:32,8:32,8:32,,,,,,,8:54,8:54,8:54,8:54,8:54,8:54,,,,,,,9:07,9:07,9:07,9:07,9:07,9:07,,,,,,9:28,9:28,9:28,9:28,9:28,9:28,,,,,,,9:45,9:45,9:45,9:45,10:01,10:01,10:01
27,SANTACURTZ,,,7:48,7:48,,,8:05,8:05,,,,,,,,,,,,8:35,8:35,8:35,8:35,8:35,8:35,,,,,,,8:57,8:57,8:57,8:57,8:57,8:57,,,,,,,9:10,9:10,9:10,9:10,9:10,9:10,,,,,,9:31,9:31,9:31,9:31,9:31,9:31,,,,,,,9:48,9:48,9:48,9:48,10:04,10:04,10:04
28,KHAR,,,7:51,7:51,,,8:08,8:08,,,,,,,,,,,,8:38,8:38,8:38,8:38,8:38,8:38,,,,,,,9:00,9:00,9:00,9:00,9:00,9:00,,,,,,,9:13,9:13,9:13,9:13,9:13,9:13,,,,,,9:34,9:34,9:34,9:34,9:34,9:34,,,,,,,9:51,9:51,9:51,9:51,10:07,10:07,10:07
29,BANDRA,,,7:54,7:54,7:58,7:58,8:12,8:12,,,,,,8:28,8:28,8:28,8:28,8:28,8:28,8:43,8:43,8:43,8:43,8:43,8:43,8:53,8:53,8:53,8:53,8:53,8:53,9:05,9:05,9:05,9:05,9:05,9:05,9:08,9:08,9:08,9:08,9:08,9:08,9:17,9:17,9:17,9:17,9:17,9:17,9:27,9:27,9:27,9:27,9:27,9:38,9:38,9:38,9:38,9:38,9:38,9:51,9:51,9:51,9:51,9:51,9:51,9:57,9:57,9:57,9:57,10:11,10:11,10:11
30,MAHIM JN.,,,7:57,7:57,8:02,8:02,8:15,8:15,,,,,,8:31,8:31,8:31,8:31,8:31,8:31,8:47,8:47,8:47,8:47,8:47,8:47,8:57,8:57,8:57,8:57,8:57,8:57,9:08,9:08,9:08,9:08,9:08,9:08,9:12,9:12,9:12,9:12,9:12,9:12,9:21,9:21,9:21,9:21,9:21,9:21,9:31,9:31,9:31,9:31,9:31,9:42,9:42,9:42,9:42,9:42,9:42,9:55,9:55,9:55,9:55,9:55,9:55,10:01,10:01,10:01,10:01,10:14,10:14,10:14
31,KING'S CIRCLE,,,8:00,8:00,8:05,8:05,8:18,8:18,,,,,,8:34,8:34,8:34,8:34,8:34,8:34,8:50,8:50,8:50,8:50,8:50,8:50,9:01,9:01,9:01,9:01,9:01,9:01,9:11,9:11,9:11,9:11,9:11,9:11,9:16,9:16,9:16,9:16,9:16,9:16,9:24,9:24,9:24,9:24,9:24,9:24,9:34,9:34,9:34,9:34,9:34,9:45,9:45,9:45,9:45,9:45,9:45,9:58,9:58,9:58,9:58,9:58,9:58,10:04,10:04,10:04,10:04,10:17,10:17,10:17
32,VADALA ROAD,7:54,7:54,8:06,8:06,8:11,8:11,8:24,8:24,8:40,8:40,8:40,8:40,8:40,8:40,8:40,8:40,8:40,8:40,8:40,8:56,8:56,8:56,8:56,8:56,8:56,9:07,9:07,9:07,9:07,9:07,9:07,9:17,9:17,9:17,9:17,9:17,9:17,9:24,9:24,9:24,9:24,9:24,9:24,9:30,9:30,9:30,9:30,9:30,9:30,9:41,9:41,9:41,9:41,9:41,9:52,9:52,9:52,9:52,9:52,9:52,10:04,10:04,10:04,10:04,10:04,10:04,10:10,10:10,10:10,10:10,10:23,10:23,10:23
33,SEWERI,PF 2,PF 2,PF 3,PF 3,8:14,8:14,8:27,8:27,PF 2,PF 2,PF 2,PF 2,PF 2,8:43,8:43,8:43,8:43,8:43,8:43,8:59,8:59,8:59,8:59,8:59,8:59,9:10,9:10,9:10,9:10,9:10,9:10,PF 3,PF 3,PF 3,PF 3,PF 3,PF 3,9:27,9:27,9:27,9:27,9:27,9:27,9:33,9:33,9:33,9:33,9:33,9:33,9:44,9:44,9:44,9:44,9:44,9:55,9:55,9:55,9:55,9:55,9:55,10:07,10:07,10:07,10:07,10:07,10:07,PF 3,PF 3,PF 3,PF 3,10:26,10:26,10:26
34,COTTON GREEN,,,,,8:17,8:17,8:30,8:30,,,,,,8:46,8:46,8:46,8:46,8:46,8:46,9:02,9:02,9:02,9:02,9:02,9:02,9:13,9:13,9:13,9:13,9:13,9:13,,,,,,,9:30,9:30,9:30,9:30,9:30,9:30,9:36,9:36,9:36,9:36,9:36,9:36,9:47,9:47,9:47,9:47,9:47,9:58,9:58,9:58,9:58,9:58,9:58,10:10,10:10,10:10,10:10,10:10,10:10,,,,,10:29,10:29,10:29
35,REAY ROAD,VDLR,VDLR,VDLR,VDLR,8:19,8:19,8:32,8:32,VDLR,VDLR,VDLR,VDLR,VDLR,8:48,8:48,8:48,8:48,8:48,8:48,9:04,9:04,9:04,9:04,9:04,9:04,9:15,9:15,9:15,9:15,9:15,9:15,VDLR,VDLR,VDLR,VDLR,VDLR,VDLR,9:32,9:32,9:32,9:32,9:32,9:32,9:38,9:38,9:38,9:38,9:38,9:38,9:49,9:49,9:49,9:49,9:49,10:00,10:00,10:00,10:00,10:00,10:00,10:12,10:12,10:12,10:12,10:12,10:12,VDLR,VDLR,VDLR,VDLR,10:31,10:31,10:31
36,DOCK YARD ROAD,DEP,DEP,DEP,DEP,8:22,8:22,8:35,8:35,DEP,DEP,DEP,DEP,DEP,8:51,8:51,8:51,8:51,8:51,8:51,9:07,9:07,9:07,9:07,9:07,9:07,9:18,9:18,9:18,9:18,9:18,9:18,DEP,DEP,DEP,DEP,DEP,DEP,9:35,9:35,9:35,9:35,9:35,9:35,9:41,9:41,9:41,9:41,9:41,9:41,9:52,9:52,9:52,9:52,9:52,10:03,10:03,10:03,10:03,10:03,10:03,10:15,10:15,10:15,10:15,10:15,10:15,DEP,DEP,DEP,DEP,10:34,10:34,10:34
37,SANDHURST ROAD,8:02,8:02,8:10,8:10,8:24,8:24,8:37,8:37,8:45,8:45,8:45,8:45,8:45,8:53,8:53,8:53,8:53,8:53,8:53,9:09,9:09,9:09,9:09,9:09,9:09,9:20,9:20,9:20,9:20,9:20,9:20,9:20,9:20,9:20,9:20,9:20,9:20,9:37,9:37,9:37,9:37,9:37,9:37,9:43,9:43,9:43,9:43,9:43,9:43,9:54,9:54,9:54,9:54,9:54,10:05,10:05,10:05,10:05,10:05,10:05,10:17,10:17,10:17,10:17,10:17,10:17,10:14,10:14,10:14,10:14,10:36,10:36,10:36
38,MASJID,GMN,GMN,PNVL,PNVL,8:26,8:26,8:39,8:39,GMN,GMN,GMN,GMN,GMN,8:55,8:55,8:55,8:55,8:55,8:55,9:11,9:11,9:11,9:11,9:11,9:11,9:22,9:22,9:22,9:22,9:22,9:22,PNVL,PNVL,PNVL,PNVL,PNVL,PNVL,9:39,9:39,9:39,9:39,9:39,9:39,9:45,9:45,9:45,9:45,9:45,9:45,9:56,9:56,9:56,9:56,9:56,10:07,10:07,10:07,10:07,10:07,10:07,10:19,10:19,10:19,10:19,10:19,10:19,PNVL,PNVL,PNVL,PNVL,10:38,10:38,10:38
39,MUMBAI CSMT,8:43,8:43,9:12,9:12,8:29,8:29,8:42,8:42,9:22,9:22,9:22,9:22,9:22,8:58,8:58,8:58,8:58,8:58,8:58,9:14,9:14,9:14,9:14,9:14,9:14,9:26,9:26,9:26,9:26,9:26,9:26,10:22,10:22,10:22,10:22,10:22,10:22,9:42,9:42,9:42,9:42,9:42,9:42,9:48,9:48,9:48,9:48,9:48,9:48,9:59,9:59,9:59,9:59,9:59,10:10,10:10,10:10,10:10,10:10,10:10,10:22,10:22,10:22,10:22,10:22,10:22,11:16,11:16,11:16,11:16,10:41,10:41,10:41
40,Train No.,98828 B 28,98730 GN 30,98730 GN 30,98830 B 30,98830 B 30,98732 GN 32,98732 GN 32,98832 B 32,98832 B 32,98832 B 32,98907 PLGN 7,98907 PLGN 7,98907 PLGN 7,98907 PLGN 7,98907 PLGN 7,98907 PLGN 7,98907 PLGN 7,98734 GN 34,98734 GN 34,98734 GN 34,98734 GN 34,98734 GN 34,98734 GN 34,98834 B 34,98834 B 34,98834 B 34,98834 B 34,98834 B 34,98834 B 34,98736 GN 36,98736 GN 36,98736 GN 36,98736 GN 36,98736 GN 36,91392 WGN 2,91392 WGN 2,91392 WGN 2,91392 WGN 2,91392 WGN 2,91392 WGN 2,98836 B 36,98836 B 36,98836 B 36,98836 B 36,98836 B 36,98836 B 36,98738 GN 38,98738 GN 38,98738 GN 38,98738 GN 38,98738 GN 38,98738 GN 38,98838 B 38,98838 B 38,98838 B 38,98838 B 38,98838 B 38,98838 B 38,98908 GNPL 8,98908 GNPL 8,98908 GNPL 8,98908 GNPL 8,98908 GNPL 8,98908 GNPL 8,98908 GNPL 8,98740 GN 40,98740 GN 40,98740 GN 40,98740 GN 40,98840 B 40,98840 B 40,98840 B 40,98840 B 40
41,Stations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,*,*,*,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,GOREGAON,,10:06,10:06,,,10:35,10:35,,,,,,,,,,,11:00,11:00,11:00,11:00,11:00,11:00,,,,,,,11:23,11:23,11:23,11:23,11:23,11:34,11:34,11:34,11:34,11:34,11:34,,,,,,,11:54,11:54,11:54,11:54,11:54,11:54,,,,,,,12:14,12:14,12:14,12:14,12:14,12:14,12:14,12:27,12:27,12:27,12:27,,,,
