,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).1,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).2,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).3,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).4,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).5,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).6,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).7,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).8
76,Stations,98017 PL 15,98707 GN 7,98019 PL 17,98805 B 5,98021 PLVD 3 X,98023 PL 19,98709 GN 9,99005 TPL 5
77,,,,,,,,,
78,Mumbai CSMT,05:22,05:26,05:30,05:33,,05:43,05:50,TNA
79,Masjid,05:25,05:29,05:33,05:36,,05:46,05:53,06:20
80,Sandhurst Road,05:28,05:32,05:36,05:39,,05:49,05:56,
81,Dockyard Road,05:30,05:34,05:38,05:41,,05:51,05:58,
82,Reay Road,05:32,05:36,05:40,05:43,,05:53,06:00,
83,Cotton Green,05:34,05:38,05:42,05:45,,05:55,06:02,
84,Sewri,05:37,05:41,05:45,05:48,,05:58,06:05,
85,Vadala Road,05:40,05:44,05:48,05:51,05:52,06:01,06:08,
86,King's Circle,,05:48,,05:55,,,06:12,
87,Mahim Jn,,05:51,,05:58,,,06:15,
88,Bandra,,05:55,,06:02,,,06:19,
89,Khar Road,,05:59,,,,,06:23,
90,Santacruz,,06:02,,,,,06:26,
91,Vileparle,,06:05,,,,,06:29,
92,Andheri,,06:09,,,,,06:33,
93,Jogeshwari,,06:13,,,,,06:37,
94,Ramnagar,,06:16,,,,,06:40,
95,Goregaon,,06:20,,,,,06:44,
96,GTB Nagar,05:45,,05:53,,05:57,06:06,,
97,Chunabhatti,05:48,,05:56,,06:00,06:09,,
98,Kurla,05:51,,05:59,,06:03,06:12,,
99,Tilaknagar,05:54,,06:02,,06:06,06:15,,
100,Chembur,05:56,,06:04,,06:08,06:17,,
101,Govandi,05:59,,06:07,,06:11,06:20,,
102,Mankhurd,06:02,,06:10,,06:14,06:23,,
103,Vashi,06:11,,06:19,,06:23,06:32,,
104,Sanpada,06:13,,06:21,,06:25,06:34,,
105,Juinagar,06:16,,06:24,,06:28,06:37,,
106,Nerul,06:20,,06:28,,06:32,06:41,,06:49
107,Seawood Darave,06:23,,06:31,,06:35,06:44,,06:53
108,Belapur CBD,06:27,,06:35,,06:39,06:48,,06:57
109,Kharghar,06:31,,06:39,,06:43,06:52,,07:01
110,Mansarovar,06:34,,06:42,,06:46,06:55,,07:04
111,Khandeshwar,06:37,,06:45,,06:49,06:58,,07:07
112,Panvel,06:42,,06:50,,06:54,07:03,,07:12
113,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL)
114,Stations,98025 PL 21 X,98027 PL 23,98807 B 7,98029 PL 25,98711 GN 11,98031 PL 27,98033 PL 29,98713 GN 13
115,,,,,,,,,
116,Mumbai CSMT,05:56,06:00,06:04,06:08,06:11,06:16,06:24,06:28
117,Masjid,05:59,06:03,06:07,06:11,06:14,06:19,06:27,06:31
118,Sandhurst Road,06:02,06:06,06:10,06:14,06:17,06:22,06:30,06:34
119,Dockyard Road,06:04,06:08,06:12,06:16,06:19,06:24,06:32,06:36
120,Reay Road,06:06,06:10,06:14,06:18,06:21,06:26,06:34,06:38
121,Cotton Green,06:08,06:12,06:16,06:20,06:23,06:28,06:36,06:40
122,Sewri,06:11,06:15,06:19,06:23,06:26,06:31,06:39,06:43
123,Vadala Road,06:14,06:18,06:22,06:26,06:29,06:34,06:42,06:46
124,King's Circle,,,06:26,,06:33,,,06:50
125,Mahim Jn,,,06:29,,06:36,,,06:53
126,Bandra,,,06:34,,06:40,,,06:57
127,Khar Road,,,,,06:44,,,07:01
128,Santacruz,,,,,06:47,,,07:04
129,Vileparle,,,,,06:50,,,07:07
130,Andheri,,,,,06:54,,,07:11
131,Jogeshwari,,,,,06:58,,,07:15
132,Ramnagar,,,,,07:01,,,07:18
133,Goregaon,,,,,07:05,,,07:22
134,GTB Nagar,06:19,06:23,,06:31,,06:39,06:47,
135,Chunabhatti,06:22,06:26,,06:34,,06:42,06:50,
136,Kurla,06:25,06:29,,06:37,,06:45,06:53,
137,Tilaknagar,06:28,06:32,,06:40,,06:48,06:56,
138,Chembur,06:30,06:34,,06:42,,06:50,06:58,
139,Govandi,06:33,06:37,,06:45,,06:53,07:01,
140,Mankhurd,06:36,06:40,,06:48,,06:56,07:04,
141,Vashi,06:45,06:49,,06:57,,07:05,07:13,
142,Sanpada,06:47,06:51,,06:59,,07:07,07:15,
143,Juinagar,06:50,06:54,,07:02,,07:10,07:18,
144,Nerul,06:54,06:58,,07:06,,07:15,07:22,
145,Seawood Darave,06:57,07:01,,07:09,,07:18,07:25,
146,Belapur CBD,07:01,07:05,,07:13,,07:22,07:29,
147,Kharghar,07:05,07:09,,07:17,,07:26,07:33,
148,Mansarovar,07:08,07:12,,07:20,,07:29,07:36,
149,Khandeshwar,07:11,07:15,,07:23,,07:32,07:39,
150,Panvel,07:16,07:20,,07:28,,07:37,07:44,
151,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL)
152,Stations,98035 PLVD 5 X,98305 BR 3,98809 B 9,99007 TPL 7,98037 PL 31,98901 PLGN 1,98307 BR 5,98811 B 11
153,,,,,,,,,
154,Mumbai CSMT,,06:32,06:36,TNA,06:40,,06:46,06:50
155,Masjid,,06:35,06:39,07:04,06:43,,06:49,06:53
156,Sandhurst Road,,06:38,06:42,,06:46,,06:52,06:56
157,Dockyard Road,,06:40,06:44,,06:48,,06:54,06:58
158,Reay Road,,06:42,06:46,,06:50,,06:56,07:00
159,Cotton Green,,06:44,06:48,,06:52,,06:58,07:02
160,Sewri,,06:47,06:51,,06:55,,07:01,07:05
161,Vadala Road,06:46,06:50,06:54,,06:58,07:02,07:05,07:09
162,King's Circle,,,06:58,,,07:07,,07:14
163,Mahim Jn,,,07:01,,,07:10,,07:17
164,Bandra,,,07:05,,,07:14,,07:21
165,Khar Road,,,,,,07:18,,
166,Santacruz,,,,,,07:21,,
167,Vileparle,,,,,,07:24,,
168,Andheri,,,,,,07:28,,
