,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).1,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).2,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).3,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).4,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).5,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).6,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).7,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).8
341,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL)
342,Stations,98605 CM 1,98721 GN 21,98507 V 5,99013 TPL 13,98065 PLVD 11,98821 B 21,98067 PL 55,98317 BR 13
343,,,,,,,,,
344,Mumbai CSMT,08:37,08:42,08:46,TNA,,08:50,08:54,08:58
345,Masjid,08:40,08:45,08:49,09:14,,08:53,08:57,09:01
346,Sandhurst Road,08:43,08:48,08:52,,,08:56,09:00,09:04
347,Dockyard Road,08:45,08:50,08:54,,,08:58,09:02,09:06
348,Reay Road,08:47,08:52,08:56,,,09:00,09:04,09:08
349,Cotton Green,08:49,08:54,08:58,,,09:02,09:06,09:10
350,Sewri,08:52,08:57,09:01,,,09:05,09:09,09:13
351,Vadala Road,08:55,09:00,09:04,,09:08,09:08,09:12,09:16
352,King's Circle,,09:04,,,,09:12,,
353,Mahim Jn,,09:08,,,,09:15,,
354,Bandra,,09:12,,,,09:19,,
355,Khar Road,,09:16,,,,,,
356,Santacruz,,09:19,,,,,,
357,Vileparle,,09:22,,,,,,
358,Andheri,,09:26,,,,,,
359,Jogeshwari,,09:30,,,,,,
360,Ramnagar,,09:33,,,,,,
361,Goregaon,,09:37,,,,,,
362,GTB Nagar,09:00,,09:09,,09:13,,09:17,09:21
363,Chunabhatti,09:03,,09:12,,09:16,,09:20,09:24
364,Kurla,09:06,,09:15,,09:19,,09:23,09:27
365,Tilaknagar,09:09,,09:18,,09:22,,09:26,09:30
366,Chembur,09:11,,09:20,,09:24,,09:28,09:32
367,Govandi,,,09:23,,09:27,,09:31,09:35
368,Mankhurd,,,09:26,,09:30,,09:34,09:38
369,Vashi,,,09:35,,09:39,,09:43,09:47
370,Sanpada,,,,,09:41,,09:45,09:49
371,Juinagar,,,,,09:44,,09:48,09:52
372,Nerul,,,,09:43,09:48,,09:52,09:56
373,Seawood Darave,,,,09:47,09:51,,09:55,09:59
374,Belapur CBD,,,,09:51,09:55,,09:59,10:03
375,Kharghar,,,,09:55,09:59,,10:03,
376,Mansarovar,,,,09:58,10:02,,10:06,
377,Khandeshwar,,,,10:01,10:05,,10:09,
378,Panvel,,,,10:06,10:10,,10:14,
