,STATIONS UP TRAINS,Virar 92012 15 CAR,Borivali 94104 12 CAR,Borivali 94106 12 CAR,Borivali 94106 12 CAR.1,Virar 94108 12 CAR,Virar 94108 12 CAR.1,Andheri 94110 12 CAR,Goregoan 94112 12 CAR,Goregoan 94112 12 CAR.1,Virar 92014 15 CAR,Virar 92014 15 CAR.1,Borivali 94114 12 CAR,Borivali 94114 12 CAR.1,Virar 90098 12 CAR,Virar 90098 12 CAR.1,Borivali 90100 12 CAR,Borivali 90100 12 CAR.1,Borivali 90100 12 CAR.2,Vasai Road 90102 12 CAR,Vasai Road 90102 12 CAR.1,Vasai Road 90102 12 CAR.2,Dahanu Road 93002 12 CAR,Dahanu Road 93002 12 CAR.1,Dahanu Road 93002 12 CAR.2,Borivali 90104 12 CAR,Borivali 90104 12 CAR.1,Borivali 90104 12 CAR.2,Virar 94006 12 CAR,Virar 94006 12 CAR.1,Virar 94006 12 CAR.2
11,Ram Mandir,,06:17,06:20,06:20,06:23,06:23,,06:26,06:26,,,06:28,06:28,,,06:33,06:33,06:33,,,,,,,--,--,--,,,
12,Jogeshwari,,06:20,06:23,06:23,06:26,06:26,,06:29,06:29,,,06:31,06:31,,,06:36,06:36,06:36,,,,,,,06:39,06:39,06:39,,,
13,ANDHERI,06:19,06:26,06:29,06:29,06:32,06:32,06:33,06:33,06:33,,,06:36,06:36,06:30,06:30,06:41,06:41,06:41,06:34,06:34,06:34,06:26,06:26,06:26,06:44,06:44,06:44,06:38,06:38,06:38
14,Vile Parle,,06:29,06:32,06:32,,,06:36,06:37,06:37,NOT ON,NOT ON,06:39,06:39,,,06:44,06:44,06:44,,,,,,,,,,Air,Air,Air
15,Santa Cruz,,06:32,06:35,06:35,,,06:39,06:40,06:40,SUN,SUN,06:42,06:42,,,06:47,06:47,06:47,,,,,,,,,,Condition,Condition,Condition
16,Khar Road,,06:35,06:38,06:38,,,06:42,06:43,06:43,ONLY,ONLY,06:45,06:45,,,06:50,06:50,06:50,,,,,,,,,,,,
17,BANDRA,06:28,06:40,06:43,06:43,,,06:46,06:49,06:49,,,06:52,06:52,06:38,06:38,06:56,06:56,06:56,06:43,06:43,06:43,06:35,06:35,06:35,06:53,06:53,06:53,06:47,06:47,06:47
18,Mahim Jn.,,06:43,06:46,06:46,,,06:49,06:52,06:52,,,06:55,06:55,,,06:59,06:59,06:59,,,,,,,,,,,,
19,Matunga Road,,06:46,06:49,06:49,,,06:52,06:55,06:55,,,06:58,06:58,,,07:02,07:02,07:02,,,,,,,,,,,,
20,DADAR,06:34,06:50,06:53,06:53,,,06:56,06:59,06:59,,,07:02,07:02,06:44,06:44,07:06,07:06,07:06,06:49,06:49,06:49,06:41,06:41,06:41,06:59,06:59,06:59,06:53,06:53,06:53
21,Prabhadevi,,06:52,06:55,06:55,,,06:58,07:01,07:01,,,07:04,07:04,,,07:08,07:08,07:08,,,,,,,,,,,,
22,Lower Parel,,06:55,06:58,06:58,,,07:01,07:04,07:04,,,07:07,07:07,,,07:11,07:11,07:11,,,,,,,,,,,,
23,Mahalakshmi,,06:58,07:01,07:01,,,07:04,07:07,07:07,,,07:10,07:10,,,07:14,07:14,07:14,,,,,,,,,,,,
24,M'BAI CENTRAL(L,06:42,07:01,07:04,07:04,NOT ON,NOT ON,07:07,07:10,07:10,,,07:13,07:13,06:51,06:51,07:17,07:17,07:17,06:56,06:56,06:56,06:48,06:48,06:48,07:06,07:06,07:06,07:00,07:00,07:00
25,Grant Road,,07:03,07:06,07:06,SUN,SUN,07:09,07:12,07:12,,,07:15,07:15,06:53,06:53,07:19,07:19,07:19,06:58,06:58,06:58,06:50,06:50,06:50,07:08,07:08,07:08,07:02,07:02,07:02
26,Charni Road,,07:05,07:08,07:08,ONLY,ONLY,07:11,07:14,07:14,,,07:17,07:17,06:55,06:55,07:21,07:21,07:21,07:00,07:00,07:00,06:52,06:52,06:52,07:10,07:10,07:10,07:05,07:05,07:05
27,Marine Lines,,07:08,07:11,07:11,,,07:14,07:17,07:17,,,07:20,07:20,06:58,06:58,07:24,07:24,07:24,07:03,07:03,07:03,06:55,06:55,06:55,07:13,07:13,07:13,07:08,07:08,07:08
28,CHURCHGATE,06:52,07:11,07:14,07:14,,,07:18,07:22,07:22,,,07:24,07:24,07:05,07:05,07:30,07:30,07:30,07:08,07:08,07:08,07:02,07:02,07:02,07:17,07:17,07:17,07:12,07:12,07:12
29,STATIONS UP TRAINS,BYR 90108 12 CAR,BVI 90110 12 CAR,BVI 90112 12 CAR,BVI 90112 12 CAR,BVI 90112 12 CAR,VR 92016 15 CAR,BVI 94008 12 CAR,BVI 94008 12 CAR,BVI 90116 12 CAR,VR 90118 12 CAR,VR 90118 12 CAR,VR 92018 15 CAR,VR 92018 15 CAR,VR 90120 12 CAR,VR 90120 12 CAR,VR 90122 12 CAR,VR 90122 12 CAR,BVI 90124 12 CAR,BVI 90124 12 CAR,BVI 90124 12 CAR,BVI 90126 12 CAR,BVI 90126 12 CAR,BVI 90126 12 CAR,BVI 90128 12 CAR,BVI 90128 12 CAR,BVI 90128 12 CAR,VR 90130 12 CAR,VR 90130 12 CAR,VR 90130 12 CAR,
30,VIRAR,,,,,,05:53,,,,05:57,05:57,06:00,06:00,06:03,06:03,06:11,06:11,,,,,,,,,,06:17,06:17,06:17,
31,Nalla Sopara,,,,,,06:00,,,,06:03,06:03,06:07,06:07,06:09,06:09,06:17,06:17,,,,,,,,,,06:23,06:23,06:23,
