STATIONS DN TRAINS,GMN 90801 12 CAR,VR 92171 15 CAR,DRD 93033 12 CAR,BVI 90803 12 CAR,BYR 94065 12 CAR,VR 92173 15 CAR,VR 90807 12 CAR,VR 90807 12 CAR.1,BVI 90809 12 CAR,BVI 90809 12 CAR.1,BYR 90811 12 CAR,BYR 90811 12 CAR.1,BYR 90811 12 CAR.2,BVI 90813 12 CAR,BVI 90813 12 CAR.1,BVI 90815 12 CAR,BVI 90815 12 CAR.1,BA 90817 12 CAR,BA 90817 12 CAR.1,VR 90819 12 CAR,VR 90819 12 CAR.1,VR 92175 15 CAR,VR 92175 15 CAR.1
Mahim Jn.,19:57,20:00,,20:03,,,,,,20:11,20:11,20:14,,,,,20:17,20:17,,,,,
BANDRA,20:01,20:04,19:56,20:07,20:03,20:06,20:06,20:09,20:09,20:15,20:15,20:18,20:11,20:11,,,20:21,20:21,,,,,
Khar Road,20:04,20:07,,20:10,,,,20:14,20:14,20:18,20:18,20:21,,,,,20:25,20:25,,,,,
Santa Cruz,20:06,20:09,,20:13,,,,20:16,20:16,20:20,20:20,20:23,,,,,20:27,20:27,,,,,
Vile Parle,20:09,20:12,,20:16,,,,20:19,20:19,20:23,20:23,20:26,,,,,20:30,20:30,,,,,
ANDHERI,20:14,20:17,20:04,20:20,20:12,20:15,20:15,20:25,20:25,20:29,20:29,20:31,20:20,20:20,20:32,20:32,20:36,20:36,20:23,20:23,,,
Jogeshwari,20:18,20:20,20:07,20:24,,,,20:29,20:29,20:33,20:33,20:35,,,20:36,20:36,20:40,20:40,,,,,
Ram Mandir,20:21,20:23,--,20:27,,,,20:32,20:32,20:36,20:36,20:38,,,20:39,20:39,20:43,20:43,,,,,
Goregaon,20:24,20:25,20:11,20:33,Ladies spl,,,20:34,20:34,20:38,20:38,20:41,,,20:41,20:41,20:45,20:45,,,,,
Malad,,20:30,20:15,,On Sun,,,20:38,20:38,20:42,20:42,,,,20:45,20:45,20:49,20:49,,,,,
Kandivli,,20:33,20:18,,General,,,20:41,20:41,20:45,20:45,,,,20:48,20:48,20:52,20:52,,,,,
BORIVALI,,20:40,20:24,,20:27,20:32,20:32,20:47,20:47,20:52,20:52,,20:35,20:35,20:55,20:55,20:59,20:59,20:39,20:39,20:40,20:40,
Dahisar,,,,,20:33,20:36,20:36,20:51,20:51,,,,20:39,20:39,20:59,20:59,NOT ON,NOT ON,20:42,20:42,20:46,20:46,
Mira Road,,,,,20:38,20:41,20:41,20:56,20:56,,,,20:44,20:44,21:04,21:04,SUN,SUN,20:47,20:47,20:51,20:51,
Bhayandar,,,,,20:43,20:46,20:46,21:01,21:01,,,,20:49,20:49,21:09,21:09,ONLY,ONLY,20:52,20:52,20:56,20:56,
Naigaon,,,,,20:49,20:52,20:52,21:07,21:07,,,,20:55,20:55,21:15,21:15,,,20:58,20:58,21:02,21:02,
Vasai Road,,,,,20:54,20:57,20:57,21:12,21:12,,,,21:00,21:00,21:20,21:20,,,21:03,21:03,21:07,21:07,
Nalla Sopara,,,,,20:59,21:02,21:02,21:17,21:17,,,,21:07,21:07,21:25,21:25,,,,,21:12,21:12,
VIRAR,,,,,21:06,21:09,21:09,21:24,21:24,,,,21:14,21:14,21:32,21:32,,,,,21:18,21:18,
*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen
