,STATIONS UP TRAINS,ADH 90558 12 CAR,VR 90560 12 CAR,VR 90560 12 CAR.1,VR 90562 12 CAR,VR 90562 12 CAR.1,BVI 90564 12 CAR,BVI 90564 12 CAR.1,DRD 93020 12 CAR,DRD 93020 12 CAR.1,GMN 90566 12 CAR,GMN 90566 12 CAR.1,GMN 90566 12 CAR.2,BSR 90568 12 CAR,BSR 90568 12 CAR.1,BSR 90568 12 CAR.2,VR 92114 15 CAR,VR 92114 15 CAR.1,BVI 90570 12 CAR,BVI 90570 12 CAR.1,VR 90572 12 CAR,VR 90572 12 CAR.1,VR 90572A 12 CAR,VR 90572A 12 CAR.1,BVI 90574 12 CAR,BVI 90574 12 CAR.1,VR 92116 15 CAR,VR 92116 15 CAR.1,BVI 90576 12 CAR,BVI 90576 12 CAR.1,Unnamed: 30
57,Marine Lines,16:20,,,16:28,16:28,16:06,16:06,,,16:34,16:34,16:13,16:13,16:13,,,,16:37,16:37,16:26,16:26,16:42,16:42,,,16:48,16:48,16:31,16:31,
58,CHURCHGATE,16:24,16:05,16:05,16:32,16:32,16:11,16:11,,,16:37,16:37,16:16,16:16,16:16,,,,16:40,16:40,16:29,16:29,16:46,16:46,,,16:51,16:51,16:35,16:35,
59,STATIONS UP TRAINS,VR 90600 12 CAR,VR 90600 12 CAR,BVI 90602 12 CAR,BVI 90602 12 CAR,DRD 93022 12 CAR,DRD 93022 12 CAR,VR 92124 15 CAR,VR 92124 15 CAR,BVI 90606 12 CAR,BVI 90606 12 CAR,VR 90608 12 CAR,VR 90608 12 CAR,VR 90608 12 CAR,GMN 90610 12 CAR,GMN 90610 12 CAR,GMN 90610 12 CAR,BVI 90612 12 CAR,BVI 90612 12 CAR,VR 94048 12 CAR,VR 94048 12 CAR,VR 90614 12 CAR,VR 90614 12 CAR,BVI 90616 12 CAR,BVI 90616 12 CAR,GMN 90618 12 CAR,GMN 90618 12 CAR,BVI 90620 12 CAR,BVI 90620 12 CAR,VR 92126 15 CAR,VR 92126 15 CAR
60,VIRAR,15:12,15:12,,,15:21,15:21,15:16,15:16,,,15:20,15:20,15:20,NOT ON,NOT ON,NOT ON,,,15:27,15:27,15:30,15:30,,,,,,,15:36,15:36
61,Nalla Sopara,15:18,15:18,,,,,15:22,15:22,,,15:26,15:26,15:26,SUN,SUN,SUN,,,,,15:36,15:36,,,,,,,15:42,15:42
62,VASAI ROAD,15:23,15:23,,,15:32,15:32,15:27,15:27,,,15:32,15:32,15:32,ONLY,ONLY,ONLY,,,15:37,15:37,15:41,15:41,,,,,,,15:47,15:47
63,Naigaon,15:28,15:28,,,,,15:32,15:32,,,15:37,15:37,15:37,,,,,,,,15:46,15:46,,,,,,,15:52,15:52
64,BHAYANDAR,15:34,15:34,,,15:40,15:40,15:38,15:38,,,15:43,15:43,15:43,,,,,,15:46,15:46,15:52,15:52,,,,,,,15:58,15:58
65,Mira Road,15:39,15:39,,,,,15:43,15:43,,,15:48,15:48,15:48,,,,,,,,15:57,15:57,,,,,,,16:03,16:03
66,Dahisar,15:44,15:44,,,,,15:48,15:48,,,15:52,15:52,15:52,,,,,,,,16:01,16:01,,,,,,,16:07,16:07
67,BORIVALI,15:50,15:50,15:48,15:48,15:53,15:53,15:53,15:53,15:54,15:54,15:57,15:57,15:57,,,,15:58,15:58,15:57,15:57,16:06,16:06,16:01,16:01,,,16:03,16:03,16:12,16:12
68,Kandivali,,,15:54,15:54,,,15:57,15:57,16:00,16:00,,,,,,,16:04,16:04,,,,,16:07,16:07,,,16:10,16:10,,
69,Malad,,,15:57,15:57,,,16:00,16:00,16:03,16:03,,,,,,,16:07,16:07,Air,Air,,,16:10,16:10,,,16:13,16:13,,
