,STATIONS DN TRAINS,BVI 90753 12 CAR,VR 92161 12 CAR,BVI 90755 12 CAR,VR 94061 12 CAR,VR 94061 12 CAR.1,BVI 90759 12 CAR,BVI 90759 12 CAR.1,BVI 90761 12 CAR,BVI 90761 12 CAR.1,NSP 92163 15 CAR,NSP 92163 15 CAR.1,BVI 90763 12 CAR,BVI 90763 12 CAR.1,BVI 90765 12 CAR,BVI 90765 12 CAR.1,BA 90767 12 CAR,BA 90767 12 CAR.1,BYR 90769 12 CAR,BYR 90769 12 CAR.1,VR 92165 15 CAR,VR 92165 15 CAR.1,BYR 90771 12 CAR,BYR 90771 12 CAR.1,BVI 90773 12 CAR,BVI 90773 12 CAR.1,Unnamed: 26
32,Charni Road,18:52,,18:56,18:56,18:55,18:55,18:59,18:59,19:02,19:02,19:05,19:05,19:05,19:05,19:08,19:08,19:10,19:10,19:12,19:12,,,19:16,19:16,19:15,19:15
33,Grant Road,18:55,,18:59,18:59,18:58,18:58,19:02,19:02,19:05,19:05,19:08,19:08,19:08,19:08,19:11,19:11,19:13,19:13,19:15,19:15,,,19:19,19:19,19:18,19:18
34,M'BAI CENTRAL (L),18:57,,19:01,19:01,19:00,19:00,19:04,19:04,19:07,19:07,19:10,19:10,19:10,19:10,19:13,19:13,19:15,19:15,19:17,19:17,,,19:21,19:21,19:20,19:20
35,Mahalakshmi,19:00,,19:04,19:04,,,19:07,19:07,19:10,19:10,Air,Air,19:13,19:13,19:16,19:16,,,19:20,19:20,,,,,19:23,19:23
36,Lower Parel,19:03,,19:07,19:07,,,19:10,19:10,19:13,19:13,Condition,Condition,19:16,19:16,19:19,19:19,,,19:23,19:23,,,,,19:26,19:26
37,Prabhadevi,19:06,,19:10,19:10,,,19:13,19:13,19:16,19:16,,,19:19,19:19,19:22,19:22,,,19:26,19:26,,,,,19:29,19:29
38,DADAR,19:08,,19:12,19:12,19:07,19:07,19:15,19:15,19:18,19:18,19:18,19:18,19:21,19:21,19:24,19:24,19:22,19:22,19:28,19:28,19:23,19:23,19:28,19:28,19:31,19:31
39,Matunga Road,19:10,,19:14,19:14,,,19:17,19:17,19:20,19:20,,,19:23,19:23,19:26,19:26,,,19:30,19:30,,,,,19:33,19:33
40,Mahim Jn.,19:13,,19:17,19:17,,,19:20,19:20,19:23,19:23,,,19:26,19:26,19:29,19:29,,,19:33,19:33,,,,,19:36,19:36
41,BANDRA,19:18,,19:21,19:21,19:13,19:13,19:24,19:24,19:27,19:27,19:23,19:23,19:30,19:30,19:34,19:34,19:27,19:27,19:37,19:37,19:32,19:32,19:35,19:35,19:40,19:40
42,Khar Road,19:22,,19:25,19:25,,,19:28,19:28,19:31,19:31,,,19:34,19:34,,,,,19:40,19:40,,,,,19:43,19:43
43,Santa Cruz,19:26,,19:29,19:29,,,19:32,19:32,19:34,19:34,,,19:37,19:37,,,,,19:42,19:42,,,,,19:45,19:45
44,Vile Parle,19:29,,19:32,19:32,,,19:35,19:35,19:37,19:37,,,19:40,19:40,,,,,19:45,19:45,,,,,19:48,19:48
45,ANDHERI,19:34,19:20,19:37,19:37,19:23,19:23,19:42,19:42,19:43,19:43,19:31,19:31,19:46,19:46,,,19:36,19:36,19:51,19:51,19:40,19:40,19:43,19:43,19:55,19:55
