,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).1,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).2,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).3,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).4,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).5,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).6,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).7,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).8
0,Stations,98605 CM 1,98721 GN 21,98507 V 5,99013 TPL 13,98065 PLVD 11,98821 B 21,98067 PL 55,98317 BR 13
1,,,,,,,,,
2,Mumbai CSMT,08:37,08:42,08:46,TNA,,08:50,08:54,08:58
3,Masjid,08:40,08:45,08:49,09:14,,08:53,08:57,09:01
4,Sandhurst Road,08:43,08:48,08:52,,,08:56,09:00,09:04
5,Dockyard Road,08:45,08:50,08:54,,,08:58,09:02,09:06
6,Reay Road,08:47,08:52,08:56,,,09:00,09:04,09:08
7,Cotton Green,08:49,08:54,08:58,,,09:02,09:06,09:10
8,Sewri,08:52,08:57,09:01,,,09:05,09:09,09:13
9,Vadala Road,08:55,09:00,09:04,,09:08,09:08,09:12,09:16
10,King's Circle,,09:04,,,,09:12,,
11,Mahim Jn,,09:08,,,,09:15,,
12,Bandra,,09:12,,,,09:19,,
13,Khar Road,,09:16,,,,,,
14,Santacruz,,09:19,,,,,,
15,Vileparle,,09:22,,,,,,
16,Andheri,,09:26,,,,,,
17,Jogeshwari,,09:30,,,,,,
18,Ramnagar,,09:33,,,,,,
19,Goregaon,,09:37,,,,,,
20,GTB Nagar,09:00,,09:09,,09:13,,09:17,09:21
21,Chunabhatti,09:03,,09:12,,09:16,,09:20,09:24
22,Kurla,09:06,,09:15,,09:19,,09:23,09:27
23,Tilaknagar,09:09,,09:18,,09:22,,09:26,09:30
24,Chembur,09:11,,09:20,,09:24,,09:28,09:32
25,Govandi,,,09:23,,09:27,,09:31,09:35
26,Mankhurd,,,09:26,,09:30,,09:34,09:38
27,Vashi,,,09:35,,09:39,,09:43,09:47
28,Sanpada,,,,,09:41,,09:45,09:49
29,Juinagar,,,,,09:44,,09:48,09:52
30,Nerul,,,,09:43,09:48,,09:52,09:56
31,Seawood Darave,,,,09:47,09:51,,09:55,09:59
32,Belapur CBD,,,,09:51,09:55,,09:59,10:03
33,Kharghar,,,,09:55,09:59,,10:03,
34,Mansarovar,,,,09:58,10:02,,10:06,
35,Khandeshwar,,,,10:01,10:05,,10:09,
36,Panvel,,,,10:06,10:10,,10:14,
37,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL)
38,Stations,98904 GNPL 4,98723 GN 23,98069 PL 57,98509 V 7,99015 TPL 15 $,98823 B 23,98071 PL 59,98511 V 9 X
39,,,,,,,,,
40,Mumbai CSMT,,09:02,09:06,09:10,TNA,09:14,09:18,09:22
41,Masjid,,09:05,09:09,09:13,09:39,09:17,09:21,09:25
42,Sandhurst Road,,09:08,09:12,09:16,,09:20,09:24,09:28
43,Dockyard Road,,09:10,09:14,09:18,,09:22,09:26,09:30
44,Reay Road,,09:12,09:16,09:20,,09:24,09:28,09:32
45,Cotton Green,,09:14,09:18,09:22,,09:26,09:30,09:34
46,Sewri,,09:17,09:21,09:25,,09:29,09:33,09:37
47,Vadala Road,09:20,09:20,09:24,09:28,,09:32,09:36,09:40
48,King's Circle,,09:24,,,,09:36,,
49,Mahim Jn,,09:27,,,,09:39,,
50,Bandra,,09:31,,,,09:43,,
51,Khar Road,,09:35,,,,,,
52,Santacruz,,09:38,,,,,,
53,Vileparle,,09:41,,,,,,
54,Andheri,,09:45,,,,,,
55,Jogeshwari,,09:49,,,,,,
56,Ramnagar,,09:52,,,,,,
57,Goregaon,,09:56,,,,,,
58,GTB Nagar,09:25,,09:29,09:33,,,09:41,09:45
59,Chunabhatti,09:28,,09:32,09:36,,,09:44,09:48
60,Kurla,09:31,,09:35,09:39,,,09:47,09:51
61,Tilaknagar,09:34,,09:38,09:42,,,09:50,09:54
62,Chembur,09:36,,09:40,09:44,,,09:52,09:56
63,Govandi,09:39,,09:43,09:47,,,09:55,09:59
64,Mankhurd,09:42,,09:46,09:50,,,09:58,10:02
65,Vashi,09:51,,09:55,09:59,,,10:07,10:11
66,Sanpada,09:53,,09:57,,,,10:09,
67,Juinagar,09:56,,10:00,,,,10:12,
68,Nerul,10:00,,10:04,,10:08,,10:16,
69,Seawood Darave,10:03,,10:07,,10:12,,10:20,
70,Belapur CBD,10:07,,10:11,,10:16,,10:24,
71,Kharghar,10:11,,10:15,,10:20,,10:28,
72,Mansarovar,10:14,,10:18,,10:23,,10:31,
73,Khandeshwar,10:17,,10:21,,10:26,,10:34,
74,Panvel,10:22,,10:26,,10:31,,10:39,
75,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL)
