Train No,96002,97302,96102,97602,97304,97604,96302,97306,96602,97308,96304,95902,97606,96104
CSMT,,09:26,09:26,09:30,09:30,09:33,09:33,09:37,09:40,09:38,09:41,09:44,09:45,09:47
Train No,96208,97028,95112,97502,96616,95716,97340,95714,97208,97030,97342,95312,97618,95206
Train Code,TBL 2,K 30,S 18,G 2,DTL 2 $,K 36 AC X,T 44,K 34 $ X,DL 12 X,TK 2,T 48,A 22,C 18,BL 12 $
Kasara,,,,,,,,,,,,,,
Khardi,,,,,,,,,,,,,,
Atgaon,,,,,,,,,,,,,,
Asangaon,,,,,,,,,,,,,,
Vasind,,,,,,,,,,,,,,
Khadavli,,,,,,,,,,,,,,
Titwala,,,,,08:09,,,,,,,,,
Ambivli,,,,,08:17,,,,,,,,,
Shahad,,,,,08:20,,,,,,,,,
Khopoli,,,,,,,,,,,,,,
Lowjee,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,
Palasdhari,,,,,,,,,,,,,,
Karjat,,,07:52,,,,,,,,,,,
Bhivpuri Road,,,08:01,,,,,,,,,,,
Neral,,,08:08,,,,,,,,,,,
Shelu,,,08:12,,,,,,,,,,,
Vangani,,,08:16,,,,,,,,,,,
Badlapur,07:56,,08:25,,,,,,,,,,,08:45
Ambernath,08:05,,08:32,,,,,,,,,08:49,,08:54
Ulhas Nagar,08:09,,08:36,,,,,,,,,08:54,,08:58
Vithalwadi,08:12,,08:39,,,,,,,,,08:57,,09:01
Kalyan,08:17,08:20,08:46,,08:25,08:54,,08:46,,08:36,,09:02,,09:06
Thakurli,08:23,08:27,…,,08:31,…,,08:52,,08:42,,…,,…
Dombivli,08:26,08:30,08:52,,08:34,08:59,,08:55,08:41,08:45,,09:08,,09:13
Kopar,08:29,08:33,…,,08:37,…,,08:58,08:45,08:48,,…,,…
Diva,08:34,08:38,…,,08:42,…,,09:03,08:50,08:53,,09:13,,09:18
Mumbra,08:38,08:42,…,,08:46,…,,09:07,08:54,08:57,,…,,…
Kalva,08:44,08:48,…,,08:52,…,,09:13,09:00,09:03,,…,,…
Thane,08:49,08:53,09:07,,08:57,09:16,09:00,09:19,09:05,09:08,09:08,09:25,,09:29
Mulund,,08:57,...,,09:02,09:20,09:06,09:23,09:11,,09:14,...,,...
Nahur,,09:00,...,,09:05,...,09:09,...,09:14,,09:17,...,,...
Bhandup,,09:03,...,,09:08,...,09:12,...,09:17,,09:20,09:34,,...
Kanjur Marg,,09:06,...,,09:11,...,09:15,...,09:20,,09:23,...,,...
Vikhroli,,09:09,...,,09:14,...,09:18,09:32,09:23,,09:26,...,,...
Ghatkopar,,09:13,09:23,09:16,09:19,09:32,09:23,09:36,09:27,,09:30,09:42,,09:46
Vidyavihar,,09:16,...,09:20,09:23,...,09:26,...,09:30,,09:33,...,,...
Kurla,,09:19,09:27,09:23,09:26,09:36,09:29,09:40,09:33,,09:36,09:46,09:39,09:50
Sion,,09:23,...,09:27,09:30,...,09:33,...,09:37,,09:40,...,09:44,...
Matunga,,09:26,...,09:30,09:33,...,09:36,...,09:40,,09:43,...,09:47,...
Dadar,,09:30,09:35,09:34,09:37,09:44,09:40,09:48,09:44,,09:47,09:55,09:51,09:59
Parel,,09:33,…,09:37,,…,09:43,…,09:47,,09:50,…,09:54,…
Currey Road,,09:36,…,09:40,,…,09:46,…,09:50,,09:53,…,09:57,…
Chinchpokli,,09:38,…,09:42,,…,09:48,…,09:52,,09:55,…,09:59,…
Byculla,,09:40,09:41,09:44,,09:50,09:50,09:54,09:54,,09:57,10:01,10:01,10:05
Sandhurst Road,,09:43,…,09:47,,…,09:53,…,09:57,,10:00,…,10:04,…
Masjid,,09:46,…,09:50,,…,09:56,…,10:00,,10:03,…,10:07,…
CSMT,TNA,09:49,09:51,09:53,,09:59,09:59,10:03,10:03,TNA,10:06,10:10,10:10,10:13
Train No,97344,95504,96618,95718,97504,97210,95114,97346,97620,97032,95604,95910,97348,96210
Train Code,T 50,AN 8,TL 18,K 38,G 4,DL 14,S 20,T 52,C 20,PK 6,TL 20,T 58 X,T 54 X,BL 14
Kasara,,,,,,,,,,,,,,
Khardi,,,,,,,,,,,,,,
Atgaon,,,,,,,,,,,,,,
Asangaon,,08:30,,,,,,,,,,,,
Vasind,,08:39,,,,,,,,,,,,
Khadavli,,08:46,,,,,,,,,,,,
Titwala,,08:53,08:33,,,,,,,,09:04,,,
Ambivli,,08:59,08:41,,,,,,,,09:12,,,
Shahad,,09:02,08:45,,,,,,,,09:15,,,
Khopoli,,,,,,,,,,,,,,
Lowjee,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,
Palasdhari,,,,,,,,,,,,,,
Karjat,,,,,,,08:27,,,,,,,
Bhivpuri Road,,,,,,,08:36,,,,,,,
Neral,,,,,,,08:43,,,,,,,
Shelu,,,,,,,08:47,,,,,,,
Vangani,,,,,,,08:51,,,,,,,
Badlapur,,,,,,,08:59,,,,,,,08:52
Ambernath,,,,,,,09:06,,,,,,,09:01
Ulhas Nagar,,,,,,,09:10,,,,,,,09:05
Vithalwadi,,,,,,,09:13,,,,,,,09:08
Kalyan,,09:09,08:51,09:02,,,09:19,,,09:07,09:20,,,09:13
Thakurli,,…,08:56,09:08,,,…,,,09:12,09:25,,,09:20
Dombivli,,09:16,08:59,09:11,,09:04,09:25,,,09:15,09:28,,,09:23
Kopar,,…,09:02,09:14,,09:07,…,,,09:18,09:31,,,09:26
Diva,,…,09:07,09:19,,09:12,…,,,09:23,09:36,,,09:31
Mumbra,,…,09:11,09:23,,09:16,…,,,09:27,09:40,,,09:35
Kalva,,…,09:17,09:29,,09:22,…,,,09:33,09:46,,,09:41
Thane,09:16,09:32,09:22,09:35,,09:27,09:43,09:30,,09:38,09:51,09:54,09:41,09:46
Mulund,09:22,...,09:26,09:40,,09:32,...,09:36,,09:43,...,09:59,09:47,09:51
Nahur,09:25,...,09:29,...,,09:35,...,09:39,,09:46,...,...,09:50,09:54
Bhandup,09:28,09:40,09:32,...,,09:38,...,09:42,,09:49,10:00,...,09:53,09:57
Kanjur Marg,09:31,...,09:35,...,,09:41,...,09:45,,09:52,...,...,09:56,10:00
Vikhroli,09:34,...,09:38,...,,09:44,...,09:48,,09:55,...,...,09:59,10:03
Ghatkopar,09:38,09:49,09:42,09:52,09:46,09:49,09:58,09:53,,09:59,10:08,10:11,10:03,10:07
Vidyavihar,09:41,...,09:45,...,09:50,09:53,...,09:57,,10:02,...,...,10:06,10:10
Kurla,09:44,09:53,09:48,09:56,09:53,09:56,10:03,10:00,10:03,10:06,10:12,10:15,10:09,10:13
Sion,09:48,...,09:52,...,09:57,10:00,...,10:04,10:07,10:10,...,...,10:13,10:17
Matunga,09:51,...,09:55,...,10:00,10:03,...,10:07,10:10,10:13,...,...,10:16,10:20
Dadar,09:55,10:02,09:59,10:05,10:03,10:07,10:14,10:11,10:14,10:17,10:20,10:24,10:20,10:24
Parel,09:58,…,10:02,…,10:06,10:10,…,10:14,10:17,10:20,…,…,10:23,10:27
Currey Road,10:01,…,10:05,…,10:09,10:13,…,10:17,10:20,PR,…,…,10:26,10:30
Chinchpokli,10:03,…,10:07,…,10:11,10:15,…,10:19,10:22,,…,…,10:28,10:32
Byculla,10:05,10:08,10:09,10:11,10:13,10:17,10:20,10:21,10:24,,10:26,10:30,10:30,10:34
Sandhurst Road,10:08,…,10:12,…,10:16,10:20,…,10:24,10:27,,…,…,10:33,10:37
Masjid,10:11,…,10:15,…,10:19,10:23,…,10:27,10:30,,…,…,10:36,10:40
CSMT,10:14,10:16,10:18,10:20,10:22,10:26,10:29,10:30,10:34,,10:34,10:39,10:40,10:44
Train No,97350,95408,97034,96506,95722,97352,95208,95720,97036,95006,97354,95724,97212,95314
Train Code,T 56 X,N 12,K 40,TAN 2,DK 4 15 C X,T 60,BL 16,K 44 X,K 42 X,KP 6,T 62,DK 6 AC X,PDL 2,A 24
Kasara,,08:18,,,,,,,,,,,,
Khardi,,08:35,,,,,,,,,,,,
Atgaon,,08:45,,,,,,,,,,,,
Asangaon,,08:55,,08:47,,,,,,,,,,
Vasind,,09:01,,08:56,,,,,,,,,,
Khadavli,,09:08,,09:03,,,,,,,,,,
Titwala,,09:15,,09:10,,,,,,,,,,
Ambivli,,09:21,,09:16,,,,,,,,,,
Shahad,,09:24,,09:19,,,,,,,,,,
Khopoli,,,,,,,,,,08:40,,,,
Lowjee,,,,,,,,,,08:44,,,,
Dolavli,,,,,,,,,,08:48,,,,
Kelavli,,,,,,,,,,08:51,,,,
Palasdhari,,,,,,,,,,08:58,,,,
Karjat,,,,,,,,,,09:06,,,,
Bhivpuri Road,,,,,,,,,,09:15,,,,
Neral,,,,,,,,,,09:22,,,,
Shelu,,,,,,,,,,09:26,,,,
Vangani,,,,,,,,,,09:30,,,,
Badlapur,,,,,,,09:29,,,09:38,,,,
Ambernath,,,,,,,09:37,,,09:45,,,,09:52
Ulhas Nagar,,,,,,,09:41,,,09:49,,,,09:57
Vithalwadi,,,,,,,09:44,,,09:52,,,,10:00
Kalyan,,09:32,09:23,09:26,09:47,,09:50,09:43,09:29,09:58,,10:02,,10:06
Thakurli,,09:38,09:28,09:31,…,,…,09:49,09:34,…,,…,,…
Dombivli,,09:41,09:31,09:34,09:55,,09:58,09:52,09:37,10:05,,10:07,09:47,10:13
Kopar,,09:44,09:34,09:37,…,,…,09:55,09:40,…,,…,09:51,…
Diva,,09:49,09:39,09:42,…,,…,10:00,09:45,…,,…,09:56,10:18
Mumbra,,09:53,09:43,09:46,…,,…,10:04,09:49,…,,…,10:00,…
Kalva,,09:59,09:49,09:52,…,,…,10:10,09:55,…,,…,10:06,…
Thane,09:50,10:05,09:54,09:57,10:10,09:57,10:13,10:16,10:00,10:20,10:06,10:23,10:11,10:29
Mulund,09:56,10:10,10:00,,...,10:03,...,10:20,10:06,10:24,10:12,,10:16,...
Nahur,09:59,...,10:03,,...,10:06,...,...,10:09,...,10:15,...,10:19,...
Bhandup,10:02,...,10:06,,...,10:09,10:22,...,10:12,...,10:18,...,10:22,...
Kanjur Marg,10:05,...,10:09,,...,10:12,...,...,10:15,...,10:21,...,10:25,...
Vikhroli,10:08,...,10:12,,...,10:15,...,10:29,10:18,...,10:24,...,10:28,...
Ghatkopar,10:12,10:22,10:16,,10:27,10:19,10:30,...,10:22,10:37,10:28,10:40,10:32,10:43
Vidyavihar,10:15,...,10:19,,...,10:22,...,...,10:25,...,10:31,...,10:35,...
Kurla,10:18,10:26,10:22,,10:31,10:25,10:34,10:38,10:28,10:41,10:34,10:44,10:38,10:47
Sion,10:22,...,10:26,,...,10:29,...,...,10:32,...,10:38,...,10:42,...
Matunga,10:25,...,10:29,,...,10:32,...,...,10:35,...,10:41,...,10:46,...
Dadar,10:29,10:35,10:33,,10:40,10:36,10:43,10:46,10:39,10:49,10:45,10:52,10:49,10:55
Parel,10:32,…,10:36,,,10:39,…,…,10:42,…,10:48,,10:52,…
Currey Road,10:35,…,10:39,,,10:42,…,…,10:45,…,10:51,,PR,…
Chinchpokli,10:37,…,10:41,,,10:44,…,…,10:47,…,10:53,,,…
Byculla,10:39,10:41,10:43,,,10:46,10:49,10:52,10:49,10:55,10:55,,,11:01
Sandhurst Road,10:42,…,10:46,,,10:49,…,…,10:52,…,10:58,,,…
Masjid,10:45,…,10:49,,,10:52,…,…,10:55,…,11:01,,,…
CSMT,10:48,10:50,10:52,TNA,,10:56,10:57,11:00,11:00,11:03,11:04,,,11:10
Train No,97506,97356,97038,96508,97358,95912,95316,96620,97360,95116,97040,97362,97042,97214
Train Code,G 6,T 64,K 46,AN 10,T 66 X,T 70 15 C X,A 26,PTL 2,T 68 X,S 22,K 48 X,T 72,K 50,DL 16
Kasara,,,,,,,,,,,,,,
Khardi,,,,,,,,,,,,,,
Atgaon,,,,,,,,,,,,,,
Asangaon,,,,09:18,,,,,,,,,,
Vasind,,,,09:26,,,,,,,,,,
Khadavli,,,,09:33,,,,,,,,,,
Titwala,,,,09:40,,,,09:53,,,,,,
Ambivli,,,,09:46,,,,10:01,,,,,,
Shahad,,,,09:49,,,,10:04,,,,,,
Khopoli,,,,,,,,,,,,,,
Lowjee,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,
Palasdhari,,,,,,,,,,,,,,
Karjat,,,,,,,,,,09:45,,,,
Bhivpuri Road,,,,,,,,,,09:54,,,,
Neral,,,,,,,,,,10:01,,,,
Shelu,,,,,,,,,,10:05,,,,
Vangani,,,,,,,,,,10:09,,,,
Badlapur,,,,,,,,,,10:18,,,,
Ambernath,,,,,,,10:15,,,10:25,,,,
Ulhas Nagar,,,,,,,10:20,,,10:29,,,,
Vithalwadi,,,,,,,10:23,,,10:32,,,,
Kalyan,,,09:50,09:55,,,10:28,10:09,,10:39,10:15,,10:25,
Thakurli,,,09:56,10:00,,,…,10:15,,…,10:21,,10:31,
Dombivli,,,09:59,10:03,,,10:34,10:18,,10:46,10:24,,10:34,10:40
Kopar,,,10:03,10:07,,,…,10:21,,…,10:27,,10:37,10:44
Diva,,,10:08,10:12,,,…,10:26,,10:51,10:32,,10:42,10:49
Mumbra,,,10:12,10:16,,,…,10:30,,…,10:36,,10:46,10:53
Kalva,,,10:18,10:22,,,…,10:36,,…,10:42,,10:52,10:59
Thane,,10:20,10:23,10:27,10:30,10:46,10:50,10:41,10:44,11:03,10:48,10:52,10:58,11:04
Mulund,,10:25,10:28,10:32,10:36,10:52,...,10:46,10:50,11:07,10:53,10:58,11:02,11:08
Nahur,,10:28,10:31,10:35,10:39,...,...,10:49,10:53,...,10:56,11:01,11:05,11:11
Bhandup,,10:31,10:34,10:38,10:42,...,...,10:52,10:56,...,10:59,11:04,11:08,11:14
Kanjur Marg,,10:34,10:37,10:41,10:45,...,...,10:55,10:59,...,11:02,11:07,11:11,11:17
Vikhroli,,10:37,10:40,10:44,10:48,...,...,10:58,11:02,...,11:05,11:10,11:14,11:20
Ghatkopar,10:35,10:41,10:44,10:48,10:52,11:03,11:06,11:02,11:06,11:17,11:09,11:14,11:18,11:24
Vidyavihar,10:38,10:44,10:47,10:51,10:55,...,...,11:05,11:09,...,11:12,11:17,11:21,11:27
Kurla,10:41,10:47,10:50,10:54,10:58,11:07,11:10,11:08,11:12,11:21,11:15,11:20,11:24,11:30
Sion,10:45,10:51,10:54,10:58,11:02,...,...,11:12,11:16,...,11:19,11:24,11:28,11:34
Matunga,10:49,10:54,10:57,11:01,11:05,...,...,11:15,11:19,...,11:22,11:27,11:31,11:37
Dadar,10:52,10:58,11:01,11:05,11:09,11:14,11:18,11:19,11:23,11:29,11:26,11:31,11:35,11:41
Parel,10:55,11:01,11:04,11:08,11:12,…,…,11:22,11:26,…,11:29,11:34,11:38,11:44
Currey Road,10:58,11:04,11:07,11:11,11:15,…,…,PR,11:29,…,11:32,11:37,11:41,11:47
Chinchpokli,11:00,11:06,11:09,11:13,11:17,…,…,,11:31,…,11:34,11:39,11:43,11:49
Byculla,11:02,11:08,11:11,11:15,11:19,11:21,11:24,,11:33,11:35,11:36,11:41,11:45,11:51
Sandhurst Road,11:05,11:11,11:14,11:18,11:22,…,…,,11:36,…,11:39,11:44,11:48,11:54
Masjid,11:08,11:14,11:17,11:21,11:25,…,…,,11:39,…,11:42,11:47,11:51,11:57
CSMT,11:12,11:17,11:20,11:24,11:28,11:30,11:33,,11:42,11:44,11:45,11:50,11:54,12:00
Train No,96622,96510,97044,95606,95210,96212,97046,97364,97216,95726,96008,95410,96010,97048
Train Code,TL 22,AN 12,CK 2,TL 24 X,BL 20,BL 18,PK 8,T 74,DL 18 X,DK 8 AC X,SKP 8,N 14,SKP 10,TK 4
Kasara,,,,,,,,,,,,10:18,,
Khardi,,,,,,,,,,,,10:35,,
Atgaon,,,,,,,,,,,,10:45,,
Asangaon,,10:03,,,,,,,,,,10:55,,
Vasind,,10:12,,,,,,,,,,11:01,,
Khadavli,,10:19,,,,,,,,,,11:08,,
Titwala,10:20,10:25,,10:45,,,,,,,,11:15,,
Ambivli,10:28,10:31,,10:52,,,,,,,,11:21,,
Shahad,10:31,10:34,,10:55,,,,,,,,11:24,,
Khopoli,,,,,,,,,,,10:00,,11:20,
Lowjee,,,,,,,,,,,10:04,,11:24,
Dolavli,,,,,,,,,,,10:08,,11:28,
Kelavli,,,,,,,,,,,10:11,,11:31,
Palasdhari,,,,,,,,,,,10:18,,11:38,
Karjat,,,,,,,,,,,10:25,,11:45,
Bhivpuri Road,,,,,,,,,,,,,,
Neral,,,,,,,,,,,,,,
Shelu,,,,,,,,,,,,,,
Vangani,,,,,,,,,,,,,,
Badlapur,,,,,10:42,10:26,,,,,,,,
Ambernath,,,,,10:51,10:35,,,,,,,,
Ulhas Nagar,,,,,10:55,10:39,,,,,,,,
Vithalwadi,,,,,10:58,10:42,,,,,,,,
Kalyan,10:36,10:40,10:43,11:01,11:04,10:47,10:50,,,11:22,,11:29,,11:02
Thakurli,10:41,10:45,10:49,…,…,10:53,10:57,,,…,,…,,11:08
Dombivli,10:44,10:48,10:52,11:08,11:11,10:56,11:00,,11:06,11:29,,11:38,,11:11
Kopar,10:47,10:51,10:55,…,…,10:59,11:03,,11:10,…,,…,,11:14
Diva,10:52,10:56,11:00,…,11:15,11:04,11:08,,11:15,11:34,,11:43,,11:19
Mumbra,10:56,11:00,11:04,…,…,11:08,11:12,,11:19,…,,…,,11:23
Kalva,11:02,11:06,11:10,…,…,11:14,11:18,,11:25,…,,…,,11:29
Thane,11:07,11:11,11:15,11:24,11:28,11:19,11:23,11:25,11:30,11:45,,11:55,,11:34
Mulund,11:11,11:15,11:19,...,...,11:23,11:27,11:31,11:35,...,,11:59,,
Nahur,11:14,11:18,11:22,...,...,11:26,11:30,11:34,11:38,...,,...,,
Bhandup,11:17,11:21,11:25,...,...,11:29,11:33,11:37,11:41,...,,...,,
Kanjur Marg,11:20,11:24,11:28,...,...,11:32,11:36,11:40,11:44,...,,...,,
Vikhroli,11:23,11:27,11:31,...,...,11:35,11:39,11:43,11:47,...,,...,,
Ghatkopar,11:27,11:31,11:35,11:38,11:42,11:39,11:43,11:47,11:51,12:01,,12:12,,
Vidyavihar,11:30,11:34,11:38,...,...,11:42,11:46,11:50,11:54,...,,...,,
Kurla,11:33,11:37,11:41,11:42,11:46,11:45,11:49,11:53,11:57,12:05,,12:17,,
Sion,11:37,11:41,,...,...,11:49,11:53,11:57,12:01,...,,...,,
Matunga,11:40,11:44,,...,...,11:52,11:56,12:00,12:04,...,,...,,
Dadar,11:44,11:48,,11:50,11:54,11:56,12:00,12:04,12:08,12:15,,12:26,,
Parel,11:47,11:51,,…,…,11:59,12:03,12:07,12:11,,,…,,
Currey Road,11:50,11:54,,…,…,12:02,PR,12:10,12:14,,,…,,
Chinchpokli,11:52,11:56,,,…,12:04,,12:12,12:16,,,…,,
Byculla,11:54,11:58,,11:58,12:02,12:06,,12:14,12:18,,,12:32,,
Sandhurst Road,11:57,12:01,,…,…,12:09,,12:17,12:21,,,…,,
Masjid,12:00,12:04,,…,…,12:12,,12:20,12:24,,,…,,
CSMT,12:03,12:07,CLA,12:07,12:11,12:15,,12:23,12:27,,,12:40,,TNA
Train No,97366,97050,95118,96624,96312,95728,97052,95318,97368,96214,96314,96626,97218,97054
Train Code,T 76,PK 10,S 24,TL 26,A 28,K 52 15 C X,TK 6,A 32,T 78 X,BL 22,A 30 AC X,TL 28,DL 20,DK 10 X
Kasara,,,,,,,,,,,,,,
Khardi,,,,,,,,,,,,,,
Atgaon,,,,,,,,,,,,,,
Asangaon,,,,,,,,,,,,,,
Vasind,,,,,,,,,,,,,,
Khadavli,,,,,,,,,,,,,,
Titwala,,,,10:58,,,,,,,,11:18,,
Ambivli,,,,11:06,,,,,,,,11:26,,
Shahad,,,,11:09,,,,,,,,11:29,,
Khopoli,,,,,,,,,,,,,,
Lowjee,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,
Palasdhari,,,,,,,,,,,,,,
Karjat,,,10:45,,,,,,,,,,,
Bhivpuri Road,,,10:54,,,,,,,,,,,
Neral,,,11:01,,,,,,,,,,,
Shelu,,,11:05,,,,,,,,,,,
Vangani,,,11:09,,,,,,,,,,,
Badlapur,,,11:17,,,,,,,10:58,,,,
Ambernath,,,11:24,,11:03,,,11:38,,11:09,11:17,,,
Ulhas Nagar,,,11:29,,11:08,,,11:43,,11:14,11:22,,,
Vithalwadi,,,11:32,,11:11,,,11:46,,11:17,11:25,,,
Kalyan,,11:10,11:36,11:15,11:19,11:46,11:22,11:52,,11:25,11:31,11:36,,11:42
Thakurli,,11:16,…,11:20,11:24,…,11:29,…,,11:32,11:38,11:42,,11:49
Dombivli,,11:19,11:45,11:23,11:27,11:53,11:32,11:58,,11:35,11:41,11:45,11:48,11:53
Kopar,,11:22,…,11:26,11:30,…,11:35,…,,11:38,11:44,11:48,11:52,11:56
Diva,,11:27,…,11:31,11:35,…,11:40,…,,11:43,11:49,11:53,11:57,12:01
Mumbra,,11:31,…,11:35,11:39,…,11:44,…,,11:47,11:53,11:57,12:01,12:05
Kalva,,11:37,…,11:41,11:45,…,11:50,…,,11:53,11:59,12:03,12:07,12:11
Thane,11:36,11:42,12:01,11:46,11:50,12:09,11:55,12:14,11:56,11:59,12:05,12:09,12:13,12:17
Mulund,11:42,11:47,...,11:51,11:55,...,,12:18,12:02,12:05,12:10,12:14,12:18,12:22
Nahur,11:45,11:50,...,11:54,11:58,...,,...,12:05,12:08,12:13,12:17,12:21,12:25
Bhandup,11:48,11:53,...,11:57,12:01,...,,...,12:08,12:11,12:16,12:20,12:24,12:28
Kanjur Marg,11:51,11:56,...,12:00,12:04,...,,...,12:11,12:14,12:19,12:23,12:27,12:31
Vikhroli,11:54,11:59,...,12:03,12:07,...,,...,12:14,12:17,12:22,12:26,12:30,12:34
Ghatkopar,11:58,12:03,12:16,12:07,12:11,12:20,,12:24,12:18,12:21,12:26,12:30,12:34,12:38
Vidyavihar,12:01,12:06,...,12:10,12:14,...,,...,12:21,12:24,12:29,12:33,12:37,12:41
Kurla,12:04,12:09,12:21,12:13,12:17,12:24,,12:28,12:24,12:27,12:32,12:36,12:40,12:44
Sion,12:08,12:13,...,12:17,12:21,...,,...,12:28,12:31,12:36,12:40,12:44,12:48
Matunga,12:11,12:16,...,12:20,12:24,...,,...,12:31,12:34,12:39,12:43,12:47,12:51
Dadar,12:14,12:20,12:29,12:24,12:28,12:32,,12:36,12:35,12:38,12:43,12:47,12:51,12:55
Parel,12:17,12:23,…,12:27,12:31,…,,…,12:38,12:41,12:46,12:50,12:54,
Currey Road,12:20,PR,…,12:30,12:34,…,,…,12:41,12:44,12:49,12:53,12:57,
Chinchpokli,12:22,,…,12:32,12:36,…,,…,12:43,12:46,12:51,12:55,12:59,
Byculla,12:24,,12:35,12:34,12:38,12:38,,12:43,12:45,12:48,12:53,12:57,13:01,
Sandhurst Road,12:27,,…,12:37,12:41,…,,…,12:48,12:51,12:56,13:00,13:04,
Masjid,12:30,,…,12:40,12:44,…,,…,12:51,12:54,12:59,13:03,13:07,
CSMT,12:34,,12:44,12:44,12:48,12:48,TNA,12:54,12:54,12:57,13:02,13:06,13:10,
Train No,95120,96216,97056,95412,96512,97220,96218,97058,96628,95212,96316,96220,97060,95214
Train Code,S 26,BL 24,K 54,N 16,AN 14,DL 22,BL 26,PK 12,TL 30,BL 30,A 34,BL 28,TK 8,BL 32 AC X
Kasara,,,,11:10,,,,,,,,,,
Khardi,,,,11:27,,,,,,,,,,
Atgaon,,,,11:37,,,,,,,,,,
Asangaon,,,,11:47,11:16,,,,,,,,,
Vasind,,,,11:53,11:24,,,,,,,,,
Khadavli,,,,12:00,11:31,,,,,,,,,
Titwala,,,,12:07,11:38,,,,11:54,,,,,
Ambivli,,,,12:13,11:44,,,,12:02,,,,,
Shahad,,,,12:16,11:47,,,,12:05,,,,,
Khopoli,,,,,,,,,,,,,,
Lowjee,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,
Palasdhari,,,,,,,,,,,,,,
Karjat,11:19,,,,,,,,,,,,,
Bhivpuri Road,11:28,,,,,,,,,,,,,
Neral,11:35,,,,,,,,,,,,,
Shelu,11:39,,,,,,,,,,,,,
Vangani,11:43,,,,,,,,,,,,,
Badlapur,11:51,11:25,,,,,11:41,,,12:15,,12:00,,12:27
Ambernath,11:58,11:34,,,,,11:49,,,12:24,12:03,12:08,,12:36
Ulhas Nagar,12:02,11:38,,,,,11:53,,,12:28,12:08,12:12,,12:40
Vithalwadi,12:05,11:41,,,,,11:56,,,12:31,12:11,12:15,,12:43
Kalyan,12:11,11:47,11:50,12:22,11:54,,12:01,12:05,12:10,12:37,12:16,12:20,12:24,12:48
Thakurli,…,11:54,11:57,…,12:01,,12:08,12:12,12:16,,12:23,12:27,12:31,
Dombivli,12:17,11:58,12:01,12:28,12:05,12:08,12:12,12:16,12:20,12:43,12:26,12:30,12:34,12:54
Kopar,…,12:01,12:04,…,12:08,12:12,12:16,12:20,12:24,…,12:29,12:33,12:37,…
Diva,12:22,12:06,12:09,…,12:13,12:17,12:21,12:25,12:29,…,12:34,12:38,12:42,…
Mumbra,…,12:10,12:13,…,12:17,12:21,12:25,12:29,12:33,…,12:38,12:42,12:46,…
Kalva,…,12:16,12:19,…,12:23,12:27,12:31,12:35,12:39,…,12:44,12:48,12:52,…
Thane,12:33,12:22,12:25,12:43,12:29,12:33,12:37,12:41,12:45,13:00,12:49,12:53,12:57,13:10
Mulund,...,12:27,12:30,12:47,12:34,12:38,12:42,12:46,12:50,...,12:54,12:58,,...
Nahur,...,12:30,12:33,...,12:37,12:41,12:45,12:49,12:53,...,12:57,13:01,,...
Bhandup,...,12:33,12:36,...,12:40,12:44,12:48,12:52,12:56,...,13:00,13:04,,...
Kanjur Marg,...,12:36,12:39,...,12:43,12:47,12:51,12:55,12:59,...,13:03,13:07,,...
Vikhroli,...,12:39,12:42,...,12:46,12:50,12:54,12:58,13:02,...,13:06,13:10,,...
Ghatkopar,12:48,12:43,12:46,12:57,12:50,12:54,12:58,13:02,13:06,13:15,13:10,13:14,,13:25
Vidyavihar,...,12:46,12:49,...,12:53,12:57,13:01,13:05,13:09,...,13:13,13:17,,...
Kurla,12:52,12:49,12:52,13:01,12:56,13:00,13:04,13:08,13:12,13:19,13:16,13:20,,13:29
Sion,...,12:53,12:56,...,13:00,13:04,13:08,13:12,13:16,...,13:20,13:24,,...
Matunga,...,12:56,12:59,...,13:03,13:07,13:11,13:15,13:19,...,13:23,13:27,,...
Dadar,13:00,13:00,13:03,13:09,13:07,13:11,13:15,13:19,13:23,13:27,13:27,13:31,,13:38
Parel,…,13:03,13:06,…,13:10,13:14,13:18,13:22,13:26,…,13:30,13:34,,…
Currey Road,…,13:06,13:09,…,13:13,13:17,13:21,PR,13:29,…,13:33,13:37,,…
Chinchpokli,…,13:08,13:11,…,13:15,13:19,13:23,,13:31,…,13:35,13:39,,…
Byculla,13:06,13:10,13:13,13:15,13:17,13:21,13:25,,13:33,13:33,13:37,13:41,,13:44
Sandhurst Road,…,13:13,13:16,…,13:20,13:24,13:28,,13:36,…,13:40,13:44,,…
Masjid,…,13:16,13:19,…,13:23,13:27,13:31,,13:39,…,13:43,13:47,,…
CSMT,13:15,13:19,13:22,13:25,13:26,13:30,13:34,,13:42,13:42,13:46,13:50,TNA,13:53
Train No,97370,95122,96318,96630,97062,97222,95124,97064,97372,96632,96320,97066,95414,96634
Train Code,T 80 X,S 28,A 36,TL 32,K 56,DL 24 X,S 30,K 58,T 82,TL 34,A 38,TK 10,N 18,TL 36
Kasara,,,,,,,,,,,,,12:19,
