Train No,96002,97302,96102,97602,97304,97604,96302,97306,96602,97308,96304,95902,97606,96104
Vikhroli,05:27,,05:35,05:40,,05:50,05:56,06:05,06:09,...,06:12,06:16,06:20,
Ghatkopar,05:31,,05:39,05:44,,05:54,06:00,06:09,06:13,06:18,06:16,06:20,06:24,
Vidyavihar,05:34,,05:42,05:47,,05:57,06:03,06:12,06:16,...,06:19,06:23,06:27,
Kurla,05:37,05:41,05:45,05:50,05:54,06:00,06:06,06:15,06:19,06:22,06:22,06:26,06:30,06:34
Sion,05:41,05:45,05:49,05:54,05:58,06:04,06:10,06:19,06:23,...,06:26,06:30,06:34,06:38
Matunga,05:44,05:48,05:52,05:57,06:01,06:07,06:13,06:22,06:26,06:26,06:29,06:33,06:37,06:41
Dadar,05:48,05:52,05:56,06:01,06:05,06:11,06:17,06:26,06:30,06:31,06:33,06:37,06:41,06:45
Parel,05:51,05:55,05:59,06:04,06:08,06:14,06:20,06:29,06:33,06:34,06:36,06:40,06:44,06:48
Currey Road,05:54,05:58,06:02,06:07,06:11,06:17,06:23,06:32,06:36,…,06:39,06:43,06:47,06:51
Chinchpokli,05:56,06:00,06:04,06:09,06:13,06:19,06:25,06:34,06:38,…,06:41,06:45,06:49,06:53
Byculla,05:58,06:02,06:06,06:11,06:15,06:21,06:27,06:36,06:40,06:40,06:43,06:47,06:51,06:55
Sandhurst Road,06:01,06:05,06:09,06:14,06:18,06:24,06:30,06:39,06:43,…,06:46,06:50,06:54,06:58
Masjid,06:04,06:08,06:12,06:17,06:21,06:27,06:33,06:42,06:46,…,06:49,06:53,06:57,07:01
CSMT,06:07,06:11,06:15,06:20,06:24,06:30,06:37,06:45,06:49,06:51,06:52,06:56,07:00,07:04
Train No,97316,97006,95802,97202,95002,96608,96004,97318,96202,97008,95702,96404,97010,95104
Train Code,T 18 X,K 4,DL 4 15 C X,DL 2 X,KP 2,TL 8,SKP 4,T 20 X,BL 2,K 6,K 10 AC X,N 4,K 8 X,S 10
Kasara,,,,,,,,,,,,04:59,,
Khardi,,,,,,,,,,,,05:16,,
Atgaon,,,,,,,,,,,,05:26,,
Asangaon,,,,,,,,,,,,05:36,,
Vasind,,,,,,,,,,,,05:42,,
Khadavli,,,,,,,,,,,,05:49,,
Titwala,,,,,,05:34,,,,,,05:56,,
Ambivli,,,,,,05:42,,,,,,06:02,,
Shahad,,,,,,05:45,,,,,,06:05,,
Khopoli,,,,,04:50,,05:10,,,,,,,
Lowjee,,,,,04:54,,05:14,,,,,,,
Dolavli,,,,,04:58,,05:18,,,,,,,
Kelavli,,,,,05:01,,05:21,,,,,,,
Palasdhari,,,,,05:08,,05:28,,,,,,,
Karjat,,,,,05:20,,05:35,,,,,,,05:50
Bhivpuri Road,,,,,05:29,,,,,,,,,05:59
Neral,,,,,05:36,,,,,,,,,06:06
Shelu,,,,,05:40,,,,,,,,,06:10
Vangani,,,,,05:44,,,,,,,,,06:14
Badlapur,,,,,05:52,,,,05:40,,,,,06:22
Ambernath,,,,,05:59,,,,05:47,,,,,06:29
Ulhas Nagar,,,,,06:03,,,,05:51,,,,,06:33
Vithalwadi,,,,,06:06,,,,05:54,,,,,06:36
Kalyan,,05:43,,,06:12,05:50,,,05:59,06:03,06:32,06:11,06:14,06:41
Thakurli,,05:50,,,,05:56,,,06:06,06:10,…,06:16,06:20,…
Dombivli,,05:53,06:14,05:56,06:18,06:00,,,06:09,06:13,06:37,06:19,06:23,06:47
Kopar,,05:56,…,06:00,…,06:04,,,06:12,06:16,…,06:22,06:26,…
Diva,,06:01,…,06:05,06:23,06:09,,,06:17,06:21,…,06:27,06:31,06:52
Mumbra,,06:05,…,06:09,…,06:13,,,06:21,06:25,…,06:31,06:35,…
Kalva,,06:11,…,06:15,…,06:19,,,06:27,06:31,…,06:37,06:41,…
Thane,06:12,06:16,06:30,06:20,06:34,06:24,,06:28,06:32,06:36,06:55,06:42,06:46,07:03
Mulund,06:16,06:20,...,06:24,06:38,06:28,,06:32,06:36,06:40,...,06:46,06:50,07:07
Nahur,06:19,06:23,...,06:27,...,06:31,,06:35,06:39,06:43,...,06:49,06:53,...
Bhandup,06:22,06:26,06:38,06:30,...,06:34,,06:38,06:42,06:46,,06:52,06:56,...
Kanjur Marg,06:25,06:29,...,06:33,...,06:37,,06:41,06:45,06:49,...,06:55,06:59,...
Vikhroli,06:28,06:32,...,06:36,...,06:40,,06:44,06:48,06:52,...,06:58,07:02,07:15
Ghatkopar,06:32,06:36,06:45,06:40,06:49,06:44,,06:48,06:52,06:56,07:11,07:02,07:06,07:19
Vidyavihar,06:35,06:39,...,06:43,...,06:47,,06:51,06:55,06:59,...,07:05,07:09,...
Kurla,06:38,06:42,06:49,06:46,06:53,06:50,,06:54,06:58,07:02,07:15,07:08,07:12,07:23
Sion,06:42,06:46,...,06:50,...,06:54,,06:58,07:02,07:06,...,07:12,07:16,...
Matunga,06:46,06:49,...,06:53,...,06:57,,07:01,07:05,07:09,...,07:15,07:19,...
Dadar,06:49,06:53,06:57,06:57,07:01,07:01,,07:05,07:09,07:13,07:24,07:19,07:23,07:31
Parel,06:52,06:56,…,07:00,…,07:04,,07:08,07:12,07:16,…,07:22,07:26,…
Currey Road,06:55,06:59,…,07:03,…,07:07,,07:11,07:15,07:19,…,07:25,07:29,…
Chinchpokli,06:57,07:01,…,07:05,…,07:09,,07:13,07:17,07:21,…,07:27,07:31,…
Byculla,06:59,07:03,07:03,07:07,07:08,07:11,,07:15,07:19,07:23,07:29,07:29,07:33,07:37
Sandhurst Road,07:02,07:06,…,07:10,…,07:14,,07:18,07:22,07:26,…,07:32,07:36,…
Masjid,07:05,07:09,…,07:13,…,07:17,,07:21,07:25,07:29,…,07:35,07:39,…
CSMT,07:08,07:12,07:14,07:16,07:18,07:20,,07:24,07:28,07:32,07:39,07:38,07:42,07:45
Train No,97320,96310,96610,97322,96204,97614,97012,97014,95202,96502,97324,95402,95704,95106
Train Code,T 22,A 10,TL 10,T 24 AC X,BL 4,C 14,K 12,PK 2 X,BL 8,AN 2,DT 2 X,N 6,K 16 15 C X,S 12
Kasara,,,,,,,,,,,,06:10,,
Khardi,,,,,,,,,,,,06:27,,
Atgaon,,,,,,,,,,,,06:37,,
Asangaon,,,,,,,,,,06:11,,06:47,,
Vasind,,,,,,,,,,06:20,,06:53,,
Khadavli,,,,,,,,,,06:27,,07:00,,
Titwala,,,06:13,,,,,,,06:34,,07:07,,
Ambivli,,,06:21,,,,,,,06:40,,07:13,,
Shahad,,,06:24,,,,,,,06:43,,07:16,,
Khopoli,,,,,,,,,,,,,,
Lowjee,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,
Palasdhari,,,,,,,,,,,,,,
Karjat,,,,,,,,,,,,,,06:33
Bhivpuri Road,,,,,,,,,,,,,,06:42
Neral,,,,,,,,,,,,,,06:49
Shelu,,,,,,,,,,,,,,06:53
Vangani,,,,,,,,,,,,,,06:57
Badlapur,,,,,06:15,,,,06:52,,,,,07:06
Ambernath,,06:10,,,06:22,,,,07:00,,,,,07:13
Ulhas Nagar,,06:15,,,06:26,,,,07:04,,,,,07:17
Vithalwadi,,06:18,,,06:29,,,,07:07,,,,,07:20
Kalyan,,06:23,06:29,,06:35,,06:43,06:47,07:12,06:51,,07:22,07:18,07:26
Thakurli,,06:30,06:34,,06:42,,06:50,06:54,…,06:58,,…,…,…
Dombivli,,06:33,06:37,,06:45,,06:53,06:57,07:18,07:01,,07:28,07:25,07:32
Kopar,,06:36,06:40,,06:48,,06:56,07:00,…,07:04,,…,…,…
Diva,,06:41,06:45,,06:53,,07:01,07:05,…,07:09,,07:33,…,…
Mumbra,,06:45,06:49,,06:57,,07:05,07:09,…,07:13,,…,…,…
Kalva,,06:51,06:55,,07:03,,07:11,07:15,…,07:19,,…,…,…
Thane,06:50,06:56,07:00,07:04,07:08,,07:16,07:20,07:33,07:24,07:28,07:43,07:40,07:47
Mulund,06:54,07:00,07:04,07:08,07:12,,07:20,07:25,...,07:29,07:33,...,07:44,07:51
Nahur,06:57,07:03,07:07,07:11,07:15,,07:23,07:28,...,07:32,07:36,...,...,...
Bhandup,07:00,07:06,07:10,07:14,07:18,,07:26,07:31,...,07:35,07:39,07:51,...,...
Kanjur Marg,07:03,07:09,07:13,07:17,07:21,,07:29,07:34,...,07:38,07:42,...,...,...
Vikhroli,07:06,07:12,07:16,07:20,07:24,,07:32,07:37,...,07:41,07:45,...,...,...
Ghatkopar,07:10,07:16,07:20,07:24,07:28,,07:36,07:41,07:49,07:45,07:49,07:59,07:56,08:03
Vidyavihar,07:13,07:19,07:23,07:27,07:31,,07:39,07:44,...,07:48,07:52,...,...,...
Kurla,07:16,07:22,07:26,07:30,07:34,07:38,07:42,07:47,07:53,07:51,07:55,08:03,08:00,08:07
Sion,07:20,07:26,07:30,07:34,07:38,07:42,07:46,07:51,...,07:55,07:59,...,...,...
Matunga,07:23,07:29,07:33,07:37,07:41,07:45,07:49,07:54,...,07:58,08:02,...,...,...
Dadar,07:27,07:33,07:37,07:41,07:45,07:49,07:53,07:58,08:01,08:03,08:07,08:11,08:08,08:15
Parel,07:30,07:36,07:40,07:44,07:48,07:52,07:56,08:01,…,08:06,,…,…,…
Currey Road,07:33,07:39,07:43,07:47,07:51,07:55,07:59,PR,…,08:09,,…,…,…
Chinchpokli,07:35,07:41,07:45,07:49,07:53,07:57,08:01,,…,08:11,,…,…,…
Byculla,07:37,07:43,07:47,07:51,07:55,07:59,08:03,,08:07,08:13,,08:17,08:14,08:21
Sandhurst Road,07:40,07:46,07:50,07:54,07:58,08:02,08:06,,…,08:16,,…,…,…
Masjid,07:43,07:49,07:53,07:57,08:01,08:05,08:09,,…,08:19,,…,…,…
CSMT,07:46,07:52,07:56,08:00,08:04,08:08,08:12,,08:16,08:22,,08:25,08:26,08:29
Train No,96612,96206,95302,97016,95004,97326,97018,95602,97204,95904,95706,97328,95304,97330
Train Code,TL 12,BL 6,A 12,PK 4 X,KP 4,T 26 X,K 14,TL 14,DL 6,T 32 AC X,DK 2,T 28,A 14,T 30 X
Kasara,,,,,,,,,,,,,,
Khardi,,,,,,,,,,,,,,
Atgaon,,,,,,,,,,,,,,
Asangaon,,,,,,,,,,,,,,
Vasind,,,,,,,,,,,,,,
Khadavli,,,,,,,,,,,,,,
Titwala,06:46,,,,,,,07:21,,,,,,
Ambivli,06:54,,,,,,,07:29,,,,,,
Shahad,06:57,,,,,,,07:32,,,,,,
Khopoli,,,,,06:16,,,,,,,,,
Lowjee,,,,,06:20,,,,,,,,,
Dolavli,,,,,06:24,,,,,,,,,
Kelavli,,,,,06:27,,,,,,,,,
Palasdhari,,,,,06:34,,,,,,,,,
Karjat,,,,,06:42,,,,,,,,,
Bhivpuri Road,,,,,06:51,,,,,,,,,
Neral,,,,,06:58,,,,,,,,,
Shelu,,,,,07:02,,,,,,,,,
Vangani,,,,,07:06,,,,,,,,,
Badlapur,,06:46,,,07:14,,,,,,,,,
Ambernath,,06:53,07:17,,07:21,,,,,,,,07:35,
Ulhas Nagar,,06:57,07:22,,07:25,,,,,,,,07:40,
Vithalwadi,,07:00,07:25,,07:28,,,,,,,,07:43,
Kalyan,07:02,07:05,07:30,07:09,07:34,,07:16,07:37,,,07:29,,07:49,
Thakurli,07:07,07:11,…,07:15,…,,07:22,…,,,07:35,,…,
Dombivli,07:10,07:14,07:36,07:18,07:40,,07:25,07:44,07:29,,07:38,,07:55,
Kopar,07:13,07:17,…,07:21,…,,07:28,…,07:32,,07:42,,…,
Diva,07:18,07:22,…,07:26,…,,07:33,…,07:37,,07:46,,…,
Mumbra,07:22,07:26,…,07:30,…,,07:37,…,07:41,,07:51,,…,
Kalva,07:28,07:32,…,07:36,…,,07:43,…,07:47,,07:57,,…,
Thane,07:33,07:37,07:51,07:41,07:55,07:44,07:48,07:59,07:52,08:02,08:05,07:55,08:10,08:01
Mulund,07:38,07:42,...,07:46,07:59,07:49,07:53,08:03,07:57,08:07,...,08:01,...,08:05
Nahur,07:41,07:45,...,07:49,...,07:52,07:56,...,08:00,...,...,08:04,...,08:08
Bhandup,07:44,07:48,...,07:52,...,07:55,07:59,...,08:03,...,08:13,08:07,08:18,08:11
Kanjur Marg,07:47,07:51,...,07:55,...,07:58,08:02,...,08:06,...,...,08:10,...,08:14
Vikhroli,07:50,07:54,08:03,07:58,...,08:01,08:05,...,08:09,08:15,...,08:13,...,08:17
Ghatkopar,07:54,07:58,...,08:02,08:11,08:05,08:09,08:15,08:13,...,08:21,08:17,08:26,08:21
Vidyavihar,07:57,08:01,...,08:05,...,08:08,08:12,...,08:16,...,...,08:20,...,08:24
