,STATIONS UP TRAINS,DRD 93032 12 CAR,BYR 94070 12 CAR,BYR 94070 12 CAR.1,VR 94110 12 CAR,VR 94110 12 CAR.1,GMN 94112 12 CAR,GMN 94112 12 CAR.1,BVI 94114 12 CAR,BVI 94114 12 CAR.1,BVI 90898 12 CAR,BVI 90900 12 CAR,BVI 90900 12 CAR.1,BVI 90900 12 CAR.2,GMN 90902 12 CAR,GMN 90902 12 CAR.1,VR 92176 15 CAR,VR 92176 15 CAR.1,VR 92178 15 CAR,VR 92178 15 CAR.1,VR 92178 15 CAR.2,BVI 90904 12 CAR,BVI 90904 12 CAR.1,BVI 90904 12 CAR.2,BSR 94072 12 CAR,BSR 94072 12 CAR.1,BSR 94072 12 CAR.2,BVI 90908 12 CAR,BVI 90908 12 CAR.1,BVI 90908 12 CAR.2,VR 90910 12 CAR,VR 90910 12 CAR.1,VR 90910 12 CAR.2
28,CHURCHGATE,21:27,21:36,21:36,21:40,21:40,21:55,21:55,21:47,21:47,22:01,22:05,22:05,22:05,22:08,22:08,,,,,,22:12,22:12,22:12,21:54,21:54,21:54,22:17,22:17,22:17,21:57,21:57,21:57
29,STATIONS UP TRAINS,BVI 90912 12 CAR,BVI 90916 12 CAR,GMN 90918 12 CAR,GMN 90918 12 CAR,VR 92180 15 CAR,VR 92180 15 CAR,BVI 90922 12 CAR,BVI 90922 12 CAR,VR 90924 12 CAR,VR 90924 12 CAR,DRD 93034 12 CAR,DRD 93034 12 CAR,BVI 90926 12 CAR,BVI 90926 12 CAR,BVI 90930 12 CAR,BVI 90930 12 CAR,BVI 90932 12 CAR,BVI 90932 12 CAR,BVI 90932 12 CAR,BVI 90934 12 CAR,BVI 90934 12 CAR,BVI 90934 12 CAR,VR 90936 12 CAR,VR 90936 12 CAR,VR 90936 12 CAR,VR 92182 15 CAR,VR 92182 15 CAR,VR 92182 15 CAR,BVI 90938 12 CAR,BVI 90938 12 CAR,BVI 90938 12 CAR,
30,VIRAR,NOT ON,,,,20:43,20:43,,,20:48,20:48,20:55,20:55,,,,,NOT ON,NOT ON,NOT ON,,,,20:58,20:58,20:58,21:03,21:03,21:03,,,,
31,Nalla Sopara,SUN,,,,20:49,20:49,,,20:54,20:54,,,,,,,SUN,SUN,SUN,,,,21:04,21:04,21:04,21:10,21:10,21:10,,,,
32,VASAI ROAD,ONLY,,,,20:54,20:54,,,20:59,20:59,21:03,21:03,,,,,ONLY,ONLY,ONLY,,,,21:10,21:10,21:10,21:16,21:16,21:16,,,,
33,Naigaon,,,,,20:58,20:58,,,21:03,21:03,,,,,,,,,,,,,21:15,21:15,21:15,21:22,21:22,21:22,,,,
34,BHAYANDAR,,,,,21:04,21:04,,,21:09,21:09,21:11,21:11,,,,,,,,,,,21:21,21:21,21:21,21:28,21:28,21:28,,,,
35,Mira Road,,,,,21:09,21:09,,,21:14,21:14,,,,,,,,,,,,,21:26,21:26,21:26,21:33,21:33,21:33,,,,
36,Dahisar,,,,,21:13,21:13,,,21:18,21:18,,,,,,,,,,,,,21:31,21:31,21:31,21:38,21:38,21:38,,,,
37,BORIVALI,21:12,21:16,,,21:19,21:19,21:24,21:24,21:23,21:23,21:19,21:19,21:32,21:32,21:36,21:36,21:27,21:27,21:27,21:40,21:40,21:40,21:36,21:36,21:36,21:42,21:42,21:42,21:44,21:44,21:44,
