,STATIONS UP TRAINS,Virar 90182 12 CAR,Borivali 94082 12 CAR,Borivali 94082 12 CAR.1,Virar 92028 15 CAR,Virar 92028 15 CAR.1,Virar 94012 12 CAR,Virar 94012 12 CAR.1,Virar 94012 12 CAR.2,Virar 94012 12 CAR.3,Virar 92030 15 CAR,Virar 92030 15 CAR.1,Virar 92032 15 CAR,Bhayandar 94084 12 CAR,Bhayandar 94084 12 CAR.1,Goregoan 94086 12 CAR,Virar 94088 12 CAR,Malad 94090 12 CAR,Borivali 94092 12 CAR,Vasai Road 92034 15 CAR,Virar 94094 12 CAR,Virar 94094 12 CAR.1,Borivali 90198 12 CAR,Borivali 90198 12 CAR.1
37,BORIVALI,08:11,08:11,,,,,,08:14,08:14,08:16,08:16,08:17,08:17,,08:19,08:21,08:23,08:18,08:26,08:26,08:27,08:27,
38,Kandivali,08:15,08:15,,,,,,,,08:21,08:21,,,,08:24,,08:27,,08:31,08:31,,,
39,Malad,08:18,08:18,,,,,,,,08:24,08:24,,,,08:27,,08:30,,08:34,08:34,,,08:26
40,Goregaon,08:21,08:21,,,08:27,08:27,08:27,,,08:27,08:27,,,08:25,08:30,NOT ON,08:33,,08:37,08:37,,,
41,Ram Mandir,08:23,08:23,,,08:30,08:30,08:30,,,08:30,08:30,,,,08:32,SUN,08:35,,--,--,,,
42,Jogeshwari,08:26,08:26,,,08:32,08:32,08:32,,,08:32,08:32,,,08:30,08:35,ONLY,08:38,,08:41,08:41,,,08:34
43,ANDHERI,08:31,08:31,08:34,08:34,08:36,08:36,08:36,08:26,08:26,08:37,08:37,08:30,08:30,,08:40,,08:43,08:38,08:46,08:46,,,
44,Vile Parle,08:34,08:34,08:37,08:37,08:40,08:40,08:40,,,08:41,08:41,,,,08:44,,08:47,,Air,Air,,,
45,Santa Cruz,08:37,08:37,08:40,08:40,08:43,08:43,08:43,,,08:45,08:45,,,,08:48,,08:50,,Condition,Condition,,,
46,Khar Road,08:40,08:40,08:43,08:43,08:46,08:46,08:46,,,08:48,08:48,,,,08:51,,08:53,,,,,,
47,BANDRA,08:44,08:44,08:47,08:47,08:50,08:50,08:50,08:36,08:36,08:53,08:53,08:39,08:39,08:42,08:56,,08:59,,08:55,08:55,,,08:45
48,Mahim Jn.,08:47,08:47,08:50,08:50,08:53,08:53,08:53,,,08:56,08:56,,,,08:59,,,,,,,,
49,Matunga Road,08:50,08:50,08:53,08:53,08:56,08:56,08:56,,,08:59,08:59,,,,09:02,,,,,,,,
50,DADAR,08:54,08:54,08:57,08:57,09:00,09:00,09:00,08:42,08:42,09:03,09:03,08:45,08:45,08:48,09:06,,,,09:01,09:01,,,08:51
51,Prabhadevi,08:56,08:56,08:59,08:59,09:02,09:02,09:02,,,09:05,09:05,,,,09:08,,,,,,,,
52,Lower Parel,08:59,08:59,09:02,09:02,09:05,09:05,09:05,,,09:08,09:08,,,,09:11,,,,,,,,
53,Mahalakshmi,09:02,09:02,09:05,09:05,09:08,09:08,09:08,,,09:11,09:11,,,,09:14,,,,,,,,
54,M'BAI CENTRAL(L,09:05,09:05,09:08,09:08,09:11,09:11,09:11,08:49,08:49,09:14,09:14,08:52,08:52,08:55,09:17,,,,09:08,09:08,,,08:58
55,Grant Road,09:07,09:07,09:10,09:10,09:13,09:13,09:13,08:51,08:51,09:16,09:16,08:54,08:54,08:57,09:19,,,,09:10,09:10,,,09:00
56,Charni Road,09:09,09:09,09:12,09:12,09:15,09:15,09:15,08:53,08:53,09:18,09:18,08:56,08:56,08:59,09:21,,,,09:12,09:12,,,09:02
57,Marine Lines,09:12,09:12,09:15,09:15,09:18,09:18,09:18,08:56,08:56,09:21,09:21,08:59,08:59,09:02,09:24,,,,09:15,09:15,,,09:05
