,DN TRAINS,VR,BVI,BVI.1,VR.1,BVI.2,VR.2,BVI.3,VR.3,VR.4,BVI.4,VR.5,VR.6,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
40,DADAR,09:43,09:43,10:45,10:45,10:49,10:49,10:53,10:53,11:10,11:10,11:32,11:32,12:05,12:05,12:46,12:46,12:33,12:33,13:06,13:06,13:29,13:29,14:03,14:03,14:32,14:32
41,Matunga Road,,,10:47,10:47,,,,,,,,,,,,,,,13:08,13:08,13:31,13:31,,,,
42,Mahim Jn.,,,10:50,10:50,,,,,,,,,,,,,,,13:11,13:11,13:34,13:34,,,,
43,BANDRA,09:48,09:48,10:54,10:54,10:54,10:54,10:58,10:58,11:16,11:16,11:38,11:38,12:10,12:10,12:52,12:52,12:38,12:38,13:15,13:15,13:38,13:38,14:09,14:09,14:38,14:38
44,Khar Road,,,10:57,10:57,,,,,,,,,,,,,,,13:18,13:18,13:41,13:41,ON SAT,ON SAT,,
45,Santa Cruz,,,11:00,11:00,Air,Air,,,,,,,,,,,Air,Air,13:21,13:21,13:44,13:44,& SUN,& SUN,,
46,Vile Parle,,,11:03,11:03,Condition,Condition,,,,,,,,,,,Condition,Condition,13:24,13:24,13:47,13:47,NON AC,NON AC,,
47,ANDHERI,09:57,09:57,11:09,11:09,11:03,11:03,11:06,11:06,11:26,11:26,11:47,11:47,12:18,12:18,13:03,13:03,12:46,12:46,13:29,13:29,13:52,13:52,14:18,14:18,14:46,14:46
48,Jogeshwari,,,11:12,11:12,,,,,,,,,,,,,,,13:32,13:32,13:55,13:55,,,,
49,Ram Mandir,,,11:15,11:15,ON SAT,ON SAT,,,ON SAT,ON SAT,,,,,,,ON SAT,ON SAT,13:35,13:35,13:58,13:58,,,,
50,Goregaon,,,11:17,11:17,& SUN,& SUN,,,& SUN,& SUN,,,,,,,& SUN,& SUN,13:37,13:37,14:00,14:00,,,,
51,Malad,,,11:21,11:21,NON AC,NON AC,,,NON AC,NON AC,,,,,,,NON AC,NON AC,13:41,13:41,14:04,14:04,,,,
52,Kandivli,,,11:24,11:24,,,,,,,,,,,,,,,13:44,13:44,14:07,14:07,,,,
53,BORIVALI,10:11,10:11,11:31,11:31,11:18,11:18,11:20,11:20,11:39,11:39,12:01,12:01,12:28,12:28,13:19,13:19,13:01,13:01,,,14:13,14:13,14:32,14:32,14:59,14:59
54,Dahisar,,,ON SAT,ON SAT,,,11:25,11:25,11:42,11:42,12:05,12:05,12:33,12:33,,,,,Air,Air,14:18,14:18,,,15:05,15:05
55,Mira Road,,,& SUN,& SUN,,,11:30,11:30,11:46,11:46,12:10,12:10,12:38,12:38,,,,,Condition,Condition,14:23,14:23,,,15:10,15:10
56,Bhayandar,,,NON AC,NON AC,,,11:37,11:37,11:51,11:51,12:15,12:15,12:43,12:43,13:28,13:28,13:09,13:09,,,14:28,14:28,14:40,14:40,15:17,15:17
57,Naigaon,,,,,,,,,11:57,11:57,12:21,12:21,12:49,12:49,T,T,,,,,14:34,14:34,,,,
58,Vasai Road,,,,,,,,,12:02,12:02,12:26,12:26,12:53,12:53,13:36,13:36,13:17,13:17,ON SAT,ON SAT,14:40,14:40,14:51,14:51,,
59,Nalla Sopara,,,Air,Air,,,,,12:07,12:07,12:31,12:31,12:59,12:59,,,,,& SUN,& SUN,14:45,14:45,,,,
60,VIRAR,,,Condition,Condition,,,,,12:14,12:14,12:38,12:38,13:08,13:08,13:46,13:46,13:27,13:27,NON AC,NON AC,14:54,14:54,15:02,15:02,,
61,DN TRAINS STATIONS,VR 94043 12 CAR,VR 94045 12 CAR,VR 94045 12 CAR,BVI 94047 12 CAR,BVI 94047 12 CAR,VR 94089 12 CAR,VR 94089 12 CAR,VR 94049 12 CAR,VR 94049 12 CAR,VR 94051 12 CAR,VR 94051 12 CAR,VR 94053 12 CAR,VR 94053 12 CAR,BVI 94055 12 CAR,BVI 94055 12 CAR,BVI 94057 12 CAR,BVI 94057 12 CAR,BYR 94059 12 CAR,BYR 94059 12 CAR,VR 94091 12 CAR,VR 94091 12 CAR,VR 94061 12 CAR,VR 94061 12 CAR,BSR 94063 12 CAR,BSR 94063 12 CAR,
62,CHURCHGATE,14:53,,,15:05,15:05,15:07,15:07,15:26,15:26,16:39,16:39,17:03,17:03,17:15,17:15,17:50,17:50,18:06,18:06,18:22,18:22,18:28,18:28,19:00,19:00,
63,Marine Lines,14:56,,,15:08,15:08,15:10,15:10,15:29,15:29,16:42,16:42,17:06,17:06,17:18,17:18,17:53,17:53,18:09,18:09,18:25,18:25,18:31,18:31,19:03,19:03,
64,Charni Road,14:58,,,15:10,15:10,15:12,15:12,15:31,15:31,16:44,16:44,17:08,17:08,17:20,17:20,17:55,17:55,18:11,18:11,18:27,18:27,18:33,18:33,19:05,19:05,
65,Grant Road,15:01,,,15:13,15:13,15:15,15:15,15:34,15:34,16:47,16:47,17:11,17:11,17:23,17:23,17:58,17:58,18:14,18:14,18:30,18:30,18:36,18:36,19:08,19:08,
66,M'BAI CENTRAL (L),15:03,,,15:15,15:15,15:17,15:17,15:36,15:36,16:49,16:49,17:15,17:15,17:25,17:25,18:00,18:00,18:16,18:16,18:32,18:32,18:38,18:38,19:10,19:10,
67,Mahalakshmi,Air,Air,Air,15:18,15:18,,,Air,Air,Air,Air,Air,Air,Air,Air,Air,Air,Air,Air,,,Air,Air,Air,Air,
68,Lower Parel,Condition,Condition,Condition,15:21,15:21,,,Condition,Condition,Condition,Condition,Condition,Condition,Condition,Condition,Condition,Condition,Condition,Condition,,,Condition,Condition,Condition,Condition,
69,Prabhadevi,,,,15:24,15:24,,,,,,,,,,,,,,,,,,,,,
70,DADAR,15:10,,,15:27,15:27,15:24,15:24,15:44,15:44,16:56,16:56,17:23,17:23,17:33,17:33,18:08,18:08,18:26,18:26,18:39,18:39,18:45,18:45,19:18,19:18,
71,Matunga Road,,,,15:30,15:30,,,,,,,,,,,,,,,,,,,,,
72,Mahim Jn.,,,,15:33,15:33,,,,,,,,,,,,,,,,,,,,,
73,BANDRA,15:16,,,15:38,15:38,15:30,15:30,15:49,15:49,17:01,17:01,17:28,17:28,17:40,17:40,18:13,18:13,18:32,18:32,18:45,18:45,18:51,18:51,19:23,19:23,
74,Khar Road,,,,15:41,15:41,,,,,,,,,,,,,,,,,,,,,
75,Santa Cruz,,,,15:43,15:43,Air,Air,,,,,,,,,,,,,Air,Air,,,,,
76,Vile Parle,,,,15:46,15:46,Condition,Condition,,,,,,,,,,,,,Condition,Condition,,,,,
77,ANDHERI,15:24,,,15:51,15:51,15:39,15:39,15:57,15:57,17:10,17:10,17:35,17:35,17:48,17:48,18:23,18:23,18:42,18:42,18:54,18:54,19:00,19:00,19:31,19:31,
78,Jogeshwari,,,,15:55,15:55,,,,,,,,,,,,,,,,,,,,,
79,Ram Mandir,,,,15:58,15:58,ON SAT,ON SAT,,,,,ON SAT,ON SAT,ON SAT,ON SAT,,,,,ON SAT,ON SAT,,,ON SAT,ON SAT,
80,Goregaon,,,,16:00,16:00,& SUN,& SUN,,,,,& SUN,& SUN,& SUN,& SUN,,,,,& SUN,& SUN,,,& SUN,& SUN,
81,Malad,,,,16:04,16:04,NON AC,NON AC,,,,,NON AC,NON AC,NON AC,NON AC,,,,,NON AC,NON AC,,,NON AC,NON AC,
82,Kandivli,,,,16:07,16:07,,,,,,,,,,,,,,,,,,,,,
83,BORIVALI,15:38,15:44,15:44,16:13,16:13,15:53,15:53,16:09,16:09,17:24,17:24,17:49,17:49,18:03,18:03,18:38,18:38,18:56,18:56,19:08,19:08,19:16,19:16,19:43,19:43,
84,Dahisar,15:42,15:50,15:50,ON SAT,ON SAT,15:57,15:57,16:13,16:13,17:30,17:30,17:54,17:54,,,,,19:01,19:01,19:12,19:12,19:21,19:21,19:49,19:49,
85,Mira Road,15:46,15:55,15:55,& SUN,& SUN,16:02,16:02,16:18,16:18,17:35,17:35,17:58,17:58,,,,,19:06,19:06,19:17,19:17,19:26,19:26,19:54,19:54,
86,Bhayandar,15:51,16:00,16:00,NON AC,NON AC,16:07,16:07,16:23,16:23,17:40,17:40,18:03,18:03,,,,,19:13,19:13,19:22,19:22,19:31,19:31,19:59,19:59,
87,Naigaon,15:57,16:06,16:06,Air,Air,16:13,16:13,16:29,16:29,17:46,17:46,18:08,18:08,,,,,,,19:28,19:28,19:36,19:36,20:05,20:05,
88,Vasai Road,16:01,16:11,16:11,Condition,Condition,16:18,16:18,16:33,16:33,17:51,17:51,18:13,18:13,,,,,,,19:33,19:33,19:41,19:41,20:12,20:12,
89,Nalla Sopara,16:06,16:16,16:16,,,16:23,16:23,16:38,16:38,17:56,17:56,18:18,18:18,,,,,,,19:39,19:39,19:46,19:46,,,
90,VIRAR,16:14,16:23,16:23,,,16:30,16:30,16:45,16:45,18:04,18:04,18:25,18:25,,,,,,,19:46,19:46,19:56,19:56,,,
91,DN TRAINS STATIONS,BYR 94065 12 CAR,VR 94067 12 CAR,VR 94069 12 CAR,NSP 94071 12 CAR,VR 94073 12 CAR,BYR 94093 12 CAR,MDD 94075 12 CAR,VR 94077 12 CAR,VR 94095 12 CAR,BYR 94079 12 CAR,,,,,,,,,,,,,,,,
92,CHURCHGATE,,19:43,19:58,20:27,,21:23,21:51,21:57,,,,,,,,,,,,,,,,,,
93,Marine Lines,,19:46,20:01,20:30,,21:26,21:54,22:00,,,,,,,,,,,,,,,,,,
94,Charni Road,,19:48,20:03,20:32,,21:28,21:56,22:02,,,,,,,,,,,,,,,,,,
95,Grant Road,,19:51,20:06,20:35,,21:31,21:59,22:05,,,,,,,,,,,,,,,,,,
96,M'BAI CENTRAL (L),,19:53,20:08,20:37,,21:33,22:01,22:07,,,,,,,,,,,,,,,,,,
97,Mahalakshmi,Air,Air,Air,Air,Air,21:36,Air,Air,,,,,,,,,,,,,,,,,,
98,Lower Parel,Condition,Condition,Condition,Condition,Condition,21:39,Condition,Condition,,Air,,,,,,,,,,,,,,,,
99,Prabhadevi,,,,,,21:42,,,,Condition,,,,,,,,,,,,,,,,
100,DADAR,19:38,20:01,20:15,20:44,21:19,21:44,22:08,22:14,,,,,,,,,,,,,,,,,,
101,Matunga Road,,,,,,21:46,,,,,,,,,,,,,,,,,,,,
102,Mahim Jn.,,,,,,21:49,,,,,,,,,,,,,,,,,,,,
103,BANDRA,19:45,20:06,20:21,20:49,21:26,21:53,22:14,22:20,,,,,,,,,,,,,,,,,,
104,Khar Road,,,,,,21:56,,,,,,,,,,,,,,,,,,,,
105,Santa Cruz,,,,,,21:58,,,Air,,,,,,,,,,,,,,,,,
106,Vile Parle,,,,,,22:01,,,Condition,,,,,,,,,,,,,,,,,
107,ANDHERI,19:54,20:15,20:31,20:58,21:35,22:07,22:22,22:29,,23:55,,,,,,,,,,,,,,,,
108,Jogeshwari,,,,,,22:10,22:25,,,,,,,,,,,,,,,,,,,
109,Ram Mandir,,,ON SAT,,,22:13,--,ON SAT,ON SAT,,,,,,,,,,,,,,,,,
110,Goregaon,,,& SUN,,,22:15,22:29,& SUN,& SUN,,,,,,,,,,,,,,,,,
111,Malad,,,NON AC,,,22:19,22:34,NON AC,NON AC,,,,,,,,,,,,,,,,,
112,Kandivli,,,,,,22:22,,,,,,,,,,,,,,,,,,,,
113,BORIVALI,20:12,20:32,20:45,21:14,21:52,22:28,,22:45,23:19,00:10,,,,,,,,,,,,,,,,
114,Dahisar,20:16,20:36,20:49,21:19,21:58,22:32,,22:50,23:24,00:13,,,,,,,,,,,,,,,,
115,Mira Road,20:21,20:41,20:54,21:24,22:03,22:37,,22:55,23:29,00:18,,,,,,,,,,,,,,,,
116,Bhayandar,20:27,20:46,20:59,21:29,22:08,22:43,,23:00,23:34,00:25,,,,,,,,,,,,,,,,
117,Naigaon,,20:52,21:05,21:34,22:14,Air Condition,,23:06,23:40,,,,,,,,,,,,,,,,,
118,Vasai Road,,20:57,21:10,21:39,22:20,ON SAT,,23:11,23:45,,,,,,,,,,,,,,,,,
119,Nalla Sopara,,21:02,21:15,21:45,22:25,& SUN,,23:16,23:50,,,,,,,,,,,,,,,,,
120,VIRAR,,21:09,21:21,To,22:32,NON AC,,23:22,23:56,,,,,,,,,,,,,,,,,
