STATIONS DN TRAINS,BSR 90065 12 CAR,VR 90067 12 CAR,VR 90067 12 CAR.1,BVI 90069 12 CAR,BVI 90069 12 CAR.1,BVI 90071 12 CAR,BVI 90071 12 CAR.1,VR 90073 12 CAR,VR 90073 12 CAR.1,VR 92017 12 CAR,VR 92017 12 CAR.1,VR 92017 12 CAR.2,BVI 90077 12 CAR,BVI 90077 12 CAR.1,BVI 90077 12 CAR.2,BVI 90079 12 CAR,BVI 90079 12 CAR.1,BSR 92019 15 CAR,BSR 92019 15 CAR.1,VR 94007 12 CAR,VR 94007 12 CAR.1,VR 90083 12 CAR,VR 90083 12 CAR.1,GMN 90085 12 CAR,GMN 90085 12 CAR.1,GMN 90085 12 CAR.2,BVI 90087 12 CAR,BVI 90087 12 CAR.1,BVI 90087 12 CAR.2,BVI 90089 12 CAR,BVI 90089 12 CAR.1,BVI 90089 12 CAR.2,BVI 90089 12 CAR.3
STATIONS DN TRAINS,VR 90091 12 CAR,BVI 90093 12 CAR,BVI 90093 12 CAR,VR 92021 15 CAR,VR 92021 15 CAR,VR 92023 15 CAR,VR 92023 15 CAR,VR 92025 15 CAR,VR 92025 15 CAR,VR 92027 15 CAR,VR 92027 15 CAR,VR 92027 15 CAR,BVI 90095 12 CAR,BVI 90095 12 CAR,BVI 90095 12 CAR,BVI 90097 12 CAR,BVI 90097 12 CAR,BVI 90101 12 CAR,BVI 90101 12 CAR,BVI 94081 12 CAR,BVI 94081 12 CAR,VR 94083 12 CAR,VR 94083 12 CAR,GMN 90107 12 CAR,GMN 90107 12 CAR,GMN 90107 12 CAR,VR 94009 12 CAR,VR 94009 12 CAR,VR 94009 12 CAR,BVI 90109 12 CAR,BVI 90109 12 CAR,BVI 90109 12 CAR,
CHURCHGATE,06:15,06:17,06:17,06:25,06:25,,,,,06:32,06:32,06:32,,,,06:27,06:27,06:32,06:32,06:35,06:35,06:35,06:35,06:39,06:39,06:39,Air,Air,Air,06:44,06:44,06:44,
Marine Lines,06:18,06:20,06:20,,,,,,,,,,,,,06:30,06:30,06:35,06:35,06:39,06:39,06:38,06:38,06:42,06:42,06:42,Condition,Condition,Condition,06:47,06:47,06:47,
Charni Road,06:20,06:22,06:22,,,,,,,,,,,,,06:32,06:32,06:37,06:37,06:41,06:41,06:40,06:40,06:44,06:44,06:44,ON SAT,ON SAT,ON SAT,06:49,06:49,06:49,
Grant Road,06:23,06:25,06:25,,,,,,,,,,,,,06:35,06:35,06:40,06:40,06:44,06:44,06:43,06:43,06:47,06:47,06:47,& SUN,& SUN,& SUN,06:52,06:52,06:52,
M'BAI CENTRAL (L),06:25,06:27,06:27,06:33,06:33,,,,,06:42,06:42,06:42,,,,06:37,06:37,06:42,06:42,06:46,06:46,06:45,06:45,06:49,06:49,06:49,NON AC,NON AC,NON AC,06:54,06:54,06:54,
Mahalakshmi,,06:30,06:30,,,,,,,,,,06:35,06:35,06:35,06:40,06:40,06:45,06:45,06:49,06:49,,,06:52,06:52,06:52,06:57,06:57,06:57,,,,
Lower Parel,,06:33,06:33,,,,,,,,,,06:38,06:38,06:38,06:43,06:43,06:48,06:48,06:52,06:52,,,06:55,06:55,06:55,07:00,07:00,07:00,,,,
Prabhadevi,,06:36,06:36,,,,,,,,,,06:41,06:41,06:41,06:46,06:46,06:51,06:51,06:55,06:55,,,06:58,06:58,06:58,07:03,07:03,07:03,,,,
DADAR,06:32,06:38,06:38,06:40,06:40,,,,,06:49,06:49,06:49,06:43,06:43,06:43,06:48,06:48,06:53,06:53,06:57,06:57,06:53,06:53,07:00,07:00,07:00,07:05,07:05,07:05,07:01,07:01,07:01,
Matunga Road,,06:40,06:40,,,,,,,,,,06:45,06:45,06:45,06:50,06:50,06:55,06:55,06:59,06:59,,,07:02,07:02,07:02,07:07,07:07,07:07,,,,
Mahim Jn.,,06:43,06:43,,,,,,,,,,06:48,06:48,06:48,06:53,06:53,06:58,06:58,07:02,07:02,,,07:05,07:05,07:05,07:10,07:10,07:10,,,,
BANDRA,06:37,06:47,06:47,06:45,06:45,,,,,06:54,06:54,06:54,06:52,06:52,06:52,06:57,06:57,07:02,07:02,07:06,07:06,06:58,06:58,07:09,07:09,07:09,07:13,07:13,07:13,07:06,07:06,07:06,
Khar Road,,06:50,06:50,,,,,,,,,,06:55,06:55,06:55,07:00,07:00,07:05,07:05,07:09,07:09,,,07:12,07:12,07:12,07:16,07:16,07:16,,,,
Santa Cruz,,06:52,06:52,,,,,,,,,,06:57,06:57,06:57,07:02,07:02,07:07,07:07,07:12,07:12,,,07:14,07:14,07:14,07:19,07:19,07:19,,,,
Vile Parle,,06:55,06:55,,,,,,,,,,07:00,07:00,07:00,07:05,07:05,07:10,07:10,07:15,07:15,,,07:17,07:17,07:17,07:22,07:22,07:22,,,,
ANDHERI,06:45,07:00,07:00,06:53,06:53,07:01,07:01,07:03,07:03,07:04,07:04,07:04,07:06,07:06,07:06,07:10,07:10,07:15,07:15,07:20,07:20,07:07,07:07,07:22,07:22,07:22,07:27,07:27,07:27,07:16,07:16,07:16,
Jogeshwari,,07:03,07:03,,,,,07:07,07:07,,,,07:10,07:10,07:10,07:13,07:13,07:18,07:18,07:23,07:23,,,07:25,07:25,07:25,07:30,07:30,07:30,,,,
Ram Mandir,,07:06,07:06,NOT ON,NOT ON,,,07:10,07:10,,,,07:13,07:13,07:13,07:16,07:16,07:21,07:21,07:26,07:26,,,07:28,07:28,07:28,07:33,07:33,07:33,,,,
Goregaon,,07:08,07:08,SUN,SUN,,,07:12,07:12,,,,07:15,07:15,07:15,07:18,07:18,07:23,07:23,07:28,07:28,,,07:32,07:32,07:32,07:35,07:35,07:35,,,,
Malad,,07:12,07:12,ONLY,ONLY,,,07:16,07:16,,,,07:19,07:19,07:19,07:22,07:22,07:27,07:27,07:32,07:32,,,,,,07:39,07:39,07:39,,,,
