DN HBR TRAINS,DN HBR TRAINS.1,DN HBR TRAINS.2,DN HBR TRAINS.3,DN HBR TRAINS.4,DN HBR TRAINS.5,DN HBR TRAINS.6,DN HBR TRAINS.7,DN HBR TRAINS.8,DN HBR TRAINS.9,DN HBR TRAINS.10,DN HBR TRAINS.11,DN HBR TRAINS.12,DN HBR TRAINS.13,DN HBR TRAINS.14,DN HBR TRAINS.15,DN HBR TRAINS.16,DN HBR TRAINS.17
SANDHURST ROAD,10:28,10:44,10:54,11:06,11:18,10:37,11:42,11:54,12:06,12:18,12:27,12:41,12:14,12:53,13:04,13:17,13:32
DOCK YARD ROAD,10:30,10:46,10:56,11:08,11:20,VDLR,11:44,11:56,12:08,12:20,12:29,12:43,VDLR,12:55,13:06,13:19,13:34
REAY ROAD,10:32,10:48,10:58,11:10,11:22,11:39,11:46,11:58,12:10,12:22,12:31,12:45,12:55,12:57,13:08,13:21,13:36
COTTON GREEN,10:34,10:50,11:00,11:12,11:24,,11:48,12:00,12:12,12:24,12:33,12:47,,12:59,13:10,13:23,13:38
SEWERI,10:37,10:53,11:03,11:15,11:27,,11:51,12:03,12:15,12:27,12:36,12:50,,13:02,13:13,13:26,13:41
VADALA ROAD,10:40,10:56,11:06,11:18,11:30,11:42,11:54,12:06,12:18,12:30,12:39,12:53,13:01,13:05,13:17,13:29,13:44
KING'S CIRCLE,10:44,11:00,11:10,11:22,11:34,11:47,11:59,12:10,12:22,12:34,12:43,12:57,,13:09,13:21,13:33,13:48
MAHIM JN.,10:47,11:03,11:13,11:25,11:37,11:50,12:02,12:13,12:24,12:37,12:46,13:00,,13:12,13:24,13:36,13:51
BANDRA,10:51,11:07,11:16,11:29,11:41,11:54,12:06,12:17,12:28,12:41,12:50,13:04,,13:16,13:28,13:40,13:55
KHAR,10:55,,11:20,,11:45,11:58,,12:21,,12:45,,13:08,,,13:32,,13:59
SANTACURTZ,10:58,,11:23,,11:48,12:01,,12:24,,12:48,,13:11,,,13:35,,14:02
VILEPARLE,11:01,,11:26,,11:51,12:04,,12:27,,12:51,,13:14,,,13:38,,14:05
ANDHERI,11:05,,11:30,,11:55,12:08,,12:31,,12:55,,13:18,,,13:42,,14:09
JOGESWARI,11:09,,11:34,,11:59,12:12,,12:35,,12:59,,13:22,,,13:46,,14:13
RAM MANDIR,11:12,,11:37,,12:02,12:15,,12:38,,13:02,,13:25,,,13:49,,14:16
GOREGAON,11:16,,11:41,,12:06,12:19,,12:42,,13:06,,13:29,,,13:53,,14:20
Train No.,98843 B 43,98743 GN 43,98845 B 45,98745 GN 45,98847 B 47,91395 WGN 3,98747 GN 47,98849 B 49,98749 GN 49,98851 B 51,98751 GN 51,98853 B 53,98753 GN 53,98855 B 55,98755 GN 55,98857 B 57,98757 GN 57
Stations,,,,,,*,,,,,,X,,,,,
MUMBAI CSMT,13:38,13:52,14:04,14:18,14:28,14:40,14:52,15:04,15:20,15:32,15:48,16:04,16:16,16:31,16:43,16:56,17:12
MASJID,13:41,13:55,14:07,14:21,14:31,14:43,14:55,15:07,15:23,15:35,15:51,16:07,16:19,16:34,16:46,16:59,17:15
SANDHURST ROAD,13:44,13:58,14:10,14:24,14:34,14:46,14:58,15:10,15:26,15:38,15:54,16:10,16:22,16:37,16:49,17:02,17:18
DOCK YARD ROAD,13:46,14:00,14:12,14:26,14:36,14:48,15:00,15:12,15:28,15:40,15:56,16:12,16:24,16:39,16:51,17:04,17:20
REAY ROAD,13:48,14:02,14:14,14:28,14:38,14:50,15:02,15:14,15:30,15:42,15:58,16:14,16:26,16:41,16:53,17:06,17:22
COTTON GREEN,13:50,14:04,14:16,14:30,14:40,14:52,15:04,15:16,15:32,15:44,16:00,16:16,16:28,16:43,16:55,17:08,17:24
SEWERI,13:53,14:07,14:19,14:33,14:43,14:55,15:07,15:19,15:35,15:47,16:03,16:19,16:31,16:46,16:58,17:11,17:27
VADALA ROAD,13:56,14:10,14:22,14:36,14:46,14:58,15:10,15:22,15:38,15:50,16:06,16:22,16:34,16:49,17:01,17:14,17:30
KING'S CIRCLE,14:00,14:14,14:26,14:40,14:50,15:02,15:14,15:26,15:42,15:54,16:10,16:26,16:38,16:53,17:05,17:18,17:34
MAHIM JN.,14:03,14:17,14:29,14:43,14:53,15:04,15:17,15:29,15:45,15:57,16:13,16:29,16:41,16:55,17:08,17:20,17:37
BANDRA,14:07,14:21,14:33,14:47,14:57,15:09,15:21,15:33,15:49,16:01,16:17,16:33,16:45,17:00,17:12,17:25,17:41
KHAR,,14:25,,14:51,,15:13,15:25,,15:53,,16:21,,16:49,,17:16,,17:45
SANTACURTZ,,14:28,,14:54,,15:16,15:28,,15:56,,16:24,,16:52,,17:19,,17:48
VILEPARLE,,14:31,,14:57,,15:19,15:31,,15:59,,16:27,,16:55,,17:22,,17:51
ANDHERI,,14:35,,15:01,,15:24,15:35,,16:03,,16:31,,16:59,,17:26,,17:55
JOGESWARI,,14:39,,15:05,,15:28,15:39,,16:07,,16:35,,17:03,,17:30,,17:59
RAM MANDIR,,14:42,,15:08,,15:31,15:42,,16:10,,16:38,,17:06,,17:33,,18:02
GOREGAON,,14:46,,15:12,,15:35,15:46,,16:14,,16:42,,17:10,,17:37,,18:06
